loading_frequency_hz,required_inertia_ratio,required_registry_inertia_kg
1.0,7.922513585439569e24,0.3549591621546781
10.0,7.92251358543957e22,0.0035495916215467814
20.0,1.9806283963598924e22,0.0008873979053866954
100.0,7.92251358543957e20,3.549591621546781e-05
1000.0,7.922513585439569e18,3.549591621546781e-07
