target_crossing_separation_over_b,actual_crossing_separation_over_b,registry_content_over_b2,domain_over_separation,dx_over_b,cells,holding_shear_MPa,projected_force_residual_MPa,periodic_far_field_MPa,isolated_far_field_MPa,distinct_constrained_solves,stationary,atomistic_certification
128.0,128.00000000025136,128.30543036512978,4.0,0.0625,8192,23.237335063178794,1.83910497863059e-10,23.23749798449877,29.58690135456747,6,True,False
128.0,127.99999999920034,128.73737523338224,8.0,0.0625,16384,28.04997353237762,9.802919155459145e-10,28.050141394897196,29.58690135456747,6,True,False
128.0,128.00000000102256,129.5355049797383,16.0,0.0625,32768,29.205529702778744,2.0904231929548376e-10,29.205697828916364,29.58690135456747,6,True,False
128.0,127.99999999999662,131.1010925468093,32.0,0.0625,65536,29.49161641059621,2.0881747898602358e-10,29.491784552291687,29.58690135456747,7,True,False
128.0,127.99999999905359,134.2171900854503,64.0,0.0625,131072,29.562965476871465,8.057566669023203e-11,29.563133619323107,29.58690135456747,7,True,False
128.0,128.0000000000002,128.73737523415434,8.0,0.03125,32768,28.049973532182495,2.9014458565787256e-10,28.050141394897196,29.58690135456747,6,True,False
