registry_content_over_b2,domain_over_content,cells,dx_over_b,separation_from_half_registry_crossings_over_b,holding_shear_MPa,projected_force_residual_MPa,mean_constraint_residual,energy_eV_per_L0_line,trial_energy_eV_per_L0_line,trial_balance_MPa,trial_full_force_residual_MPa,spectral_q90_b,iterations,newton_polish,force_converged,atomistic_core_validated,units_warning
32.0,8.0,4096,0.0625,31.242678302795277,115.20558962199686,9.900073836546942e-11,0.0,2.7830591355542458,2.7909287181252025,112.2174155199271,1335.7849334203981,1.2762720155208536,26,1,True,False,"energy per dislocation line, not a finite activation energy"
128.0,8.0,16384,0.0625,127.25804122980225,28.23148974141777,1.9456378673629755e-10,0.0,3.5573512399862075,3.560576810837311,28.050404233295815,1193.4878284938723,0.9633399347921826,36,1,True,False,"energy per dislocation line, not a finite activation energy"
512.0,8.0,65536,0.0625,511.2617055438245,7.023610545463687,1.3746174419622141e-10,0.0,4.328112842807981,4.330195652994737,7.012539457790648,1157.878333597015,0.7685243747307062,49,1,True,False,"energy per dislocation line, not a finite activation energy"
1024.0,8.0,131072,0.0625,1023.2623264661395,3.50889477150693,3.5470259911790967e-10,0.0,4.713111174253194,4.7150041974797094,3.506268189053124,1151.9418245378565,0.6918253353364242,61,1,True,False,"energy per dislocation line, not a finite activation energy"
128.0,8.0,4096,0.25,127.74259674625178,9.842585527852,2.4294587122198028e-11,0.0,3.5559831416501133,3.5616624043285494,28.631333741189405,660.5933456741255,1.000155473701438,18,1,True,False,"energy per dislocation line, not a finite activation energy"
128.0,8.0,8192,0.125,127.31908415556035,26.00390375809681,5.525450604984079e-11,0.0,3.5573590946318085,3.5605784683557213,28.05266482056353,1189.3453893424983,0.9633399347921826,34,1,True,False,"energy per dislocation line, not a finite activation energy"
128.0,8.0,32768,0.03125,127.25788820276168,28.23161260753039,2.6557782342422275e-10,0.0,3.557351239138228,3.5605768108340166,28.050404221866422,1193.483350901673,0.9633399347921826,36,1,True,False,"energy per dislocation line, not a finite activation energy"
128.0,4.0,8192,0.0625,127.6933308865565,23.325019057071593,1.5822840935748165e-10,2.7755575615628914e-17,3.5144008047140622,3.5166238240869045,23.237753076496187,1185.3303061623928,0.9694758579437253,25,1,True,False,"energy per dislocation line, not a finite activation energy"
128.0,16.0,32768,0.0625,126.44500550112741,29.57412361072019,4.691352225389277e-10,0.0,3.5663198518293986,3.5713476014412424,29.20596108204815,1195.446744746599,0.966407896367954,59,1,True,False,"energy per dislocation line, not a finite activation energy"
128.0,32.0,65536,0.0625,124.81927171362003,30.248006124885837,8.035082638077185e-11,0.0,3.565454044971674,3.5740272374877833,29.492047830720182,1195.9311873085373,0.9740778003073821,112,1,True,False,"energy per dislocation line, not a finite activation energy"
