q_y_L0,constraint,layer_phase_points,stiffness
0.0,logical_rows,256,4.795625552378889
0.0,logical_rows,512,4.795625552378889
0.0,logical_rows,1024,4.795625552378889
0.002,logical_rows,256,4.7961911324546955
0.002,logical_rows,512,4.7967779174428085
0.002,logical_rows,1024,4.797978774677343
0.002,logical_rows,2048,4.799469977573977
0.002,logical_rows,4096,4.799836618138362
0.002,logical_rows,8192,4.799832579540596
0.002,logical_rows,16384,4.799832573488343
0.002,logical_rows,32768,4.799832573488307
0.002,logical_rows,65536,4.799832573488307
0.005,logical_rows,256,4.79928570419357
0.005,logical_rows,512,4.802847984902971
0.005,logical_rows,1024,4.8058722582765565
0.005,logical_rows,2048,4.806181756150213
0.005,logical_rows,4096,4.806175895525878
0.005,logical_rows,8192,4.806175897134498
0.005,logical_rows,16384,4.806175897134498
0.005,logical_rows,32768,4.806175897134498
0.01,logical_rows,256,4.810154951209744
0.01,logical_rows,512,4.816225521349284
0.01,logical_rows,1024,4.816847266935541
0.01,logical_rows,2048,4.816835493957357
0.01,logical_rows,4096,4.816835497188962
0.01,logical_rows,8192,4.816835497188962
0.01,logical_rows,16384,4.816835497188962
0.02,logical_rows,256,4.837250938845043
0.02,logical_rows,512,4.8385057948729395
0.02,logical_rows,1024,4.83848203946817
0.02,logical_rows,2048,4.8384820459902285
0.02,logical_rows,4096,4.838482045990229
0.02,logical_rows,8192,4.838482045990229
0.05,logical_rows,256,4.906041168039475
0.05,logical_rows,512,4.906031446166354
0.05,logical_rows,1024,4.906031446332794
0.05,logical_rows,2048,4.906031446332794
0.1,logical_rows,256,5.027235850329862
0.1,logical_rows,512,5.0272358507003725
0.1,logical_rows,1024,5.027235850700373
0.25,logical_rows,256,5.453493808556247
0.25,logical_rows,512,5.453493808556247
0.25,logical_rows,1024,5.453493808556247
0.5,logical_rows,256,6.3580611464963335
0.5,logical_rows,512,6.3580611464963335
0.5,logical_rows,1024,6.3580611464963335
1.0,logical_rows,256,8.833927790445818
1.0,logical_rows,512,8.833927790445818
1.0,logical_rows,1024,8.833927790445816
2.0,logical_rows,256,16.315829952532482
2.0,logical_rows,512,16.315829952532482
2.0,logical_rows,1024,16.315829952532482
3.6275987284684357,logical_rows,256,26.19933862483079
3.6275987284684357,logical_rows,512,26.19933862483079
3.6275987284684357,logical_rows,1024,26.199338624830787
0.0,spectral_same_y,256,4.795625552378889
0.0,spectral_same_y,512,4.795625552378889
0.0,spectral_same_y,1024,4.795625552378889
0.002,spectral_same_y,256,4.795507721678357
0.002,spectral_same_y,512,4.795488647597012
0.002,spectral_same_y,1024,4.795925676285408
0.002,spectral_same_y,2048,4.797253691908067
0.002,spectral_same_y,4096,4.797809949077663
0.002,spectral_same_y,8192,4.797815653362958
0.002,spectral_same_y,16384,4.797815632482606
0.002,spectral_same_y,32768,4.797815632482559
0.002,spectral_same_y,65536,4.797815632482558
0.005,spectral_same_y,256,4.795450258958947
0.005,spectral_same_y,512,4.797338809896852
0.005,spectral_same_y,1024,4.800549388669143
0.005,spectral_same_y,2048,4.801146033983207
0.005,spectral_same_y,4096,4.801142404955419
0.005,spectral_same_y,8192,4.801142406094169
0.005,spectral_same_y,16384,4.80114240609417
0.005,spectral_same_y,32768,4.80114240609417
0.01,spectral_same_y,256,4.799179216078778
0.01,spectral_same_y,512,4.805609160625517
0.01,spectral_same_y,1024,4.806805142730063
0.01,spectral_same_y,2048,4.806797869307345
0.01,spectral_same_y,4096,4.806797871589604
0.01,spectral_same_y,8192,4.806797871589604
0.01,spectral_same_y,16384,4.8067978715896045
0.02,spectral_same_y,256,4.8161342004795795
0.02,spectral_same_y,512,4.818537461094423
0.02,spectral_same_y,1024,4.818522857227214
0.02,spectral_same_y,2048,4.818522861809112
0.02,spectral_same_y,4096,4.818522861809113
0.02,spectral_same_y,8192,4.818522861809113
0.05,spectral_same_y,256,4.856989064956426
0.05,spectral_same_y,512,4.856977053349143
0.05,spectral_same_y,1024,4.85697705372777
0.05,spectral_same_y,2048,4.85697705372777
0.1,spectral_same_y,256,4.931763236613905
0.1,spectral_same_y,512,4.931763237420551
0.1,spectral_same_y,1024,4.931763237420552
0.1,spectral_same_y,2048,4.931763237420552
0.25,spectral_same_y,256,5.231518494919172
0.25,spectral_same_y,512,5.231518494919171
0.25,spectral_same_y,1024,5.231518494919172
0.5,spectral_same_y,256,5.952603445944537
0.5,spectral_same_y,512,5.952603445944536
0.5,spectral_same_y,1024,5.952603445944537
1.0,spectral_same_y,256,8.084440406847413
1.0,spectral_same_y,512,8.084440406847415
1.0,spectral_same_y,1024,8.084440406847415
2.0,spectral_same_y,256,14.602803667077296
2.0,spectral_same_y,512,14.602803667077296
2.0,spectral_same_y,1024,14.602803667077296
3.6275987284684357,spectral_same_y,256,22.342576208738127
3.6275987284684357,spectral_same_y,512,22.342576208738127
3.6275987284684357,spectral_same_y,1024,22.342576208738127
