rings,rows,max_symbol_change,rigid_step_stiffness,omitted_validation_envelope
2,24,0.006759392937837561,4.945208613329266,0.04583401101264825
3,48,3.8118728667768664e-05,4.945211004677191,0.0001996564646088727
4,80,1.2768840917942725e-07,4.945211215517138,6.925267544937175e-07
5,120,3.7341862935136305e-10,4.945211215219494,2.0735764902676894e-09
6,168,1.0089706847793423e-12,4.945211215219173,5.607983998834328e-12
8,288,0.0,4.945211215219173,3.3465664996390816e-17
10,440,5.684341886080802e-14,4.945211215219173,1.7626526488158663e-22
