registry_content_over_b2,applied_shear_MPa,holding_shear_MPa,registry_content_growth_drive_MPa,actual_dynamic_trajectory,not_yield_stress
32.0,0.0,115.20558962199686,-115.20558962199686,False,True
32.0,4.0,115.20558962199686,-111.20558962199686,False,True
32.0,5.0,115.20558962199686,-110.20558962199686,False,True
32.0,10.0,115.20558962199686,-105.20558962199686,False,True
32.0,15.0,115.20558962199686,-100.20558962199686,False,True
32.0,25.0,115.20558962199686,-90.20558962199686,False,True
32.0,50.0,115.20558962199686,-65.20558962199686,False,True
128.0,0.0,28.23148974141777,-28.23148974141777,False,True
128.0,4.0,28.23148974141777,-24.23148974141777,False,True
128.0,5.0,28.23148974141777,-23.23148974141777,False,True
128.0,10.0,28.23148974141777,-18.23148974141777,False,True
128.0,15.0,28.23148974141777,-13.231489741417771,False,True
128.0,25.0,28.23148974141777,-3.2314897414177715,False,True
128.0,50.0,28.23148974141777,21.76851025858223,False,True
512.0,0.0,7.023610545463687,-7.023610545463687,False,True
512.0,4.0,7.023610545463687,-3.0236105454636872,False,True
512.0,5.0,7.023610545463687,-2.0236105454636872,False,True
512.0,10.0,7.023610545463687,2.9763894545363128,False,True
512.0,15.0,7.023610545463687,7.976389454536313,False,True
512.0,25.0,7.023610545463687,17.976389454536314,False,True
512.0,50.0,7.023610545463687,42.97638945453631,False,True
1024.0,0.0,3.50889477150693,-3.50889477150693,False,True
1024.0,4.0,3.50889477150693,0.4911052284930699,False,True
1024.0,5.0,3.50889477150693,1.49110522849307,False,True
1024.0,10.0,3.50889477150693,6.49110522849307,False,True
1024.0,15.0,3.50889477150693,11.491105228493069,False,True
1024.0,25.0,3.50889477150693,21.49110522849307,False,True
1024.0,50.0,3.50889477150693,46.49110522849307,False,True
