cycle,segment,period_model,same_phase_L1,normal_mean,normal_amplitude,registry_shear_amplitude,registry_index_increment,cycle_net_transfer,cycle_gross_grid_traffic,external_work_ev_cell,raw_mass,mass_residual,mean_well_index,outside_central_mass,normal_strain,registry_shear,intrawell_shear,registry_index_shear,cumulative_net_transfer,cumulative_gross_grid_traffic,outer_well_mass,upper_normal_edge_mass,P_-1,P_+0,P_+1
1,cyclic,0.05,0.00019725405001973296,0.01841332536717018,1.7331211530019833e-05,8.892677397589327e-07,1.8126579252693482e-11,1.8126579253540515e-11,1.0826568528035984e-05,7.760262819168126e-08,1.0,0.0,1.8126579252693482e-11,1.0416680719056328e-05,0.01839425692676596,-8.69184651101796e-09,-8.714046947570675e-09,2.2200434975609524e-11,1.8126579253540515e-11,1.0826568528035984e-05,1.0416680719056328e-05,2.3770495692629967e-11,5.208331296238538e-06,0.9999895833192811,5.2083494228177905e-06
2,cyclic,0.05,8.467169370570088e-05,0.018407568925175755,1.6295510033183594e-05,8.891873524753979e-07,1.822025968380885e-11,1.822025967787962e-11,1.0826573110430398e-05,7.88196856314133e-08,1.0,0.0,3.6346838936502333e-11,2.0075006630190053e-05,0.018390627160568714,-1.699225475082529e-08,-1.703677035701022e-08,4.451560457877735e-11,3.6346838931420136e-11,2.165314163846638e-05,2.0075006630190053e-05,2.3769619788438354e-11,1.0037485141675558e-05,0.9999799249933699,1.0037521488514495e-05
