radius_over_L0,energy_eV_per_row_period,site_count,inside_free_disk
1.0,0.41012707701163686,4,True
1.5,0.6181315366735285,10,True
2.0,0.7467857028482091,18,True
2.5,0.7579147052594228,30,True
3.0,0.7461387890667602,40,True
