candidate,protocol,traction_step_GPa,step,normal_traction_GPa,shear_traction_GPa,status,force_residual_ev_coordinate,substeps,a,s,energy_ev_cell,loaded_energy_ev_cell,min_hessian_eigenvalue,normal_strain,slip_over_period,a_error_angstrom,s_error_angstrom
angular_even_odd,normal,0.2,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524975,0.0,0.0,0.0,0.0
angular_even_odd,normal,0.2,1,0.05,0.0,stable_local_equilibrium,1.4699179373689475e-14,1,0.8167732958670231,1.9960671071915758e-17,8.788265711887609e-07,-8.776522794810819e-07,4.709464410333285,0.00033890520274148497,1.9960671071915758e-17,0.0,0.0
angular_even_odd,normal,0.2,2,0.15,0.0,stable_local_equilibrium,4.864164626638967e-15,1,0.8173300798943467,6.293531115219823e-17,7.952082393566793e-06,-7.920099758689179e-06,4.680436854361513,0.0010208235846788432,6.293531115219823e-17,0.0,-4.2280500282085544e-17
angular_even_odd,normal,0.2,3,0.4,0.0,stable_local_equilibrium,1.0061396160665481e-15,2,0.8187420692853341,-4.8635626241520323e-17,5.7323942773349954e-05,-5.670395379294506e-05,4.607866920117134,0.0027501503497500087,-4.8635626241520323e-17,9.53831168650393e-16,-2.888108486167811e-16
angular_even_odd,normal,0.2,4,1.0,0.0,stable_local_equilibrium,9.409140133698202e-15,3,0.8222544660563156,-4.0568329791381165e-18,0.00037060380605860875,-0.00036037251770954713,4.433643630812872,0.007051940281301947,-4.0568329791381165e-18,-3.179437228834644e-16,1.3037107230644007e-16
angular_even_odd,normal,0.2,5,2.0,0.0,stable_local_equilibrium,3.83026943495679e-15,5,0.8285448167669911,-1.1230001545299738e-17,0.001574658041067602,-0.0014844426339175828,4.142744077285602,0.014756015053456225,-1.1230001545299738e-17,0.0,-2.461626370980668e-16
angular_even_odd,normal,0.2,6,4.0,0.0,stable_local_equilibrium,2.6645352591003757e-15,10,0.8432491908196409,-1.6245060919810082e-17,0.007244380734909528,-0.006340832580928786,3.555316582266988,0.032765121761462616,-1.6245060919810082e-17,6.358874457669288e-16,-3.478552422509746e-17
angular_even_odd,normal,0.1,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524975,0.0,0.0,0.0,0.0
angular_even_odd,normal,0.1,1,0.05,0.0,stable_local_equilibrium,1.4699179373689475e-14,1,0.8167732958670231,1.9960671071915758e-17,8.788265711887609e-07,-8.776522794810819e-07,4.709464410333285,0.00033890520274148497,1.9960671071915758e-17,0.0,0.0
angular_even_odd,normal,0.1,2,0.15,0.0,stable_local_equilibrium,4.864164626638967e-15,1,0.8173300798943467,6.293531115219823e-17,7.952082393566793e-06,-7.920099758689179e-06,4.680436854361513,0.0010208235846788432,6.293531115219823e-17,0.0,-4.2280500282085544e-17
angular_even_odd,normal,0.1,3,0.4,0.0,stable_local_equilibrium,1.3891665595622271e-14,3,0.8187420692853344,-3.2667797941253444e-17,5.732394277622014e-05,-5.6703953790091783e-05,4.60786692011713,0.0027501503497504164,-3.2667797941253444e-17,1.907662337300786e-15,-2.430824619454193e-16
angular_even_odd,normal,0.1,4,1.0,0.0,stable_local_equilibrium,2.4424906541753444e-15,6,0.8222544660563157,-3.648325864362305e-17,0.00037060380605879876,-0.0003603725177093712,4.433643630812871,0.007051940281302083,-3.648325864362305e-17,0.0,3.7508843124594966e-17
angular_even_odd,normal,0.1,5,2.0,0.0,stable_local_equilibrium,1.4099832412739488e-14,10,0.8285448167669914,8.16096487482063e-17,0.001574658041070708,-0.0014844426339145613,4.14274407728559,0.014756015053456634,8.16096487482063e-17,9.53831168650393e-16,1.9709925358312492e-17
angular_even_odd,normal,0.1,6,4.0,0.0,stable_local_equilibrium,6.328271240363392e-15,20,0.8432491908196406,1.351264073540482e-17,0.0072443807349096695,-0.006340832580928475,3.555316582267,0.03276512176146221,1.351264073540482e-17,-3.179437228834644e-16,5.043405993826339e-17
angular_even_odd,normal,0.05,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524975,0.0,0.0,0.0,0.0
angular_even_odd,normal,0.05,1,0.05,0.0,stable_local_equilibrium,1.4699179373689475e-14,1,0.8167732958670231,1.9960671071915758e-17,8.788265711887609e-07,-8.776522794810819e-07,4.709464410333285,0.00033890520274148497,1.9960671071915758e-17,0.0,0.0
angular_even_odd,normal,0.05,2,0.15,0.0,stable_local_equilibrium,4.864164626638967e-15,2,0.8173300798943467,7.76991770590735e-17,7.952082393566793e-06,-7.920099758689179e-06,4.680436854361513,0.0010208235846788432,7.76991770590735e-17,0.0,0.0
angular_even_odd,normal,0.05,3,0.4,0.0,stable_local_equilibrium,8.680556273787943e-15,5,0.8187420692853338,5.2213810566957383e-17,5.732394277331788e-05,-5.6703953792960217e-05,4.607866920117158,0.0027501503497496006,5.2213810566957383e-17,0.0,0.0
angular_even_odd,normal,0.05,4,1.0,0.0,stable_local_equilibrium,2.4424906541753444e-15,12,0.8222544660563157,-4.958091658330874e-17,0.00037060380605879876,-0.0003603725177093712,4.433643630812871,0.007051940281302083,-4.958091658330874e-17,0.0,0.0
angular_even_odd,normal,0.05,5,2.0,0.0,stable_local_equilibrium,5.495603971894525e-15,20,0.8285448167669911,7.472716880867867e-17,0.0015746580410676797,-0.0014844426339175052,4.142744077285604,0.014756015053456225,7.472716880867867e-17,0.0,0.0
angular_even_odd,normal,0.05,6,4.0,0.0,stable_local_equilibrium,3.219646771412954e-15,40,0.8432491908196407,-4.098354714034605e-18,0.00724438073490607,-0.006340832580932132,3.5553165822669994,0.032765121761462346,-4.098354714034605e-18,0.0,0.0
angular_even_odd,mixed,0.2,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524975,0.0,0.0,0.0,0.0
angular_even_odd,mixed,0.2,1,0.5,0.2,stable_local_equilibrium,1.9186041644303486e-15,3,0.8193502742530521,0.005547710199237148,0.0001627436870159995,-0.0001592565002059251,4.5716297411307805,0.00349504626471747,0.005547710199237148,-9.53831168650393e-16,-1.1823532194728831e-15
angular_even_odd,mixed,0.2,2,1.0,0.4,stable_local_equilibrium,1.4654943925052066e-14,3,0.8224049946441513,0.01147596099272564,0.0006813786352041156,-0.0006514671367436716,4.403853673724523,0.007236299397251548,0.01147596099272564,0.0,-1.818240665239812e-15
angular_even_odd,mixed,0.2,3,0.0,0.0,stable_local_equilibrium,6.658072264367934e-15,5,0.8164965809277263,-6.105654813752709e-17,7.987699510475501e-16,7.987699510475501e-16,4.723978381524959,2.7194799110210365e-16,-6.105654813752709e-17,9.53831168650393e-16,-2.405359834293816e-16
