candidate,path,protocol,step,normal_traction_GPa,shear_traction_GPa,status,force_residual_ev_coordinate,substeps,a,s,energy_ev_cell,loaded_energy_ev_cell,min_hessian_eigenvalue,normal_strain,slip_over_period
angular_even_odd,direct_110,normal_tension,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524975,0.0,0.0
angular_even_odd,direct_110,normal_tension,1,0.05,0.0,stable_local_equilibrium,1.4699179373689475e-14,1,0.8167732958670231,1.9960671071915758e-17,8.788265711887609e-07,-8.776522794810819e-07,4.709464410333285,0.00033890520274148497,1.9960671071915758e-17
angular_even_odd,direct_110,normal_tension,2,0.15,0.0,stable_local_equilibrium,4.864164626638967e-15,1,0.8173300798943467,6.293531115219823e-17,7.952082393566793e-06,-7.920099758689179e-06,4.680436854361513,0.0010208235846788432,6.293531115219823e-17
angular_even_odd,direct_110,normal_tension,3,0.4,0.0,stable_local_equilibrium,1.0061396160665481e-15,2,0.8187420692853341,-4.8635626241520323e-17,5.7323942773349954e-05,-5.670395379294506e-05,4.607866920117134,0.0027501503497500087,-4.8635626241520323e-17
angular_even_odd,direct_110,normal_tension,4,1.0,0.0,stable_local_equilibrium,9.409140133698202e-15,3,0.8222544660563156,-4.0568329791381165e-18,0.00037060380605860875,-0.00036037251770954713,4.433643630812872,0.007051940281301947,-4.0568329791381165e-18
angular_even_odd,direct_110,normal_tension,5,2.0,0.0,stable_local_equilibrium,3.83026943495679e-15,5,0.8285448167669911,-1.1230001545299738e-17,0.001574658041067602,-0.0014844426339175828,4.142744077285602,0.014756015053456225,-1.1230001545299738e-17
angular_even_odd,direct_110,normal_tension,6,4.0,0.0,stable_local_equilibrium,2.6645352591003757e-15,10,0.8432491908196409,-1.6245060919810082e-17,0.007244380734909528,-0.006340832580928786,3.555316582266988,0.032765121761462616,-1.6245060919810082e-17
angular_even_odd,direct_110,normal_tension,7,6.0,0.0,stable_local_equilibrium,2.2315482794965646e-14,10,0.8623526486261527,5.131938521343458e-18,0.019493530707018394,-0.015435648017535903,2.948251436249585,0.056161983735833546,5.131938521343458e-18
angular_even_odd,direct_110,normal_tension,8,8.0,0.0,stable_local_equilibrium,1.1102230246251565e-15,10,0.8905236145303048,6.879207600130186e-17,0.04481841781247779,-0.030364754722303336,2.2845062423807536,0.09066422974909119,6.879207600130186e-17
angular_even_odd,direct_110,normal_tension,9,10.0,0.0,stable_local_equilibrium,6.661338147750939e-16,10,0.9608870832376529,6.98022703388136e-17,0.12754226936182878,-0.055764684855582614,1.223056814193015,0.17684152718173834,6.98022703388136e-17
angular_even_odd,direct_110,compression_control,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524975,0.0,0.0
angular_even_odd,direct_110,compression_control,1,-0.1,0.0,stable_local_equilibrium,3.193625919273302e-15,1,0.8159464571955045,1.4090881004472812e-17,3.487334712294184e-06,-3.4966084268321213e-06,4.753007050562683,-0.0006737612196691054,1.4090881004472812e-17
angular_even_odd,direct_110,compression_control,2,-0.5,0.0,stable_local_equilibrium,5.523359547510154e-15,2,0.8137886952252554,-5.341380889247593e-17,8.53826634902516e-05,-8.650339291507882e-05,4.86914092659808,-0.0033164691264154812,-5.341380889247593e-17
angular_even_odd,direct_110,compression_control,3,-0.9,0.0,stable_local_equilibrium,8.326672684688674e-16,2,0.8116959840254275,-2.2241729450405404e-17,0.00027108837509830133,-0.00027741343371689086,4.9853287597080715,-0.005879506435708442,-2.2241729450405404e-17
angular_even_odd,direct_110,compression_control,4,-2.0,0.0,stable_local_equilibrium,5.717648576819556e-15,6,0.80624447783682,-2.96879027742929e-17,0.001269676347925984,-0.0013333782323304354,5.305343344439789,-0.01255621068156507,-2.96879027742929e-17
angular_even_odd,direct_110,pure_resolved_shear,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524975,0.0,0.0
angular_even_odd,direct_110,pure_resolved_shear,1,0.0,0.05,stable_local_equilibrium,1.517214563077733e-14,1,0.8164986452195283,0.0013437363889565992,4.264815349598424e-06,-4.264700816292866e-06,4.723541738633994,2.5282307978893795e-06,0.0013437363889565992
angular_even_odd,direct_110,pure_resolved_shear,2,0.0,0.15,stable_local_equilibrium,9.748522518740477e-15,1,0.8165151654980818,0.004032075567526324,3.839571294585117e-05,-3.838643127072973e-05,4.720048484068135,2.2761357230221933e-05,0.004032075567526324
angular_even_odd,direct_110,pure_resolved_shear,3,0.0,0.4,stable_local_equilibrium,7.646661082105766e-15,2,0.8166290297357228,0.010768147059861689,0.00027364378000124367,-0.0002731723079078057,4.696026843253381,0.00016221599831599517,0.010768147059861689
angular_even_odd,direct_110,pure_resolved_shear,4,0.0,0.8,stable_local_equilibrium,5.12047002021454e-15,2,0.8170305221702238,0.021649342409351388,0.0011032051251430826,-0.0010955406119414286,4.612085560624325,0.0006539417983735431,0.021649342409351388
angular_even_odd,direct_110,pure_resolved_shear,5,0.0,1.2,stable_local_equilibrium,4.0913453180912995e-15,2,0.81771407219262,0.032765969997704064,0.0025157635701660267,-0.0024758917530070816,4.471826898575523,0.0014911161826429982,0.032765969997704064
angular_even_odd,direct_110,pure_resolved_shear,6,0.0,2.0,stable_local_equilibrium,6.711645128554267e-15,4,0.8200373154408467,0.05631666685658225,0.007318460059933292,-0.006980592174123528,4.01834280009576,0.004336496435903708,0.05631666685658225
angular_even_odd,direct_110,pure_resolved_shear,7,0.0,3.0,stable_local_equilibrium,8.069933610244107e-15,5,0.82538224448781,0.09087251009210015,0.01837364368523298,-0.01623575813951982,3.091079265016683,0.0108826708741239,0.09087251009210015
angular_even_odd,direct_110,pure_resolved_shear,8,0.0,4.0,stable_local_equilibrium,3.7636560534792807e-14,5,0.8368643087751865,0.143446376781712,0.04210714209284408,-0.030736204251193278,1.5035663293484396,0.02494527022307682,0.143446376781712
angular_even_odd,direct_110,explicit_45degree_axis,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524975,0.0,0.0
angular_even_odd,direct_110,explicit_45degree_axis,1,0.05,0.05,stable_local_equilibrium,1.227837276296384e-14,1,0.8167753728761166,0.0013478778347726958,5.169970632851475e-06,-5.1554967178029515e-06,4.709026435852019,0.00034144900897657417,0.0013478778347726958
angular_even_odd,direct_110,explicit_45degree_axis,2,0.15,0.15,stable_local_equilibrium,1.2136125437933742e-14,1,0.817349011527965,0.0040696036697802475,4.70657578419801e-05,-4.6663721883873964e-05,4.676470727385845,0.0010440100058599505,0.0040696036697802475
angular_even_odd,direct_110,explicit_45degree_axis,3,0.4,0.4,stable_local_equilibrium,9.922618282587337e-16,2,0.8188813011139049,0.011040453502249865,0.00034497024489961605,-0.00033677201911255366,4.579214464465644,0.0029206738177265505,0.011040453502249865
angular_even_odd,direct_110,explicit_45degree_axis,4,1.0,1.0,stable_local_equilibrium,1.0019762797242038e-14,3,0.8232102086245909,0.02899276654656608,0.0023437859110712208,-0.002189220256329208,4.24712973089058,0.008222481090167811,0.02899276654656608
angular_even_odd,direct_110,explicit_45degree_axis,5,2.0,2.0,stable_local_equilibrium,2.3869795029440866e-15,5,0.8332849268288759,0.06524156113941844,0.011323924175623844,-0.009503834123974774,3.3312187909511595,0.020561440541581294,0.06524156113941844
angular_even_odd,direct_110,explicit_45degree_axis,6,4.0,4.0,continuation_unresolved_or_branch_lost,0.029286626578227948,8,,,,,,,
angular_even_odd,direct_110,explicit_45degree_axis,7,6.0,6.0,not_evaluated_after_branch_loss,nan,0,,,,,,,
angular_even_odd,direct_110,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524975,0.0,0.0
angular_even_odd,direct_110,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,1.9186041644303486e-15,3,0.8193502742530521,0.005547710199237148,0.0001627436870159995,-0.0001592565002059251,4.5716297411307805,0.00349504626471747,0.005547710199237148
angular_even_odd,direct_110,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,1.4654943925052066e-14,3,0.8224049946441513,0.01147596099272564,0.0006813786352041156,-0.0006514671367436716,4.403853673724523,0.007236299397251548,0.01147596099272564
angular_even_odd,direct_110,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,1.0269562977782698e-14,3,0.8193502742530524,0.0055477101992375405,0.00016274368701547914,-0.0001592565002064766,4.571629741130763,0.003495046264717878,0.0055477101992375405
angular_even_odd,direct_110,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,1.7805542971148084e-16,3,0.8164965809277258,-9.082809049855722e-18,7.989476773354908e-16,7.989476773354908e-16,4.7239783815249865,-2.7194799110210365e-16,-9.082809049855722e-18
angular_even_odd,shockley_112,normal_tension,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524971,0.0,0.0
angular_even_odd,shockley_112,normal_tension,1,0.05,0.0,stable_local_equilibrium,8.292845576907126e-15,1,0.8167732958670232,-3.865323659180481e-17,8.788265714252862e-07,-8.776522792452612e-07,4.709464410333287,0.00033890520274162093,-2.23164565513288e-17
angular_even_odd,shockley_112,normal_tension,2,0.15,0.0,stable_local_equilibrium,8.951173136040325e-16,1,0.8173300798943466,5.101995536596914e-17,7.9520823932218e-06,-7.920099759032058e-06,4.680436854361523,0.0010208235846787073,2.9456384964584977e-17
angular_even_odd,shockley_112,normal_tension,3,0.4,0.0,stable_local_equilibrium,1.033895191682177e-15,2,0.8187420692853341,5.586912993790235e-17,5.7323942773463294e-05,-5.670395379283172e-05,4.607866920117133,0.0027501503497500087,3.2256057209038103e-17
