sectors,charge_rate_model,time_model,kernel_norm
2,0.0,0.0,80.82626535214504
2,0.0,0.001,79.43521504021172
2,0.0,0.01,68.13406014549453
2,0.0,0.1,17.935734113970135
2,0.0,1.0,0.21006076144526134
2,3.0,0.0,80.82626535214503
2,3.0,0.001,79.19726649636823
2,3.0,0.01,66.1203943507206
2,3.0,0.1,13.287118632931753
2,3.0,1.0,0.010458309491480787
2,30.0,0.0,80.82626535214504
2,30.0,0.001,77.08754964223874
2,30.0,0.01,50.474953204806425
2,30.0,0.1,0.8929676205600708
2,30.0,1.0,1.9656694061523256e-14
2,300.0,0.0,80.82626535214511
2,300.0,0.001,58.84705466555934
2,300.0,0.01,3.3921951106441854
2,300.0,0.1,1.6783583750848167e-12
2,300.0,1.0,1.0814348587939093e-131
2,3000.0,0.0,80.82626535214403
2,3000.0,0.001,3.9548464820231772
2,3000.0,0.01,6.3757284617942944e-12
2,3000.0,0.1,9.23367503547725e-130
2,3000.0,1.0,0.0
3,0.0,0.0,49.45810065549183
3,0.0,0.001,48.62269774182005
3,0.0,0.01,41.78683686915538
3,0.0,0.1,10.874461202538475
3,0.0,1.0,0.13687624188845776
3,3.0,0.0,49.45810065549184
3,3.0,0.001,48.47704823209628
3,3.0,0.01,40.55184920079195
3,3.0,0.1,8.055998998936944
3,3.0,1.0,0.006814666812836932
3,30.0,0.0,49.45810065549183
3,30.0,0.001,47.18567985262839
3,30.0,0.01,30.956450137324875
3,30.0,0.1,0.5414075433544749
3,30.0,1.0,1.2808362649840321e-14
3,300.0,0.0,49.45810065549187
3,300.0,0.001,36.020580425840116
3,300.0,0.01,2.0804441040815935
3,300.0,0.1,1.0175910792299701e-12
3,300.0,1.0,7.046662989339578e-132
3,3000.0,0.0,49.45810065548976
3,3000.0,0.001,2.420781576702016
3,3000.0,0.01,3.910254644829802e-12
3,3000.0,0.1,5.598390358159002e-130
3,3000.0,1.0,0.0
