radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.09827438439792155,-2.819007541664596e-05,0.0983025744733382,2,True
1.0,0.14840710775365043,-4.952595534598404e-05,0.14845663370899642,4,True
1.5,0.2876756826749317,-9.758283687964652e-05,0.28777326551181137,10,True
2.0,0.37141996466386185,-0.0001240251310344474,0.3715439897948963,18,True
2.5,0.43975857358448034,-0.00015902869265636583,0.4399176022771368,30,True
3.0,0.4826137388521759,-0.0001480168797920788,0.482761755731968,40,True
3.5,0.5361106639518429,-0.0001422807811319778,0.5362529447329749,56,True
4.0,0.5762082918022811,-0.00012731900995083012,0.5763356108122321,72,True
4.5,0.61117617367824,-0.00011355657497837193,0.6112897302532181,90,True
5.0,0.6481108598033948,-9.808044889666017e-05,0.6482089402522915,112,True
5.5,0.680932308367317,-8.183590461393402e-05,0.681014144271931,136,True
6.0,0.7055372976138193,-7.11198131787317e-05,0.7056084174269981,158,True
6.5,0.7358885738757381,-3.9030018953960604e-05,0.735927603894692,188,True
7.0,0.7629642439301483,-1.5004603908452699e-05,0.762979248534057,220,True
7.5,0.7875391993138176,1.0598383647158708e-05,0.7875286009301704,254,True
8.0,0.8078706511547212,3.251670381785427e-05,0.8078381344509034,286,True
