grid_points,spacing,survival,continuum_survival,error,MFPT_max_error
31,0.06666666666666665,0.47447744460792685,0.47448746037974915,1.0015771822302622e-05,6.217248937900877e-15
61,0.033333333333333326,0.47448505822774495,0.47448746037974915,2.402152004199465e-06,2.220446049250313e-14
121,0.01666666666666672,0.4744868661841674,0.47448746037974915,5.941955817378997e-07,3.3306690738754696e-14
