ring,reciprocal_tolerance,force_RMS_eV_L0,maximum_force_error_eV_L0,change_RMS_eV_L0,change_maximum_eV_L0,interpretation
5,2e-12,0.09958135348869879,0.24713573509967612,,,"frozen source configuration, no new fit"
7,2e-12,0.09956887482687259,0.2469996005232123,5.014732364032984e-05,0.0001361345764638311,"frozen source configuration, no new fit"
9,2e-12,0.09956766858975638,0.24698350037266203,5.864314285899276e-06,1.610015055025782e-05,"frozen source configuration, no new fit"
9,2e-14,0.09956766858975638,0.24698350037266203,0.0,0.0,"frozen source configuration, no new fit"
