label,eta,max_excluded_q_error,positive_LJ,exact_residual,duality_gap,conditional_rank,coefficient_count,material_accepted
baseline,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,3,10,False
positive_density_vector_shape_t-0.5,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
positive_density_vector_shape_t0.5,12.50710436473389,2.1008314677606976,True,3.197442310920451e-14,1.7763568394002505e-14,4,11,False
positive_density_vector_shape_t1,12.506256219835521,2.100628427542365,True,1.3322676295501878e-13,-4.796163466380676e-14,4,11,False
positive_density_vector_shape_t2,12.506155635894732,2.1006042542953747,True,5.1514348342607263e-14,4.796163466380676e-14,4,11,False
positive_density_vector_shape_t4,12.5054926717578,2.100444924741154,True,2.1316282072803006e-13,-7.993605777301127e-14,4,11,False
positive_density_vector_shape_t8,12.487607758623977,2.096132233950657,True,2.842170943040401e-14,5.329070518200751e-15,4,11,False
density_vector_cone_capacity_NOT_model_selection,12.4627296666468,2.090167781745848,True,9.592326932761353e-14,-2.1316282072803006e-14,5,16,False
