cut,opening_angstrom,energy_eV_surface_cell,energy_J_m2
shuffle,0.0,0.0,0.0
shuffle,0.05,0.012381405280876834,0.015532026487752044
shuffle,0.1,0.047606571461429326,0.059720727345225516
shuffle,0.15000000000000002,0.10304228458998921,0.12926283061601343
shuffle,0.2,0.17632488737892515,0.22119321345932164
shuffle,0.25,0.2652953179984223,0.33280341065907537
shuffle,0.30000000000000004,0.3679407173475653,0.4615683630509632
shuffle,0.35000000000000003,0.48234081889476954,0.6050791655102835
shuffle,0.4,0.6066177408565494,0.7609800830505548
shuffle,0.45,0.738888228149662,0.9269086400744958
shuffle,0.5,0.8772179103396098,1.1004382386197453
shuffle,0.55,1.0195778460442284,1.2790236448800456
shuffle,0.6000000000000001,1.1638046467204504,1.4599509659335543
shuffle,0.65,1.307566999744779,1.6402956541543812
shuffle,0.7000000000000001,1.448343693692479,1.8168949407176744
shuffle,0.75,1.5834215972492416,1.9863453002171796
shuffle,0.8,1.7099267577783621,2.1450414626964416
shuffle,0.8500000000000001,1.8249079334138258,2.2892812016476585
shuffle,0.9,1.9254986912836927,2.415468680388132
shuffle,0.9500000000000001,2.009188709608054,2.5204547907597954
shuffle,1.0,2.074229042262459,2.6020455429113865
shuffle,1.05,2.1201619193975034,2.6596666810726632
shuffle,1.1,2.148371512435972,2.695054598384354
shuffle,1.1500000000000001,2.162366564992439,2.712610887195953
shuffle,1.2000000000000002,2.1672853967839814,2.718781384319816
shuffle,1.25,2.1682389793679278,2.719977619287989
shuffle,1.3,2.1682996520614637,2.720053730994351
shuffle,1.35,2.168299999957469,2.720054167417346
shuffle,1.4000000000000001,2.1682999999586485,2.720054167418825
shuffle,1.4500000000000002,2.1682999999586485,2.720054167418825
shuffle,1.5,2.1682999999586485,2.720054167418825
shuffle,1.55,2.1682999999586485,2.720054167418825
shuffle,1.6,2.1682999999586485,2.720054167418825
shuffle,1.6500000000000001,2.1682999999586485,2.720054167418825
shuffle,1.7000000000000002,2.1682999999586485,2.720054167418825
shuffle,1.75,2.1682999999586485,2.720054167418825
shuffle,1.8,2.1682999999586485,2.720054167418825
shuffle,1.85,2.1682999999586485,2.720054167418825
shuffle,1.9000000000000001,2.1682999999586485,2.720054167418825
shuffle,1.9500000000000002,2.1682999999586485,2.720054167418825
shuffle,2.0,2.1682999999586485,2.720054167418825
shuffle,2.0500000000000003,2.1682999999586485,2.720054167418825
shuffle,2.1,2.1682999999586485,2.720054167418825
shuffle,2.15,2.1682999999586485,2.720054167418825
