opening_angstrom,slip_angstrom,energy_eV_surface_cell
0.0,-1.9201307111207224,1.1055121052325347
0.0,-1.6801143722306322,1.0726321281070739
0.0,-1.4400980333405418,0.9635924608050033
0.0,-1.2000816944504515,0.7613175883835623
0.0,-0.9600653555603612,0.5254529723073631
0.0,-0.7200490166702709,0.3141301130093126
0.0,-0.48003267778018066,0.14404559354312596
0.0,-0.24001633889009022,0.036470015528678346
0.0,0.0,0.0
0.0,0.24001633889009022,0.036470015528678346
0.0,0.48003267778018066,0.14404559354312596
0.0,0.7200490166702711,0.3141301130092984
0.0,0.9600653555603611,0.5254529723073489
0.0,1.2000816944504515,0.7613175883835623
0.0,1.440098033340542,0.9635924608050033
0.0,1.680114372230632,1.0726321281070739
0.0,1.9201307111207224,1.105512105232549
0.25,-1.9201307111207224,1.754779007940087
0.25,-1.6801143722306322,1.6703480750694837
0.25,-1.4400980333405418,1.436173441206492
0.25,-1.2000816944504515,1.1439495324713675
0.25,-0.9600653555603612,0.8635939731904756
0.25,-0.7200490166702709,0.6185014396631345
0.25,-0.48003267778018066,0.42781006877638106
0.25,-0.24001633889009022,0.3067796911189049
0.25,0.0,0.2652953179984223
0.25,0.24001633889009022,0.3067796911189049
0.25,0.48003267778018066,0.42781006877636685
0.25,0.7200490166702711,0.6185014396631345
0.25,0.9600653555603611,0.8635939731904614
0.25,1.2000816944504515,1.1439495324713818
0.25,1.440098033340542,1.436173441206492
0.25,1.680114372230632,1.6703480750694695
0.25,1.9201307111207224,1.754779007940087
0.5,-1.9201307111207224,2.1230846340622236
0.5,-1.6801143722306322,2.044119465129967
0.5,-1.4400980333405418,1.8639651598698492
0.5,-1.2000816944504515,1.6396186421855958
0.5,-0.9600653555603612,1.4065208890754803
0.5,-0.7200490166702709,1.193595841813618
0.5,-0.48003267778018066,1.0239244308022393
0.5,-0.24001633889009022,0.9148295289995758
0.5,0.0,0.8772179103396098
0.5,0.24001633889009022,0.9148295289995758
0.5,0.48003267778018066,1.0239244308022393
0.5,0.7200490166702711,1.193595841813618
0.5,0.9600653555603611,1.4065208890754803
0.5,1.2000816944504515,1.6396186421855958
0.5,1.440098033340542,1.8639651598698492
0.5,1.680114372230632,2.044119465129967
0.5,1.9201307111207224,2.1230846340622236
0.75,-1.9201307111207224,2.168298829049803
0.75,-1.6801143722306322,2.1658469115912737
0.75,-1.4400980333405418,2.135132607898882
0.75,-1.2000816944504515,2.052494454483721
0.75,-0.9600653555603612,1.9315415407833996
0.75,-0.7200490166702709,1.8007507573757664
0.75,-0.48003267778018066,1.686936863293127
