model,index,name,role,units,state,target,scale,prediction,residual,diagonal_curvature_opposite_beyond_discrepancy_scale
baseline,0,normal_strain_force_ev,exact,eV/strain,,0.0,0.1,8.881784197001252e-16,8.881784197001252e-15,False
baseline,1,cohesive_ev_atom,exact,eV/atom,,3.36,0.0672,3.3599999999999994,-6.608470384673551e-15,False
baseline,2,C11_GPa,exact,GPa,,113.99999999999996,5.699999999999998,113.9999999999998,-2.7424456467933698e-14,False
baseline,3,C12_GPa,exact,GPa,,62.000000000000014,3.100000000000001,61.999999999999886,-4.125732014090903e-14,False
baseline,4,C44_GPa,exact,GPa,,32.0,1.6,32.00000000000003,1.7763568394002505e-14,False
baseline,5,perfect_Haa,exact,eV/L0^2,"[0.816496580927726, 0.0, 0.0]",19.66091286328976,1.9660912863289761,19.660912863289848,4.517483119303703e-14,False
baseline,6,perfect_Hxx,exact,eV/L0^2,"[0.816496580927726, 0.0, 0.0]",4.393593035123306,0.43935930351233066,4.393593035123388,1.8598084519705238e-13,False
baseline,7,saddle_Haa,fit,eV/L0^2,"[0.8492922641076963, 0.3714061259442337, 0.2144314267925794]",12.717337762538286,1.2717337762538286,10.96101146062827,-1.3810487184539992,False
baseline,8,saddle_Hxx,fit,eV/L0^2,"[0.8492922641076963, 0.3714061259442337, 0.2144314267925794]",-0.18642463121762062,0.018642463121762064,-0.37084415653800484,-9.892444153750489,False
baseline,9,fault_Haa,fit,eV/L0^2,"[0.8356612484876702, 0.5, 0.28867513459481275]",14.140554350039636,1.4140554350039638,11.105883237808682,-2.1460764812395405,False
baseline,10,fault_Hxx,fit,eV/L0^2,"[0.8356612484876702, 0.5, 0.28867513459481275]",2.4858929774856264,0.24858929774856264,-0.292703181404484,-11.177456889960485,True
baseline,11,saddle_normal_path_coupling,fit,eV/L0^2,"[0.8492922641076963, 0.3714061259442337, 0.2144314267925794]",1.2055891043737141,0.12055891043737142,0.2826659151338845,-7.655371020620451,False
baseline,12,new_direct_017_Haa,fit,eV/L0^2,"[0.816496580927726, 0.17, 0.0]",26.109437232644353,2.6109437232644357,23.24516308649326,-1.0970263819282635,False
baseline,13,new_direct_039_Haa,fit,eV/L0^2,"[0.816496580927726, 0.39, 0.0]",36.31678531793335,3.6316785317933356,60.49634371077641,6.657956694449799,False
baseline,14,new_raised_direct_Haa,fit,eV/L0^2,"[0.8695688586880281, 0.29, 0.0]",20.00400949091716,2.000400949091716,15.39316882748489,-2.304958246258494,False
baseline,15,new_off_path_positive_Haa,fit,eV/L0^2,"[0.8532389270694737, 0.19, 0.085]",13.446420569551602,1.3446420569551603,10.369897755060045,-2.2879864560075633,False
baseline,16,new_off_path_negative_Haa,fit,eV/L0^2,"[0.9144761706390533, 0.37, -0.095]",13.5831841481301,1.35831841481301,13.353507016824725,-0.16908931573087174,False
baseline,17,new_shockley_058_Haa,fit,eV/L0^2,"[0.816496580927726, 0.29, 0.16743157806499145]",23.107568998056017,2.3107568998056016,21.312523735105238,-0.7768213363776139,False
baseline,18,v16_direct011_Haa,fit,eV/L0^2,"[0.816496580927726, 0.11, 0.0]",23.17866876533168,2.317866876533168,17.46077747723542,-2.466876482849828,False
baseline,19,v16_direct031_Haa,fit,eV/L0^2,"[0.816496580927726, 0.31, 0.0]",34.460781638400974,3.4460781638400975,46.16068253643197,3.395135090317669,False
baseline,20,v16_raised043_Haa,fit,eV/L0^2,"[0.8899812732112214, 0.43, 0.0]",18.238440853611248,1.8238440853611249,15.582236507588386,-1.4563768730795477,False
baseline,21,v16_off_plus_Haa,fit,eV/L0^2,"[0.8369089954509191, 0.23, 0.065]",20.981095919956758,2.098109591995676,16.511620567988135,-2.130239225357792,False
baseline,22,v16_off_minus_Haa,fit,eV/L0^2,"[0.9471360338761622, 0.32, -0.12]",5.497617912510364,0.5497617912510364,5.585171582511132,0.15925746640473257,False
baseline,23,v16_shockley043_Haa,fit,eV/L0^2,"[0.816496580927726, 0.215, 0.12413030787576952]",25.03469226049791,2.5034692260497913,20.94009149144347,-1.6355706419108986,False
baseline,24,v16_opening1.21_Haa,fit,eV/L0^2,"[0.9879608629225485, 0.0, 0.0]",-1.3832350292334812,0.13832350292334814,-0.7583997836627768,4.517202300153983,False
baseline,25,v16_opening1.62_Haa,fit,eV/L0^2,"[1.3227244611029163, 0.0, 0.0]",-0.15582859326870177,0.1,-0.2744110206534992,-1.1858242738479743,False
baseline,26,v16_opening1.93_Haa,fit,eV/L0^2,"[1.575838401190511, 0.0, 0.0]",-0.6638075680371565,0.1,-0.09229696128255051,5.715106067546059,False
baseline,27,v16_opening2.71_Haa,fit,eV/L0^2,"[2.2127057343141376, 0.0, 0.0]",0.0,0.1,-0.1902936022698322,-1.9029360226983218,False
baseline,28,v16_opening4.3_Haa,fit,eV/L0^2,"[3.5109352979892217, 0.0, 0.0]",0.0,0.1,-0.0506144650203958,-0.5061446502039579,False
baseline,29,v16_opening6.2_Haa,fit,eV/L0^2,"[5.062278801751901, 0.0, 0.0]",0.0,0.1,-0.009377846683715286,-0.09377846683715285,False
baseline,30,v17_near_0.985_Haa,fit,eV/L0^2,"[0.8042491322138101, 0.0, 0.0]",20.878110673451364,2.0878110673451364,16.3609331583965,-2.163594965898382,False
baseline,31,v17_near_1.015_Haa,fit,eV/L0^2,"[0.8287440296416418, 0.0, 0.0]",18.39295935022696,1.839295935022696,10.91601143316329,-4.065114142152121,False
baseline,32,v17_near_1.065_Haa,fit,eV/L0^2,"[0.8695688586880281, 0.0, 0.0]",14.605604041867348,1.4605604041867348,4.659392342263206,-6.8098598805589035,False
baseline,33,v17_near_1.095_Haa,fit,eV/L0^2,"[0.89406375611586, 0.0, 0.0]",11.545874277606002,1.1545874277606003,2.491839060495673,-7.841792660666015,False
baseline,34,v17_direct023_Haa,heldout,eV/L0^2,"[0.816496580927726, 0.23, 0.0]",29.67272464413389,2.967272464413389,31.72557028144949,0.6918291669994766,False
baseline,35,v17_direct023_Hxx,heldout,eV/L0^2,"[0.816496580927726, 0.23, 0.0]",1.5318476269016676,0.1531847626901668,1.2999509460542396,-1.5138364728642424,False
baseline,36,v17_direct047_Haa,heldout,eV/L0^2,"[0.816496580927726, 0.47, 0.0]",35.337517734960244,3.5337517734960247,69.05065065592282,9.540322886802366,False
baseline,37,v17_direct047_Hxx,heldout,eV/L0^2,"[0.816496580927726, 0.47, 0.0]",-7.290154929569364,0.7290154929569365,-3.4270025215057354,5.299136226027817,False
baseline,38,v17_off_plus_Haa,heldout,eV/L0^2,"[0.8777338244973054, 0.27, 0.095]",13.145916399036436,1.3145916399036437,7.714196810823811,-4.131868348570022,False
baseline,39,v17_off_plus_Hxx,heldout,eV/L0^2,"[0.8777338244973054, 0.27, 0.095]",0.5867789207029961,0.1,0.05927281733517429,-5.2750610336782175,False
baseline,40,v17_off_minus_Haa,heldout,eV/L0^2,"[0.9267236193529691, 0.41, -0.07]",11.464221151869252,1.1464221151869252,9.993320904111048,-1.2830354790550877,False
baseline,41,v17_off_minus_Hxx,heldout,eV/L0^2,"[0.9267236193529691, 0.41, -0.07]",-2.835312235036081,0.2835312235036081,0.13485543627090774,10.475628167524173,False
baseline,42,v17_shockley067_Haa,heldout,eV/L0^2,"[0.8450739612601964, 0.335, 0.19341234017852463]",14.560238367523052,1.4560238367523053,12.491460226048865,-1.4208408470074532,False
baseline,43,v17_shockley067_Hxx,heldout,eV/L0^2,"[0.8450739612601964, 0.335, 0.19341234017852463]",0.4530475235373633,0.1,-0.18368892624027755,-6.367364497776409,True
baseline,44,v17_compression_Haa,heldout,eV/L0^2,"[0.7944511732426774, 0.08, -0.025]",26.962376342241654,2.6962376342241656,23.32052017707092,-1.3507177998495175,False
baseline,45,v17_compression_Hxx,heldout,eV/L0^2,"[0.7944511732426774, 0.08, -0.025]",5.568444170552721,0.5568444170552721,2.985046124963368,-4.639353410870107,False
baseline,46,v17_opening1.045_Haa,heldout,eV/L0^2,"[0.8532389270694737, 0.0, 0.0]",16.173163667497242,1.6173163667497243,6.638720772705362,-5.895224391967902,False
baseline,47,v17_opening1.045_Hxx,heldout,eV/L0^2,"[0.8532389270694737, 0.0, 0.0]",3.5468340021412335,0.35468340021412337,0.5256706045598184,-8.517915966063057,False
baseline,48,v17_opening1.255_Haa,heldout,eV/L0^2,"[1.024703209064296, 0.0, 0.0]",-3.07660296796585,0.307660296796585,-0.9946015592211491,6.767208607749775,False
baseline,49,v17_opening1.255_Hxx,heldout,eV/L0^2,"[1.024703209064296, 0.0, 0.0]",-0.8591645505462155,0.1,-0.22249818825486192,6.366663622913536,False
baseline,50,v17_opening1.555_Haa,heldout,eV/L0^2,"[1.269652183342614, 0.0, 0.0]",-0.9598397042596563,0.1,-0.385049169575501,5.747905346841553,False
baseline,51,v17_opening1.555_Hxx,heldout,eV/L0^2,"[1.269652183342614, 0.0, 0.0]",-0.8905810007935903,0.1,-0.06661176152692062,8.239692392666695,False
baseline,52,v17_opening1.855_Haa,heldout,eV/L0^2,"[1.5146011576209317, 0.0, 0.0]",0.33758173393615254,0.1,-0.1001322688298442,-4.3771400276599675,True
baseline,53,v17_opening1.855_Hxx,heldout,eV/L0^2,"[1.5146011576209317, 0.0, 0.0]",-0.0764657682265532,0.1,-0.011261124963601099,0.6520464326295209,False
baseline,54,v17_opening2.455_Haa,heldout,eV/L0^2,"[2.0044991061775677, 0.0, 0.0]",1.5212189106347462,0.15212189106347462,-0.17916226342343564,-11.177754642483889,True
baseline,55,v17_opening2.455_Hxx,heldout,eV/L0^2,"[2.0044991061775677, 0.0, 0.0]",0.04446583977668427,0.1,-0.00016943951707017827,-0.4463527929375445,False
baseline,56,v17_opening3.75_Haa,heldout,eV/L0^2,"[3.0618621784789726, 0.0, 0.0]",0.0,0.1,-0.08916925767685965,-0.8916925767685965,False
baseline,57,v17_opening3.75_Hxx,heldout,eV/L0^2,"[3.0618621784789726, 0.0, 0.0]",0.0,0.1,-1.7250489142609091e-09,-1.725048914260909e-08,False
baseline,58,v19_new_0_Haa,heldout,eV/L0^2,"[0.8099646082803043, 0.0, 0.0]",20.302032153219432,2.030203215321943,14.663546517504503,-2.7773011061953206,False
baseline,59,v19_new_0_Hxx,heldout,eV/L0^2,"[0.8099646082803043, 0.0, 0.0]",4.57090105595751,0.45709010559575103,1.7891887037121184,-6.085698023631098,False
baseline,60,v19_new_1_Haa,heldout,eV/L0^2,"[0.8393584851937024, 0.0, 0.0]",17.415188636660293,1.7415188636660295,8.725535561184111,-4.9896979336668235,False
baseline,61,v19_new_1_Hxx,heldout,eV/L0^2,"[0.8393584851937024, 0.0, 0.0]",3.8361643120715834,0.3836164312071584,0.8030554000643481,-7.906618865262612,False
baseline,62,v19_new_2_Haa,heldout,eV/L0^2,"[0.9348885851622464, 0.0, 0.0]",5.20946471789603,0.5209464717896031,0.37427207598752693,-9.281553679206631,False
baseline,63,v19_new_2_Hxx,heldout,eV/L0^2,"[0.9348885851622464, 0.0, 0.0]",0.9642979846199059,0.1,-0.15347561384079342,-11.177735984606993,True
baseline,64,v19_new_3_Haa,heldout,eV/L0^2,"[1.081857969729237, 0.0, 0.0]",-4.940080180276789,0.4940080180276789,-0.9789127435452059,8.018427418539677,False
baseline,65,v19_new_3_Hxx,heldout,eV/L0^2,"[1.081857969729237, 0.0, 0.0]",-1.007259835979608,0.10072598359796081,-0.1871762188362167,8.141728557515858,False
baseline,66,v19_new_4_Haa,heldout,eV/L0^2,"[1.392126670481773, 0.0, 0.0]",0.9032785116339533,0.1,-0.17673779608708762,-10.800163077210408,True
baseline,67,v19_new_4_Hxx,heldout,eV/L0^2,"[1.392126670481773, 0.0, 0.0]",0.6453579543796875,0.1,-0.02852629800299159,-6.73884252382679,False
baseline,68,v19_new_5_Haa,heldout,eV/L0^2,"[1.775880063517804, 0.0, 0.0]",-2.478203100860398,0.2478203100860398,-0.12843197485225916,9.481753635092824,False
baseline,69,v19_new_5_Hxx,heldout,eV/L0^2,"[1.775880063517804, 0.0, 0.0]",0.0933444416558671,0.1,-0.0012912501474445645,-0.9463569180331166,False
baseline,70,v19_new_6_Haa,heldout,eV/L0^2,"[0.8638533826215342, 0.173, -0.043]",16.75498366183509,1.6754983661835092,11.364611461990071,-3.217175443819346,False
baseline,71,v19_new_6_Hxx,heldout,eV/L0^2,"[0.8638533826215342, 0.173, -0.043]",1.866294182504276,0.18662941825042761,0.6248843238490518,-6.651737278575479,False
baseline,72,v19_new_7_Haa,heldout,eV/L0^2,"[0.9716309313039939, 0.367, 0.081]",3.3869832062735408,0.3386983206273541,0.8285820487615861,-7.553628115938558,False
baseline,73,v19_new_7_Hxx,heldout,eV/L0^2,"[0.9716309313039939, 0.367, 0.081]",-0.5656137494473082,0.1,-0.06018159576995507,5.054321536773531,False
baseline,74,v19_new_8_Haa,heldout,eV/L0^2,"[0.816496580927726, 0.317, 0.0]",34.71656366870985,3.4716563668709854,47.495629315736224,3.6809707806836256,False
baseline,75,v19_new_8_Hxx,heldout,eV/L0^2,"[0.816496580927726, 0.317, 0.0]",-0.974896485841256,0.1,-0.22395582457988766,7.509406612613683,False
baseline,76,v19_new_9_Haa,heldout,eV/L0^2,"[0.8287440296416418, 0.413, 0.219]",14.396252629283666,1.4396252629283666,14.701973799619394,0.2123616320221105,False
baseline,77,v19_new_9_Hxx,heldout,eV/L0^2,"[0.8287440296416418, 0.413, 0.219]",-0.11946413441426519,0.1,-0.4827264411641422,-3.6326230674987703,False
baseline,78,v19_power_new_0_Haa,heldout,eV/L0^2,"[0.801799642471027, 0.0, 0.0]",21.133296310436656,2.1133296310436656,17.067102929721273,-1.9240696392011962,False
baseline,79,v19_power_new_0_Hxx,heldout,eV/L0^2,"[0.801799642471027, 0.0, 0.0]",4.803281906544594,0.4803281906544594,2.0236232244111214,-5.786998839993374,False
baseline,80,v19_power_new_1_Haa,heldout,eV/L0^2,"[0.8589544031359678, 0.0, 0.0]",15.66515497295868,1.5665154972958681,5.889696675090428,-6.240256361806013,False
baseline,81,v19_power_new_1_Hxx,heldout,eV/L0^2,"[0.8589544031359678, 0.0, 0.0]",3.4372637547611467,0.3437263754761147,0.4327317428398578,-8.741057498888596,False
baseline,82,v19_power_new_2_Haa,heldout,eV/L0^2,"[0.953668006523584, 0.0, 0.0]",1.5124016664736504,0.15124016664736506,-0.17812428433255897,-11.177757789356827,True
baseline,83,v19_power_new_2_Hxx,heldout,eV/L0^2,"[0.953668006523584, 0.0, 0.0]",0.07390822082095283,0.1,-0.19500940777454712,-2.6891762859549995,False
baseline,84,v19_power_new_3_Haa,heldout,eV/L0^2,"[1.1308477645849007, 0.0, 0.0]",-6.006053628734572,0.6006053628734572,-0.826039602594097,8.624654967045078,False
baseline,85,v19_power_new_3_Hxx,heldout,eV/L0^2,"[1.1308477645849007, 0.0, 0.0]",-1.4153601110072371,0.14153601110072372,-0.14992300498612526,8.94074303903172,False
baseline,86,v19_power_new_4_Haa,heldout,eV/L0^2,"[1.4411164653374364, 0.0, 0.0]",0.9838769358246306,0.1,-0.1338988432507244,-11.17775779075355,True
baseline,87,v19_power_new_4_Hxx,heldout,eV/L0^2,"[1.4411164653374364, 0.0, 0.0]",0.5300888191539206,0.1,-0.019834114484979466,-5.499229336389001,False
baseline,88,v19_power_new_5_Haa,heldout,eV/L0^2,"[1.8656946874198541, 0.0, 0.0]",-2.5224317074829634,0.25224317074829633,-0.1519794706816372,9.39748826407954,False
baseline,89,v19_power_new_5_Hxx,heldout,eV/L0^2,"[1.8656946874198541, 0.0, 0.0]",-0.10536285587305545,0.1,-0.0005886079650126464,1.047742479080428,False
baseline,90,v19_power_new_6_Haa,heldout,eV/L0^2,"[0.8507894373266905, 0.193, -0.063]",22.032873653678617,2.2032873653678617,18.106746193731723,-1.7819407135262115,False
baseline,91,v19_power_new_6_Hxx,heldout,eV/L0^2,"[0.8507894373266905, 0.193, -0.063]",1.976588687531336,0.19765886875313363,0.9999615476884265,-4.940973030978284,False
baseline,92,v19_power_new_7_Haa,heldout,eV/L0^2,"[0.9593834825900781, 0.347, 0.061]",3.6257942400934606,0.36257942400934606,1.4473059361049352,-6.008306483305494,False
baseline,93,v19_power_new_7_Hxx,heldout,eV/L0^2,"[0.9593834825900781, 0.347, 0.061]",-0.7324824081355719,0.1,-0.017725640509868305,7.147567676257035,False
baseline,94,v19_power_new_8_Haa,heldout,eV/L0^2,"[0.816496580927726, 0.337, 0.0]",35.390692237109825,3.5390692237109826,51.28033549564478,4.489780293665309,False
baseline,95,v19_power_new_8_Hxx,heldout,eV/L0^2,"[0.816496580927726, 0.337, 0.0]",-1.532495429303305,0.15324954293033052,-0.7078858488145441,5.380828971631194,False
baseline,96,v19_power_new_9_Haa,heldout,eV/L0^2,"[0.834459505708136, 0.393, 0.229]",13.640977289265752,1.3640977289265752,13.544332749366701,-0.07084869203257302,False
baseline,97,v19_power_new_9_Hxx,heldout,eV/L0^2,"[0.834459505708136, 0.393, 0.229]",-0.0018561341338510467,0.1,-0.35563354252132945,-3.5377740838747838,False
baseline,98,v20_new_0_Haa,heldout,eV/L0^2,"[0.8189460706705092, 0.0, 0.0]",19.407850341619266,1.9407850341619266,11.824604351829587,-3.90730856653802,False
baseline,99,v20_new_0_Hxx,heldout,eV/L0^2,"[0.8189460706705092, 0.0, 0.0]",4.329394100444026,0.4329394100444026,2.3078079435251198,-4.6694435988434755,False
baseline,100,v20_new_1_Haa,heldout,eV/L0^2,"[0.8360924988699915, 0.0, 0.0]",17.703231197779825,1.7703231197779825,9.243993912542864,-4.778357798489261,False
baseline,101,v20_new_1_Hxx,heldout,eV/L0^2,"[0.8360924988699915, 0.0, 0.0]",3.9093512902826126,0.3909351290282613,0.8946432921445968,-7.711530057765871,False
baseline,102,v20_new_2_Haa,heldout,eV/L0^2,"[0.8793668176591609, 0.0, 0.0]",13.514055878705095,1.3514055878705096,3.6898489877470237,-7.2696213328810195,False
baseline,103,v20_new_2_Hxx,heldout,eV/L0^2,"[0.8793668176591609, 0.0, 0.0]",2.9805611045837717,0.29805611045837715,0.17502411997304698,-9.412781305829029,False
baseline,104,v20_new_3_Haa,heldout,eV/L0^2,"[1.0067402842838862, 0.0, 0.0]",-2.2820717486649773,0.22820717486649775,-0.9154110251189533,5.9886842924440336,False
baseline,105,v20_new_3_Hxx,heldout,eV/L0^2,"[1.0067402842838862, 0.0, 0.0]",-0.8053213981525169,0.1,-0.22727767168628302,5.780437264662339,False
baseline,106,v20_new_4_Haa,heldout,eV/L0^2,"[1.254955244885915, 0.0, 0.0]",-1.9854681988380205,0.19854681988380207,-0.42187464328335506,7.8751881116491615,False
baseline,107,v20_new_4_Hxx,heldout,eV/L0^2,"[1.254955244885915, 0.0, 0.0]",-1.0730096719553677,0.10730096719553678,-0.07323580287151911,9.317473040685085,False
baseline,108,v20_new_5_Haa,heldout,eV/L0^2,"[1.486840273869389, 0.0, 0.0]",0.4318686304614479,0.1,-0.1092295694887403,-5.410981999501883,True
baseline,109,v20_new_5_Hxx,heldout,eV/L0^2,"[1.486840273869389, 0.0, 0.0]",0.05966529359502488,0.1,-0.013984163870185261,-0.7364945746521013,False
baseline,110,v20_new_6_Haa,heldout,eV/L0^2,"[1.6795334669683324, 0.0, 0.0]",-1.7417609490586863,0.17417609490586863,-0.10431960390248028,9.401068189300842,False
baseline,111,v20_new_6_Hxx,heldout,eV/L0^2,"[1.6795334669683324, 0.0, 0.0]",0.20899465255336805,0.1,-0.0029373626823911993,-2.1193201523575924,False
baseline,112,v20_new_7_Haa,heldout,eV/L0^2,"[0.8271110364797863, 0.083, -0.041]",21.501318205218237,2.150131820521824,13.895510611957384,-3.5373680444462097,False
baseline,113,v20_new_7_Hxx,heldout,eV/L0^2,"[0.8271110364797863, 0.083, -0.041]",4.662002299739686,0.4662002299739686,1.4644124889731391,-6.858833619505275,False
baseline,114,v20_new_8_Haa,heldout,eV/L0^2,"[0.8548719202313291, 0.213, 0.079]",14.458727489192233,1.4458727489192233,10.780688311192863,-2.543819420311138,False
baseline,115,v20_new_8_Hxx,heldout,eV/L0^2,"[0.8548719202313291, 0.213, 0.079]",0.86111106885732,0.1,0.3851061656200256,-4.760049032372944,False
baseline,116,v20_new_9_Haa,heldout,eV/L0^2,"[0.9005957287632818, 0.383, 0.183]",11.056850642860084,1.1056850642860085,4.253202416382659,-6.153332848780816,False
baseline,117,v20_new_9_Hxx,heldout,eV/L0^2,"[0.9005957287632818, 0.383, 0.183]",0.0757661767331005,0.1,-0.45549332801350084,-5.312595047466013,False
baseline,118,v20_new_10_Haa,heldout,eV/L0^2,"[0.8107811048612319, 0.123, -0.021]",26.40271381173358,2.640271381173358,21.35871045714256,-1.9104109488735297,False
baseline,119,v20_new_10_Hxx,heldout,eV/L0^2,"[0.8107811048612319, 0.123, -0.021]",4.254835571305176,0.42548355713051766,2.146484337853701,-4.9551885099163435,False
baseline,120,v20_new_11_Haa,heldout,eV/L0^2,"[1.0230702159024407, 0.443, 0.163]",2.8654264155114735,0.28654264155114734,-0.33747782806985954,-11.177757789357228,True
baseline,121,v20_new_11_Hxx,heldout,eV/L0^2,"[1.0230702159024407, 0.443, 0.163]",-0.12044589256531853,0.1,-0.2574154813979231,-1.3696958883260457,False
baseline,122,v32_q0_H00,fit,eV/L0^2,,1.6071853175180872,0.3871874135709727,1.5074665650069998,-0.2575464723695329,False
baseline,123,v32_q0_H11,fit,eV/L0^2,,3.778484710232485,0.3871874135709727,3.9930625606604595,0.5541963475748204,False
baseline,124,v32_q0_H22,fit,eV/L0^2,,5.5400914279154465,0.3871874135709727,5.853821625398071,0.8102799483824563,False
baseline,125,v32_q0_H01,fit,eV/L0^2,,-1.5177286414361958e-17,0.3871874135709727,2.8982645958382155e-16,7.877418927055989e-16,False
baseline,126,v32_q0_H02,fit,eV/L0^2,,-9.45828328360523e-17,0.3871874135709727,-1.4027416337713621e-16,-1.180083053828622e-16,False
baseline,127,v32_q0_H12,fit,eV/L0^2,,-3.523213435365955,0.3871874135709727,-3.7215181294766033,-0.5121672016187542,False
baseline,128,v32_q1_H00,fit,eV/L0^2,,11.020541195662586,2.565934883399439,7.897089179490443,-1.2172764150717987,False
baseline,129,v32_q1_H11,fit,eV/L0^2,,27.51034114112903,2.565934883399439,48.278029117239974,8.093614577076561,False
baseline,130,v32_q1_H22,fit,eV/L0^2,,37.17324859129323,2.565934883399439,65.85464722119372,11.177757789356829,False
baseline,131,v32_q1_H01,fit,eV/L0^2,,-8.047950485487693e-17,2.565934883399439,-5.959975978138733e-15,-2.29136620392116e-15,False
baseline,132,v32_q1_H02,fit,eV/L0^2,,1.6095900970975385e-16,2.565934883399439,-1.8390833039376443e-16,-1.3440221820696641e-16,False
baseline,133,v32_q1_H12,fit,eV/L0^2,,-19.325814900328513,2.565934883399439,-35.15323620791007,-6.168286424561501,False
baseline,134,v32_q2_H00,fit,eV/L0^2,,2.553605837827099,0.581483715936639,2.561062886929445,0.01282417529153781,False
baseline,135,v32_q2_H11,fit,eV/L0^2,,2.5536058378271016,0.581483715936639,2.561062886929437,0.01282417529151948,False
