case,species,count,arrangement,chemical_concentration_cm3,opening_A,energy_eV,delta_energy_eV,area_A2,separation_work_J_m2,conjugate_force_eV_A,rigid_traction_GPa,affine_stress_zz_GPa,nonaffine_correction_GPa,total_force_norm_eV_A
Si_00_pure,Si,0,pure,0.0,0.0,-1162.8489074129375,0.0,155.52997112368598,0.0,7.232437392898965e-08,7.450423936975768e-08,7.450442745659559e-08,-1.8808683790796622e-13,8.530626322738232e-16
Si_00_pure,Si,0,pure,0.0,0.03,-1162.814968199699,0.03393921323845461,155.52997112368598,0.0034962145259933323,2.2186052354362626,2.285474267502588,0.21889411223965874,2.0665801552629293,7.195705973296907e-16
Si_00_pure,Si,0,pure,0.0,0.1,-1162.5028037621207,0.3461036508167581,155.52997112368598,0.03565352570146886,6.5232429017525835,6.719854237472228,0.664405680843361,6.055448556628868,1.0172349430192035e-15
Si_00_pure,Si,0,pure,0.0,0.2,-1161.6031778631793,1.2457295497581526,155.52997112368598,0.12832759901425173,11.2526253290246,11.591780827235135,1.1895077019044913,10.402273125330645,3.0407022589802433e-15
Si_00_pure,Si,0,pure,0.0,0.35,-1159.5068145689768,3.3420928439606996,155.52997112368598,0.34428239294111035,16.31280389649672,16.804473793161332,1.7936480446781151,15.010825748483217,3.1971036052713985e-15
Si_00_pure,Si,0,pure,0.0,0.5,-1156.8468192248736,6.002088188063908,155.52997112368598,0.618299185722596,18.620725266634462,19.181956194545787,2.1048775969464923,17.077078597599293,2.8270038382639417e-15
Si_00_pure,Si,0,pure,0.0,0.7,-1153.2129067817255,9.636000631212028,155.52997112368598,0.9926430864093427,16.950210352278983,17.461091757169665,1.9617367702852349,15.499354986884432,2.7650884965436095e-15
Si_00_pure,Si,0,pure,0.0,0.9,-1150.2332737183872,12.615633694550297,155.52997112368598,1.2995870430939327,12.786665201234896,13.17205684807044,1.4768284649850343,11.695228383085405,1.0977711480081957e-15
Si_00_pure,Si,0,pure,0.0,1.1,-1148.032926108659,14.815981304278466,155.52997112368598,1.5262536785670837,9.481084623101141,9.766845668626226,1.0557179738131952,8.711127694813031,1.717686069475059e-15
Si_00_pure,Si,0,pure,0.0,1.4,-1145.650418925131,17.19848848780657,155.52997112368598,1.7716853025947275,6.60290181448335,6.801914079536742,0.6452431074001213,6.156670972136621,1.1503625755432153e-15
Si_00_pure,Si,0,pure,0.0,1.8,-1143.6600890888328,19.18881832410466,155.52997112368598,1.9767171645973174,3.4589196034878253,3.5631718617022017,0.14816307974759382,3.415008781954608,5.817478204640978e-16
Si_00_pure,Si,0,pure,0.0,2.3,-1142.5740259216009,20.2748814913366,155.52997112368598,2.08859688893696,1.3688155375965563,1.4100718046486935,-0.18508675162181057,1.5951585562705044,2.5884676089169954e-15
Si_00_pure,Si,0,pure,0.0,3.0,-1141.8001084984185,21.04879891451901,155.52997112368598,2.168321227796527,0.7037079004440596,0.7249177422890722,-0.2872283199472399,1.0121460622363123,1.8773092172407202e-15
Si_00_pure,Si,0,pure,0.0,4.0,-1141.630267118753,21.218640294184524,155.52997112368598,2.185817269750397,-4.440892098500626e-16,-4.574741127338483e-16,-0.41558708528814964,0.41558708528814914,6.60409819246887e-16
Si_00_pure,Si,0,pure,0.0,6.0,-1141.630267118753,21.218640294184524,155.52997112368598,2.185817269750397,5.551115123125783e-17,5.718426409173104e-17,-0.3914447733404663,0.3914447733404664,1.4160751691126837e-15
Si_00_pure,Si,0,pure,0.0,8.0,-1141.630267118753,21.218640294184524,155.52997112368598,2.185817269750397,-3.885780586188048e-16,-4.002898486421173e-16,-0.369953415501575,0.36995341550157457,6.60409819246887e-16
Si_00_pure,Si,0,pure,0.0,10.0,-1141.630267118753,21.218640294184524,155.52997112368598,2.185817269750397,-4.996003610813204e-16,-5.146583768255793e-16,-0.35069910318563186,0.3506991031856314,6.60409819246887e-16
