profile,parameter,baseline,counterfactual,adopted
sign_only,u,0.004691290237097735,0.13863445724900766,False
sign_only,v,0.010748901179499448,0.3346864125389396,False
sign_only,A,2.164270267643741,5.514963617872682,False
sign_only,B,1.1151150845574143,3.9276587284895514,False
sign_only,C,2.2616200179977715,0.19487793321987443,False
sign_only,D3,25.907737627659625,3.256640713922301,False
sign_only,D1,2.3233021601990624,0.26616455543707185,False
sign_only,D2,2.6384659593382307,-0.7821602794520988,False
sign_only,D_Eg,1.6254251376231954,0.6729075191425776,False
sign_only,K3,9456.761143180593,0.0,False
sign_and_sampled_spectrum,u,0.004691290237097735,0.13863445724900766,False
sign_and_sampled_spectrum,v,0.010748901179499448,0.3346864125389396,False
sign_and_sampled_spectrum,A,2.164270267643741,5.514963617872682,False
sign_and_sampled_spectrum,B,1.1151150845574143,3.9276587284895514,False
sign_and_sampled_spectrum,C,2.2616200179977715,0.19487793321987443,False
sign_and_sampled_spectrum,D3,25.907737627659625,3.256640713922301,False
sign_and_sampled_spectrum,D1,2.3233021601990624,0.26616455543707185,False
sign_and_sampled_spectrum,D2,2.6384659593382307,-0.7821602794520988,False
sign_and_sampled_spectrum,D_Eg,1.6254251376231954,0.6729075191425776,False
sign_and_sampled_spectrum,K3,9456.761143180593,0.0,False
