profile,observable,previous_role,target,scale,units,baseline,prediction,normalized_residual,used_in_core_objective,retained_as_exact_anchor
sign_only,normal_strain_force_ev,exact,0.0,0.1,eV/strain,-2.220446049250313e-16,0.0,0.0,False,True
sign_only,cohesive_ev_atom,exact,3.36,0.0672,eV/atom,3.360000000000002,3.359999999999995,-7.269317423140907e-14,False,True
sign_only,C11_GPa,exact,113.99999999999996,5.699999999999998,GPa,114.00000000000003,113.99999999999993,-4.9862648123515816e-15,False,True
sign_only,C12_GPa,exact,62.000000000000014,3.100000000000001,GPa,61.99999999999996,61.99999999999988,-4.354939348207064e-14,False,True
sign_only,C44_GPa,exact,32.0,1.6,GPa,31.99999999999993,31.999999999999964,-2.220446049250313e-14,False,True
sign_only,perfect_Haa,exact,19.66091286328976,1.9660912863289761,eV/L0^2,19.66091286328976,19.66091286328968,-3.9753851449872583e-14,False,True
sign_only,perfect_Hxx,exact,4.393593035123306,0.43935930351233066,eV/L0^2,4.393593035123308,4.393593035123269,-8.490429889430652e-14,False,True
sign_only,saddle_energy_at_source_state,fit,0.07624909750742465,0.007624909750742465,eV/cell,0.06884892588927363,0.030452674465314536,-6.006159356528875,False,False
sign_only,saddle_normal_force_at_source_state,fit,1.4903612010162394e-15,0.03173805605024358,eV/L0,0.05565397450718204,0.22134724302823341,6.974190312028677,False,False
sign_only,fault_energy_at_source_state,fit,0.06670794504308616,0.006670794504308616,eV/cell,0.05442702517841587,0.007979982264382152,-8.803743353325014,False,False
sign_only,fault_normal_force_at_source_state,fit,5.29078226360765e-15,0.03173805605024358,eV/L0,-0.07203116028534375,0.27523577979560865,8.672105795007916,False,False
sign_only,saddle_path_force_at_source_state,fit,2.296700476743968e-16,0.03173805605024358,eV/L0,-0.09845704695291861,-0.16087777787295293,-5.068923491037771,False,False
sign_only,opening_1.1h_energy,fit,0.05670265774764735,0.005670265774764736,eV/cell,0.049612745357088595,0.04441132012660448,-2.1676828052302093,False,False
sign_only,opening_1.5h_energy,fit,0.4710312483934004,0.04710312483934004,eV/cell,0.4009390208404068,0.28660897014300496,-3.915287550017655,False,False
sign_only,opening_2h_energy,fit,0.7060534019484034,0.07060534019484034,eV/cell,0.6613987047880989,0.3809619504626012,-4.604346506775405,False,False
