state,neighborhood_cutoff_A,region,atoms,resolved_residual_atoms,mean_D2_A2,max_D2_A2
loading_0pct,2.8,free_surface,96,0,,
loading_0pct,2.8,free_core,120,120,6.495703239276475e-30,1.661378469998733e-28
loading_0pct,2.8,grip_neighbors,36,20,1.1382941306143304e-29,1.661378469998733e-28
loading_0pct,2.8,other_free,180,100,5.518255625903109e-30,9.571870619898347e-29
loading_0pct,4.2,free_surface,96,96,1.8862197873825086e-29,2.8355505961245305e-28
loading_0pct,4.2,free_core,120,120,8.100848086639025e-30,4.381692389259447e-28
loading_0pct,4.2,grip_neighbors,36,36,2.8497856690666462e-30,1.0112481780166729e-29
loading_0pct,4.2,other_free,180,180,1.48904471233194e-29,4.381692389259447e-28
loading_2pct,2.8,free_surface,96,0,,
loading_2pct,2.8,free_core,120,120,0.0007127636557000328,0.0028000572939637374
loading_2pct,2.8,grip_neighbors,36,20,0.0006216734138525259,0.0012651651210275588
loading_2pct,2.8,other_free,180,100,0.0007309817040695345,0.0028000572939637374
loading_2pct,4.2,free_surface,96,96,0.0005431816754256468,0.002053337924444961
loading_2pct,4.2,free_core,120,120,0.00044287466748292175,0.0015714225500671418
loading_2pct,4.2,grip_neighbors,36,36,0.0009357789790076831,0.002053337924444961
loading_2pct,4.2,other_free,180,180,0.0003977908760807561,0.0015714225500671418
loading_4pct,2.8,free_surface,96,0,,
loading_4pct,2.8,free_core,120,120,0.003435267947391934,0.02644996556182072
loading_4pct,2.8,grip_neighbors,36,20,0.002329064028224507,0.004937475531536792
loading_4pct,2.8,other_free,180,100,0.0036565087312254206,0.02644996556182072
loading_4pct,4.2,free_surface,96,96,0.0033192784560312143,0.023661997552873047
loading_4pct,4.2,free_core,120,120,0.002544325677869171,0.02189801072876718
loading_4pct,4.2,grip_neighbors,36,36,0.003992193324228877,0.009559947173763374
loading_4pct,4.2,other_free,180,180,0.00266806029695032,0.023661997552873047
loading_6pct,2.8,free_surface,96,0,,
loading_6pct,2.8,free_core,120,120,0.008108653372283147,0.048683528801814493
loading_6pct,2.8,grip_neighbors,36,20,0.005159104873308328,0.012292513165673006
loading_6pct,2.8,other_free,180,100,0.008698563072078112,0.048683528801814493
loading_6pct,4.2,free_surface,96,96,0.007704417824463937,0.04058696891313572
loading_6pct,4.2,free_core,120,120,0.005660392273346621,0.03902547809042575
loading_6pct,4.2,grip_neighbors,36,36,0.010145718142139956,0.03272117127671789
loading_6pct,4.2,other_free,180,180,0.005853474060183856,0.04058696891313572
loading_8pct,2.8,free_surface,96,0,,
loading_8pct,2.8,free_core,120,120,0.0408651675597851,0.19959939744555205
loading_8pct,2.8,grip_neighbors,36,20,0.010205056768535368,0.034152835881820706
loading_8pct,2.8,other_free,180,100,0.04699718971803504,0.19959939744555205
loading_8pct,4.2,free_surface,96,96,0.04483037398942758,0.19751665560024265
loading_8pct,4.2,free_core,120,120,0.04791134795134363,0.2208463435516385
loading_8pct,4.2,grip_neighbors,36,36,0.03320581007266511,0.1222269708356922
loading_8pct,4.2,other_free,180,180,0.04920926941405745,0.2208463435516385
loading_10pct,2.8,free_surface,96,0,,
loading_10pct,2.8,free_core,120,120,0.4043026367245753,3.7405259529474906
loading_10pct,2.8,grip_neighbors,36,20,0.013338885139987202,0.0961481531644677
loading_10pct,2.8,other_free,180,100,0.482495387041493,3.7405259529474906
loading_10pct,4.2,free_surface,96,96,0.6797842603756563,2.780513044986366
loading_10pct,4.2,free_core,120,120,0.7568276283308916,4.338640484278373
loading_10pct,4.2,grip_neighbors,36,36,0.27138285868324785,1.282372396758628
loading_10pct,4.2,other_free,180,180,0.8128267860176281,4.338640484278373
return_8pct,2.8,free_surface,96,0,,
return_8pct,2.8,free_core,120,120,0.4280473410450194,3.604184082133677
return_8pct,2.8,grip_neighbors,36,20,0.006906219264305772,0.030749271516166743
return_8pct,2.8,other_free,180,100,0.5122755654011621,3.604184082133677
return_8pct,4.2,free_surface,96,96,0.7226386122731149,2.837086104828875
return_8pct,4.2,free_core,120,120,0.7719742294527611,4.251202563998575
return_8pct,4.2,grip_neighbors,36,36,0.24588634821253275,1.1471077186517553
return_8pct,4.2,other_free,180,180,0.8508794765383287,4.251202563998575
