state,change,atom_i,atom_j,initial_surface_i,initial_surface_j,touches_grip,old_distance_A,distance_A,midpoint_z_A
return_8pct,lost,185,210,False,False,False,2.3367096137716707,3.1692630784135467,1.287606162238161
return_8pct,lost,190,201,False,False,False,2.336725698900372,3.169263078199259,1.2876061610843372
return_8pct,lost,194,195,True,True,False,2.3395934501689757,4.729043633577153,2.100755399717231
return_8pct,lost,196,197,False,False,False,2.3639978448605286,3.6831113538851623,0.15957618867688983
return_8pct,lost,198,199,False,False,False,2.3649944327652315,3.885221349132675,2.11365286866555
return_8pct,lost,200,201,False,False,False,2.3416884360746675,3.3837435787022825,-0.1780763568028102
return_8pct,lost,203,236,False,False,False,2.3404509116559473,3.1542545009781553,3.110436420131423
return_8pct,lost,203,238,False,False,False,2.3595732082224345,4.4996987239308215,4.696079464563796
return_8pct,lost,205,240,True,True,False,2.3396242572830146,4.729043633921095,2.100755398867697
return_8pct,lost,211,244,False,False,False,2.3404730159885636,3.1542544954318776,3.110436420356808
return_8pct,lost,213,248,False,False,False,2.365089886729405,3.8852213486440643,2.1136528673279162
return_8pct,lost,230,245,True,False,False,2.347886492915966,3.1297266969555033,6.573161829038767
return_8pct,lost,234,249,False,False,False,2.379787908266738,3.6016275142590355,6.377317434496684
return_8pct,lost,237,272,False,False,False,2.3402103145338615,3.2325029270763026,6.777519466237342
return_8pct,lost,238,241,False,True,False,2.3479092504332515,3.129726697442312,6.573161826206645
return_8pct,lost,243,278,True,True,False,2.347397361305178,3.682077872480501,8.40703708111224
return_8pct,lost,244,245,False,False,False,2.359645334899439,4.499698720093185,4.696079466323128
return_8pct,lost,246,247,False,False,False,2.340319489791829,3.2325029258181366,6.77751946917272
return_8pct,lost,251,286,False,False,False,2.366889857998027,3.9069083470801598,9.553876641691037
return_8pct,lost,253,288,True,True,False,2.3963565853654996,4.166653505013006,10.567245259237485
return_8pct,lost,254,255,True,True,False,2.396383859859662,4.166653509014854,10.56724525627071
return_8pct,lost,259,263,True,True,False,2.4554982414227244,4.572391539430313,12.049635298452003
return_8pct,lost,264,265,True,True,False,2.3474707977568663,3.6820778788485686,8.407037074303778
return_8pct,lost,268,269,False,False,False,2.3669971331026605,3.9069083504772633,9.553876641758688
return_8pct,lost,292,296,True,True,False,2.455675504682735,4.572391548510956,12.049635301224995
return_8pct,formed,121,129,True,False,False,3.5795395890189057,2.417351746273495,-7.5437284187389135
return_8pct,formed,134,138,True,False,False,3.5801016436860986,2.4173517585286493,-7.5437284253644545
return_8pct,formed,145,153,True,False,False,3.100376157047705,2.5165909010485366,-3.605949855416951
return_8pct,formed,146,150,True,False,False,3.101488712998551,2.5165909032011373,-3.605949850754399
return_8pct,formed,147,159,True,True,False,6.314932831812746,2.46519769325922,-2.1335136156660104
return_8pct,formed,147,161,True,False,False,3.757519505694246,2.4367313759019416,-2.9396166202824654
return_8pct,formed,147,196,True,False,False,4.5801993682979125,2.665674690779605,-1.870710326141586
return_8pct,formed,149,153,False,False,False,3.3833824694390744,2.687754432989659,-3.6158400768755805
return_8pct,formed,150,154,False,False,False,3.38330789315399,2.687754434541822,-3.6158400694079487
return_8pct,formed,150,155,False,True,False,3.677581421765631,2.5276495626121718,-2.2091084039877016
return_8pct,formed,151,182,True,True,False,3.7039498564439035,2.474644221233283,0.5829476246989935
return_8pct,formed,151,196,True,False,False,4.3280196840387655,2.376367819793794,-0.9426925074666199
return_8pct,formed,153,184,False,True,False,3.677769614043383,2.5276495665971144,-2.209108406598288
return_8pct,formed,155,200,True,False,False,4.408138839211616,2.389268152181492,-1.3313145841104037
return_8pct,formed,157,165,True,False,False,3.54565633617519,2.3975289379688896,-3.720406930266293
return_8pct,formed,163,167,False,False,False,4.062115375204791,2.570700145061879,-1.6871003196829308
return_8pct,formed,170,174,True,False,False,3.5462827271506603,2.3975289377351436,-3.720406937804631
return_8pct,formed,171,175,True,False,False,3.692418125015341,2.3566003228327292,-1.5477168175498826
return_8pct,formed,175,184,False,True,False,4.4078998467654,2.38926815183294,-1.3313145867488032
return_8pct,formed,178,180,False,True,False,3.7583938364813214,2.4367313735019827,-2.9396166193450943
return_8pct,formed,179,180,False,True,False,4.581005193134998,2.6656746929719977,-1.870710324878038
return_8pct,formed,179,188,False,True,False,4.328284746648865,2.376367819515222,-0.9426925065454259
