state,reference_midpoint_A,reference_gap_A,current_mean_layer_gap_A,initial_crossing_pairs,current_crossing_pairs,lost_initial_pairs,new_pairs
loading_0pct,-9.18786744175,1.9342878824999996,1.9690267099632965,18,18,0,0
loading_0pct,-7.2535795593,1.9342878824000005,1.9490340843544711,18,18,0,0
loading_0pct,-5.31929167685,1.9342878824999996,1.948120832249237,18,18,0,0
loading_0pct,-3.38500379435,1.9342878825,1.9404924798201404,18,18,0,0
loading_0pct,-1.45071591185,1.9342878825,1.9493350485628171,18,18,0,0
loading_0pct,0.48357197064999996,1.9342878825,1.9408501254409776,18,18,0,0
loading_0pct,2.4178598531,1.9342878824000003,1.9496539269020055,18,18,0,0
loading_0pct,4.35214773555,1.9342878824999996,1.9431612258038635,18,18,0,0
loading_0pct,6.28643561805,1.9342878825000005,1.9523685347244717,18,18,0,0
loading_0pct,8.220723500550001,1.9342878824999996,1.923230594486566,18,18,0,0
loading_0pct,10.155011383049999,1.9342878824999996,1.963843000818141,18,18,0,0
loading_2pct,-9.18786744175,1.9342878824999996,2.018511608012437,18,18,0,0
loading_2pct,-7.2535795593,1.9342878824000005,1.9994084493994384,18,18,0,0
loading_2pct,-5.31929167685,1.9342878824999996,1.9988041070925666,18,18,0,0
loading_2pct,-3.38500379435,1.9342878825,1.9870801846793311,18,18,0,0
loading_2pct,-1.45071591185,1.9342878825,1.9972595869030871,18,18,0,0
loading_2pct,0.48357197064999996,1.9342878825,1.9891673949789896,18,18,0,0
loading_2pct,2.4178598531,1.9342878824000003,1.9980951156144129,18,18,0,0
loading_2pct,4.35214773555,1.9342878824999996,1.991654856214987,18,18,0,0
loading_2pct,6.28643561805,1.9342878825000005,1.999543481098164,18,18,0,0
loading_2pct,8.220723500550001,1.9342878824999996,1.9708785254072652,18,18,0,0
loading_2pct,10.155011383049999,1.9342878824999996,2.0103299235506267,18,18,0,0
loading_4pct,-9.18786744175,1.9342878824999996,2.0634737346624146,18,18,0,0
loading_4pct,-7.2535795593,1.9342878824000005,2.0598917216058714,18,18,0,0
loading_4pct,-5.31929167685,1.9342878824999996,2.05903401683499,18,18,0,0
loading_4pct,-3.38500379435,1.9342878825,2.0321348300700732,18,18,0,0
loading_4pct,-1.45071591185,1.9342878825,2.044575570325651,18,18,0,0
loading_4pct,0.48357197064999996,1.9342878825,2.0371087834259947,18,18,0,0
loading_4pct,2.4178598531,1.9342878824000003,2.0461393772445273,18,18,0,0
loading_4pct,4.35214773555,1.9342878824999996,2.039811727433226,18,18,0,0
loading_4pct,6.28643561805,1.9342878825000005,2.045659698646894,18,18,0,0
loading_4pct,8.220723500550001,1.9342878824999996,2.0170315806762407,18,18,0,0
loading_4pct,10.155011383049999,1.9342878824999996,2.0546640228485185,18,18,0,0
loading_6pct,-9.18786744175,1.9342878824999996,2.1064930055377573,18,18,0,0
loading_6pct,-7.2535795593,1.9342878824000005,2.1130094439980365,18,18,0,0
loading_6pct,-5.31929167685,1.9342878824999996,2.112193188464328,18,18,0,0
loading_6pct,-3.38500379435,1.9342878825,2.082457290327643,18,18,0,0
loading_6pct,-1.45071591185,1.9342878825,2.095029293404772,18,18,0,0
loading_6pct,0.48357197064999996,1.9342878825,2.0875266946218844,18,18,0,0
loading_6pct,2.4178598531,1.9342878824000003,2.09663917801561,18,18,0,0
loading_6pct,4.35214773555,1.9342878824999996,2.0906196840586153,18,18,0,0
loading_6pct,6.28643561805,1.9342878825000005,2.093532314040531,18,18,0,0
loading_6pct,8.220723500550001,1.9342878824999996,2.0633621417657215,18,18,0,0
loading_6pct,10.155011383049999,1.9342878824999996,2.1014625297133183,18,18,0,0
loading_8pct,-9.18786744175,1.9342878824999996,2.1260582090886153,18,18,0,0
loading_8pct,-7.2535795593,1.9342878824000005,2.1475899489511523,18,18,0,0
loading_8pct,-5.31929167685,1.9342878824999996,2.1389057460188203,18,18,0,0
loading_8pct,-3.38500379435,1.9342878825,2.139657922821567,18,18,0,0
loading_8pct,-1.45071591185,1.9342878825,2.1522411374520627,18,18,0,0
loading_8pct,0.48357197064999996,1.9342878825,2.149880240306625,18,18,0,0
loading_8pct,2.4178598531,1.9342878824000003,2.1618578124360557,18,18,0,0
loading_8pct,4.35214773555,1.9342878824999996,2.1545194224974784,18,18,0,0
loading_8pct,6.28643561805,1.9342878825000005,2.152924533354395,18,18,0,0
