model,observable,a_L0,x_L0,y_L0,target,prediction,scale,units,normalized_residual,fitted
shape_refinement/old_family,v20_new_0_energy,0.8189460706705092,0.0,0.0,5.8649043216202346e-05,5.769832603536815e-05,0.004433026104653031,eV/cell,-0.0002144623465754675,False
shape_refinement/old_family,v20_new_0_force,0.8189460706705092,0.0,0.0,0.04781880717694997,0.04659997285782626,0.03173805605024358,eV/L0,-0.03840292918993573,False
shape_refinement/old_family,v20_new_0_Haa,0.8189460706705092,0.0,0.0,19.407850341619266,18.410407279767732,1.9407850341619266,eV/L0^2,-0.5139379396967846,False
shape_refinement/old_family,v20_new_0_Hxx,0.8189460706705092,0.0,0.0,4.329394100444026,4.185066437928569,0.4329394100444026,eV/L0^2,-0.33336688498895234,False
shape_refinement/old_family,v20_new_1_energy,0.8360924988699915,0.0,0.0,0.0036442749373840483,0.003235485737666783,0.004433026104653031,eV/cell,-0.09221448059784458,False
shape_refinement/old_family,v20_new_1_force,0.8360924988699915,0.0,0.0,0.3655179304564104,0.30930882039007895,0.03173805605024358,eV/L0,-1.771031911259734,False
shape_refinement/old_family,v20_new_1_Haa,0.8360924988699915,0.0,0.0,17.703231197779825,13.221888569678491,1.7703231197779825,eV/L0^2,-2.531369882727026,False
shape_refinement/old_family,v20_new_1_Hxx,0.8360924988699915,0.0,0.0,3.9093512902826126,3.1848325490789873,0.3909351290282613,eV/L0^2,-1.8532965891413888,False
shape_refinement/old_family,v20_new_2_energy,0.8793668176591609,0.0,0.0,0.034823381685342755,0.02932109734670126,0.004433026104653031,eV/cell,-1.2412027830980155,False
shape_refinement/old_family,v20_new_2_force,0.8793668176591609,0.0,0.0,1.045799857810823,0.933633442818719,0.03173805605024358,eV/L0,-3.534129967334378,False
shape_refinement/old_family,v20_new_2_Haa,0.8793668176591609,0.0,0.0,13.514055878705095,16.85054408693262,1.3514055878705096,eV/L0^2,2.468902184639496,False
shape_refinement/old_family,v20_new_2_Hxx,0.8793668176591609,0.0,0.0,2.9805611045837717,2.311578950619379,0.29805611045837715,eV/L0^2,-2.24448394275686,False
shape_refinement/old_family,v20_new_3_energy,1.0067402842838862,0.0,0.0,0.22661995382203423,0.18184652011796074,0.022661995382203426,eV/cell,-1.9757057112117449,False
shape_refinement/old_family,v20_new_3_force,1.0067402842838862,0.0,0.0,1.596539848274592,1.1139275397561406,0.03173805605024358,eV/L0,-15.20610801601844,False
shape_refinement/old_family,v20_new_3_Haa,1.0067402842838862,0.0,0.0,-2.2820717486649773,-1.159900966221682,0.22820717486649775,eV/L0^2,4.917333484802879,False
shape_refinement/old_family,v20_new_3_Hxx,1.0067402842838862,0.0,0.0,-0.8053213981525169,0.49197412528848555,0.1,eV/L0^2,12.972955234410023,False
shape_refinement/old_family,v20_new_4_energy,1.254955244885915,0.0,0.0,0.4890270726004544,0.4271383969207406,0.04890270726004545,eV/cell,-1.2655470248428997,False
shape_refinement/old_family,v20_new_4_force,1.254955244885915,0.0,0.0,0.5582577926902346,0.8486095284442775,0.03173805605024358,eV/L0,9.148378063684671,False
shape_refinement/old_family,v20_new_4_Haa,1.254955244885915,0.0,0.0,-1.9854681988380205,-1.2411052425894904,0.19854681988380207,eV/L0^2,3.7490550424537776,False
shape_refinement/old_family,v20_new_4_Hxx,1.254955244885915,0.0,0.0,-1.0730096719553677,0.03240355190644267,0.10730096719553678,eV/L0^2,10.301987510023027,False
shape_refinement/old_family,v20_new_5_energy,1.486840273869389,0.0,0.0,0.6157939144055483,0.5903898821789951,0.06157939144055483,eV/cell,-0.4125411380701409,False
shape_refinement/old_family,v20_new_5_force,1.486840273869389,0.0,0.0,0.6195747950914187,0.5638018564865279,0.03173805605024358,eV/L0,-1.7572890575465065,False
shape_refinement/old_family,v20_new_5_Haa,1.486840273869389,0.0,0.0,0.4318686304614479,-1.1359281979658713,0.1,eV/L0^2,-15.677968284273192,False
