model,state,a_L0,ux_L0,uy_L0,energy_eV_cell,energy_J_m2,gradient_norm_eV_L0,eigenvalue_min_eV_L0sq,eigenvalue_middle_eV_L0sq,eigenvalue_max_eV_L0sq,force_a_eV_L0,traction_a_MPa,H_aa_eV_L0sq,H_ax_eV_L0sq,H_ay_eV_L0sq,force_x_eV_L0,traction_x_MPa,H_xa_eV_L0sq,H_xx_eV_L0sq,H_xy_eV_L0sq,force_y_eV_L0,traction_y_MPa,H_ya_eV_L0sq,H_yx_eV_L0sq,H_yy_eV_L0sq,verified,force_residual
source_Al99_target_only,perfect,0.8164983416260692,-2.2615382587845332e-18,1.322951217031349e-16,-3.047592733729232e-11,-6.87474574203475e-11,4.0037402143572675e-15,4.39354662111037,4.393546621110373,19.66074471421831,-4.0024300145742074e-15,-3.1527057046579026e-11,19.66074471421831,-8.942631253948911e-17,2.6416550786868883e-15,-3.974326768612054e-17,-3.130568836919639e-13,-8.942631253948911e-17,4.393546621110372,-7.113218925270575e-18,-9.439361827326018e-17,-7.435365458727877e-13,2.6416550786868883e-15,-7.113218925270575e-18,4.393546621110373,True,4.0024300145742074e-15
source_Al99_target_only,fault,0.8356612484876702,0.5,0.28867513459481275,0.06670794504308616,0.15047947715233978,5.290969936159204e-15,2.485892977485626,2.4858929774856353,14.140554350039636,5.29078226360765e-15,4.1675380615876156e-11,14.140554350039636,-4.874143492124191e-17,5.584142409599729e-15,-2.0195171317187133e-17,-1.590769397251107e-13,-4.874143492124191e-17,2.4858929774856264,-2.7362885180074796e-17,3.9724796924763084e-17,3.1291138989322417e-13,5.584142409599729e-15,-2.7362885180074796e-17,2.485892977485635,True,5.29078226360765e-15
source_Al99_target_only,saddle,0.8492922641076963,0.3714061259442337,0.2144314267925794,0.07624909750742465,0.17200236521817774,1.5174254278945937e-15,-1.8621210587018355,4.5415907748164095,12.817029054677823,1.4903612010162394e-15,1.1739543835458074e-11,12.717337762538286,1.0440707909133644,0.6027945521868591,1.1426102541124502e-16,9.000316940517856e-13,1.0440707909133644,-0.18642463121762062,-2.7297209674064455,2.614341940115987e-16,2.0593116478032706e-12,0.6027945521868591,-2.7297209674064455,2.9655856394717324,True,1.4903612010162394e-15
shape_refinement/old_family,perfect,0.816496580927726,0.0,0.0,1.0988006030059933e-45,2.4786693718150242e-45,6.0507259897744145e-15,4.3935930351232955,4.39359303512332,19.660912863289763,-6.0507154669279554e-15,-4.7661358475683306e-11,19.660912863289763,-5.112900004662707e-15,3.094710137151011e-14,8.03700359831155e-18,6.330730831141963e-14,-5.112900004662707e-15,4.393593035123308,-1.0887229669051781e-14,7.921375104372508e-18,6.239650509653467e-14,3.094710137151011e-14,-1.0887229669051781e-14,4.393593035123306,True,6.0507154669279554e-15
shape_refinement/old_family,fault,0.8400291348405133,0.5000000000000006,0.2886751345948154,0.05427086220929748,0.1224239626117546,2.5560259382002523e-15,2.4496445411875505,2.4496445411876984,16.15915312208327,8.743006318923108e-16,6.886847689318394e-12,16.15915312208327,3.6867226527237836e-14,-1.3561076524904056e-13,8.300821476977684e-16,6.538539619311353e-12,3.6867226527237836e-14,2.4496445411876993,-8.872516132398947e-15,-2.253847960688264e-15,-1.7753512983910102e-11,-1.3561076524904056e-13,-8.872516132398947e-15,2.4496445411875514,True,2.253847960688264e-15
shape_refinement/old_family,saddle,0.84776191295357,0.31860243627849655,0.18394520234986045,0.07206380073842843,0.16256119191986756,6.662699811683786e-15,-1.951052644709172,5.042321690730316,18.39693346618406,4.621303340002214e-15,3.6401909214968656e-11,18.39663732640284,0.06722589041663496,0.03881288592850779,4.166805789296291e-15,3.2821841566949966e-11,0.06722589041663496,-0.20248695601338118,-3.028091684045552,2.381775332516156e-15,1.8761194201258245e-11,0.03881288592850779,-3.028091684045552,3.294052141815748,True,4.621303340002214e-15
