model,path,fraction,energy_J_m2,traction_MPa,Haa,Hxx
source_Al99_target_only,opening,1.475,1.0317676934906073,5506.884420336889,-3.023448577415989,-1.3825510888137884
source_Al99_target_only,opening,1.5,1.062550134543518,5024.927131548183,-3.006575578659488,-1.311723870284294
source_Al99_target_only,opening,1.525,1.090568376774249,4573.40252300694,-2.544598923365598,-1.1760600844285427
source_Al99_target_only,opening,1.55,1.116285320704448,4258.677374401067,-1.2960476149681792,-0.9495134444621599
source_Al99_target_only,opening,1.5750000000000002,1.1407645867758553,4128.183023880289,-0.6534050165353453,-0.7493578679907114
source_Al99_target_only,opening,1.6,1.164630921727925,4046.7465610018535,-0.3589732635471712,-0.5303888223675085
source_Al99_target_only,opening,1.625,1.1881533712682333,4008.057680960035,-0.09138299489962358,-0.22191341804092435
source_Al99_target_only,opening,1.65,1.2115905442359478,4020.2090464263397,0.2623085555514736,0.12106445460653138
source_Al99_target_only,opening,1.675,1.2352695483050906,4090.339873112185,0.5906618909763256,0.43346796757540446
source_Al99_target_only,opening,1.7000000000000002,1.259509797523029,4210.947782674608,0.8855575510298047,0.6306811000325864
source_Al99_target_only,opening,1.725,1.2845534324587038,4360.1458380348495,1.0082750560645064,0.6831987008187325
source_Al99_target_only,opening,1.75,1.3105374021081466,4531.351509241665,1.0610691300030506,0.6312050889802975
source_Al99_target_only,opening,1.775,1.337506491869843,4690.6777087565,0.8826571608227576,0.4449157109753497
source_Al99_target_only,opening,1.8,1.365300219299982,4811.143951463935,0.6137612988182899,0.21929870315778352
source_Al99_target_only,opening,1.8250000000000002,1.393674754103705,4890.970952000846,0.4097830670024802,0.035436373159230546
source_Al99_target_only,opening,1.85,1.4224360125606585,4947.348971253153,0.3325779241933418,-0.06762782570963521
source_Al99_target_only,opening,1.875,1.451520573887404,5005.727139841617,0.37071893907509207,-0.08581518483160257
source_Al99_target_only,opening,1.9,1.4808676767029523,5020.713840824615,-0.1582434060708138,-0.08736641226584342
source_Al99_target_only,opening,1.925,1.5100710051656454,4959.324363566565,-0.5909897913418403,-0.050880570026630295
source_Al99_target_only,opening,1.9500000000000002,1.5387182623090414,4829.282262981591,-1.0437223698747968,-0.042207843058355524
source_Al99_target_only,opening,1.975,1.5663903914418678,4627.449199479866,-1.4500391051578356,-0.03276442464887374
source_Al99_target_only,opening,2.0,1.5927120330000084,4370.78698724459,-1.7175575612481826,0.00599961912283909
source_Al99_target_only,opening,2.5,1.7407353062218858,4.0616717604032395,0.5248597048912113,0.02123562934919742
source_Al99_target_only,opening,3.0,1.7412853086487758,0.0,0.0,0.0
source_Al99_target_only,opening,5.0,1.7412853086487758,0.0,0.0,0.0
source_Al99_target_only,opening,20.0,1.7412853086487758,0.0,0.0,0.0
source_Al99_target_only,opening,40.0,1.7412853086487758,0.0,0.0,0.0
source_Al99_target_only,direct110,0.0,0.0,-0.2726757163300154,19.660912863289713,4.3935930351233
source_Al99_target_only,direct110,0.02,0.0019807540573722904,-41.92061604909941,19.697899448720175,4.378809307597554
source_Al99_target_only,direct110,0.04,0.007893807992239195,-153.8900075202867,19.65676156698771,4.139834746644516
source_Al99_target_only,direct110,0.06,0.017554401050306593,-331.3978959656217,20.42563622220793,4.006787768901267
source_Al99_target_only,direct110,0.08,0.03081889199908358,-636.0544914808205,21.518620021209628,3.842813798480597
source_Al99_target_only,direct110,0.1,0.04754723333637863,-1066.920937494637,22.611628040495848,3.6597953500345053
source_Al99_target_only,direct110,0.12,0.0675971488989193,-1614.597619569201,23.712787176394887,3.594443619932488
source_Al99_target_only,direct110,0.14,0.09087890050303979,-2270.895992281433,24.710436693434247,3.370603139087195
source_Al99_target_only,direct110,0.16,0.11720322704749873,-3043.3178308890215,25.67186840075729,3.107439439711135
source_Al99_target_only,direct110,0.18,0.1463158129579216,-3937.9641043957545,26.532039121729515,2.6364673506503973
source_Al99_target_only,direct110,0.2,0.17782672704085456,-4975.429813061105,27.63408607988755,2.214938759411856
source_Al99_target_only,direct110,0.22,0.21133151945781312,-6159.789073569618,28.976452591702778,1.774741412217897
source_Al99_target_only,direct110,0.24,0.24642611084723307,-7420.055411052014,30.3345921570558,1.2516476138894987
source_Al99_target_only,direct110,0.26,0.2826524188739347,-8710.703579741334,31.73162686585334,0.695625238777024
source_Al99_target_only,direct110,0.28,0.3195059899610138,-9986.551178347621,32.9733616766382,0.12705472808741583
source_Al99_target_only,direct110,0.3,0.3564790462120054,-11212.625592012828,34.05947072110069,-0.4250856512055875
source_Al99_target_only,direct110,0.32,0.39305568768417387,-12358.296998294516,34.81813116531123,-1.0631845729424847
source_Al99_target_only,direct110,0.34,0.42867920397804904,-13394.915635716166,35.48668683491866,-1.605909510792829
source_Al99_target_only,direct110,0.36,0.46286025738171904,-14310.081235901474,36.03865047211313,-2.093835843464512
source_Al99_target_only,direct110,0.38,0.4951275181717762,-15124.634623423617,36.25632536964249,-2.8314866536476124
source_Al99_target_only,direct110,0.4,0.5248335787567171,-15872.131757810528,36.35375001772731,-3.6844196749871942
source_Al99_target_only,direct110,0.42,0.5511809471547351,-16549.622417765757,36.15891687021305,-4.895333812911304
source_Al99_target_only,direct110,0.44,0.5731168841779193,-17129.684209604486,35.779487874248055,-6.106636660274538
source_Al99_target_only,direct110,0.46,0.5895529034393879,-17604.61268117439,35.33376560281077,-7.1407189242914315
source_Al99_target_only,direct110,0.48,0.5996393140464422,-17917.050169575406,35.29429032225511,-7.4229316374819305
source_Al99_target_only,direct110,0.5,0.6030383534361441,-18021.374975276893,35.09995730873622,-7.56638464559133
source_Al99_target_only,direct110,0.52,0.5996393140464421,-17917.050169575403,35.294290322255115,-7.4229316374819305
source_Al99_target_only,direct110,0.54,0.5895529034393879,-17604.612681174392,35.33376560281076,-7.140718924291431
source_Al99_target_only,direct110,0.56,0.5731168841779194,-17129.684209604486,35.77948787424805,-6.106636660274529
source_Al99_target_only,direct110,0.58,0.5511809471547351,-16549.622417765742,36.15891687021305,-4.895333812911304
source_Al99_target_only,direct110,0.6,0.5248335787567171,-15872.13175781052,36.3537500177273,-3.6844196749871942
source_Al99_target_only,direct110,0.62,0.4951275181717762,-15124.634623423617,36.25632536964251,-2.8314866536476124
source_Al99_target_only,direct110,0.64,0.46286025738171904,-14310.081235901467,36.03865047211313,-2.0938358434645123
source_Al99_target_only,direct110,0.66,0.42867920397804904,-13394.915635716166,35.48668683491865,-1.6059095107928287
source_Al99_target_only,direct110,0.68,0.3930556876841739,-12358.296998294512,34.81813116531122,-1.0631845729424847
source_Al99_target_only,direct110,0.7000000000000001,0.3564790462120054,-11212.625592012831,34.05947072110067,-0.42508565120558756
source_Al99_target_only,direct110,0.72,0.3195059899610138,-9986.551178347627,32.9733616766382,0.12705472808741536
source_Al99_target_only,direct110,0.74,0.2826524188739348,-8710.703579741337,31.731626865853332,0.6956252387770293
source_Al99_target_only,direct110,0.76,0.24642611084723404,-7420.055411052055,30.33459215705585,1.2516476138894896
source_Al99_target_only,direct110,0.78,0.21133151945781323,-6159.789073569613,28.976452591702778,1.774741412217897
source_Al99_target_only,direct110,0.8,0.17782672704085442,-4975.4298130611005,27.634086079887553,2.214938759411858
source_Al99_target_only,direct110,0.8200000000000001,0.14631581295792145,-3937.9641043957517,26.532039121729518,2.6364673506503973
source_Al99_target_only,direct110,0.84,0.11720322704749904,-3043.317830889024,25.671868400757283,3.107439439711132
source_Al99_target_only,direct110,0.86,0.09087890050303979,-2270.895992281435,24.710436693434254,3.3706031390871947
source_Al99_target_only,direct110,0.88,0.06759714889891962,-1614.597619569205,23.712787176394883,3.5944436199324876
source_Al99_target_only,direct110,0.9,0.04754723333637863,-1066.9209374946356,22.611628040495848,3.6597953500345053
source_Al99_target_only,direct110,0.92,0.030818891999083456,-636.054491480823,21.51862002120962,3.842813798480593
source_Al99_target_only,direct110,0.9400000000000001,0.017554401050306683,-331.397895965627,20.42563622220794,4.006787768901273
source_Al99_target_only,direct110,0.96,0.007893807992239321,-153.89000752028792,19.656761566987715,4.139834746644515
source_Al99_target_only,direct110,0.98,0.001980754057372384,-41.92061604909564,19.697899448720175,4.378809307597551
source_Al99_target_only,direct110,1.0,0.0,-0.2726757163300154,19.660912863289713,4.3935930351233
source_Al99_target_only,shockley112,0.0,0.0,-0.2726757163300154,19.660912863289713,4.3935930351233
source_Al99_target_only,shockley112,0.02,0.0006519188806482981,-13.908573283599944,19.672855956426076,4.301738949203342
source_Al99_target_only,shockley112,0.04,0.0025712645182305698,-53.30773196737732,19.692432948043937,4.184118182520903
source_Al99_target_only,shockley112,0.06,0.00568589613198312,-105.19925744358966,19.61845351744881,3.902733020289156
source_Al99_target_only,shockley112,0.08,0.0098743454700575,-161.62224008825444,19.554134958970685,3.6104937118737226
source_Al99_target_only,shockley112,0.1,0.015001195030539153,-220.17958834412045,19.484777053591575,3.276431861026828
source_Al99_target_only,shockley112,0.12,0.020918667677532404,-279.20381938899004,19.38179108793526,2.9295983054655155
source_Al99_target_only,shockley112,0.14,0.027472643297462015,-336.6802960578894,19.25091058254606,2.5784511787733626
source_Al99_target_only,shockley112,0.16,0.03450775579956283,-394.4928423597152,19.20455457136573,2.2589418994704853
source_Al99_target_only,shockley112,0.18,0.04187942111347881,-463.185958633232,19.6668542441899,2.0904518274764388
source_Al99_target_only,shockley112,0.2,0.04948292185487493,-543.9871872250682,20.1030027758699,2.0311481654752375
source_Al99_target_only,shockley112,0.22,0.057254763091995065,-639.9954491067876,20.489390550059063,1.984536790720254
source_Al99_target_only,shockley112,0.24,0.0651396880218753,-756.3704298269744,20.821416715588914,1.9379245127764473
source_Al99_target_only,shockley112,0.26,0.07308340775591378,-897.5500775253772,21.100711097923263,1.868447118234352
source_Al99_target_only,shockley112,0.28,0.08102983575551512,-1072.4844214536074,21.50178668356663,1.916055016912766
source_Al99_target_only,shockley112,0.3,0.08896900682406675,-1300.0675468094582,21.95899589198065,1.9837612229833077
source_Al99_target_only,shockley112,0.32,0.09690271331924927,-1578.5270561066802,22.368005055627474,1.9442878839313642
source_Al99_target_only,shockley112,0.34,0.10480565132162231,-1893.0990541461786,22.98880289723204,1.9713823987174202
source_Al99_target_only,shockley112,0.36,0.11266257774976816,-2224.65095814218,23.568620780166192,1.9224461058603883
source_Al99_target_only,shockley112,0.38,0.12044146003528301,-2566.641717917077,24.087350429609874,1.8119814865665747
source_Al99_target_only,shockley112,0.4,0.12808906226469624,-2912.623636569997,24.54051372430873,1.6722588751298306
source_Al99_target_only,shockley112,0.42,0.1355427269663191,-3256.4485951643856,24.916526650989947,1.5294790699225655
source_Al99_target_only,shockley112,0.44,0.1427372456077852,-3588.2117976442673,25.097761691663493,1.3070218999742738
source_Al99_target_only,shockley112,0.46,0.14958513310617266,-3892.3798844629405,25.13916892827817,1.0863084335119277
source_Al99_target_only,shockley112,0.48,0.15599803783871405,-4162.588955260987,25.067219989328596,0.905036203423296
source_Al99_target_only,shockley112,0.5,0.1619054465744817,-4393.030891863946,24.877845757125268,0.7674761625159862
source_Al99_target_only,shockley112,0.52,0.16725642190708587,-4578.253345600245,24.573998089254143,0.6771949488774694
source_Al99_target_only,shockley112,0.54,0.1720210057072641,-4713.471689070228,24.165365064940314,0.6380642840732594
source_Al99_target_only,shockley112,0.56,0.17619067269068742,-4795.815460492203,23.641765558185607,0.6374204034997573
source_Al99_target_only,shockley112,0.58,0.17977573839283523,-4823.355789052198,23.107568998055953,0.6694374621615238
source_Al99_target_only,shockley112,0.6,0.18279518698009953,-4799.989025517459,22.481191023846076,0.6539144438054544
source_Al99_target_only,shockley112,0.62,0.18525707199676594,-4729.671004374537,21.80050604728697,0.657774673371362
source_Al99_target_only,shockley112,0.64,0.18717514461382537,-4615.116829973303,21.07259158365433,0.6523894526370239
source_Al99_target_only,shockley112,0.66,0.1885610545064024,-4461.457944238738,20.29782922799286,0.6025137695408451
source_Al99_target_only,shockley112,0.68,0.1894114161799516,-4275.988731268575,19.491177579122013,0.4906812519613678
source_Al99_target_only,shockley112,0.7000000000000001,0.1897111889869513,-4080.503854421009,18.904343024836717,0.45735843691587197
source_Al99_target_only,shockley112,0.72,0.18945993204029116,-3894.1414151344625,18.27963686595495,0.32877796852305713
source_Al99_target_only,shockley112,0.74,0.18863460036303845,-3724.390121065429,17.715897732609825,0.23238506938666373
source_Al99_target_only,shockley112,0.76,0.18722880521278215,-3559.0349662879553,17.28818742470101,0.26708384644584227
source_Al99_target_only,shockley112,0.78,0.18528781155223475,-3396.465134633232,16.836747474055834,0.29420317097315457
source_Al99_target_only,shockley112,0.8,0.18286118609070728,-3239.783378985578,16.37112585204529,0.3366836024091829
source_Al99_target_only,shockley112,0.8200000000000001,0.1800057637631988,-3091.059655642329,15.893511391185095,0.4062263319735082
source_Al99_target_only,shockley112,0.84,0.1767925701955227,-2953.59396033047,15.414796943949794,0.5972282172436761
source_Al99_target_only,shockley112,0.86,0.17333894073863465,-2831.4239330069536,15.46932025666252,0.9484787015756914
source_Al99_target_only,shockley112,0.88,0.16980598805478103,-2717.935277703419,15.605093376857852,1.3367332192479036
source_Al99_target_only,shockley112,0.9,0.1663683794805919,-2613.0373528339705,15.739113720366598,1.7372558559892401
source_Al99_target_only,shockley112,0.92,0.16320609508854617,-2517.301840882234,15.874278847784726,2.1380407069014873
source_Al99_target_only,shockley112,0.9400000000000001,0.16049784289639138,-2432.5317055322034,16.001522648629226,2.4927520930896283
source_Al99_target_only,shockley112,0.96,0.15840880982293065,-2361.077081996661,16.126699718059676,2.8292781031078387
source_Al99_target_only,shockley112,0.98,0.15708766108102393,-2310.452617563787,16.140026371650688,2.992752738992424
source_Al99_target_only,shockley112,1.0,0.15663043247184877,-2293.2463530042223,16.139824125760825,3.1205019708825565
shape_refinement/old_family,opening,1.0,2.4786693718150242e-45,-4.7661358475683306e-11,19.660912863289763,4.393593035123308
shape_refinement/old_family,opening,1.025,0.007878208897048869,2521.110186272381,13.116326560713153,3.1534181050028587
shape_refinement/old_family,opening,1.05,0.028662679504078126,4613.1732678938415,13.922895325591265,2.653688249716866
shape_refinement/old_family,opening,1.075,0.06275391623655081,7137.108398482095,16.89308721255439,2.3423097800112562
shape_refinement/old_family,opening,1.1,0.11191620393350249,9514.630652132855,10.722373853081798,1.8539095786665227
shape_refinement/old_family,opening,1.125,0.17078586973340446,10338.496848115768,0.2093512235881216,1.3141243205258288
shape_refinement/old_family,opening,1.15,0.23047358117982056,9988.17010408946,-3.407048610920662,0.9555536770651308
shape_refinement/old_family,opening,1.175,0.2872756380779037,9461.757065137417,-2.8702504688255224,0.7523088431283814
shape_refinement/old_family,opening,1.2,0.3414037731342815,9084.281570577705,-1.8730005196554826,0.6211051110386344
shape_refinement/old_family,opening,1.225,0.39373753687407115,8836.854332165503,-1.2735757010791082,0.5204552838924256
shape_refinement/old_family,opening,1.25,0.4448482203137251,8656.929755781823,-1.0056964489320854,0.4359223724191794
shape_refinement/old_family,opening,1.275,0.49499980484671485,8503.922104766889,-0.9177535009621105,0.36291244183418525
shape_refinement/old_family,opening,1.3,0.5442823556761549,8357.364819522621,-0.9141554487199943,0.2997746173985135
shape_refinement/old_family,opening,1.325,0.5927029926703022,8208.091708869715,-0.9460782967603482,0.24559582113230916
shape_refinement/old_family,opening,1.35,0.6402334620608535,8052.478303643783,-0.9905291404119293,0.1995746441866908
shape_refinement/old_family,opening,1.375,0.6868327665440035,7889.452160237319,-1.0371932398102428,0.16088294781607537
shape_refinement/old_family,opening,1.4,0.7324573815248171,7719.0651085317895,-1.0816315901471922,0.12866770290158533
shape_refinement/old_family,opening,1.425,0.7770656771702015,7541.844608598853,-1.122006969351722,0.10208444387062073
shape_refinement/old_family,opening,1.45,0.8206197596020428,7358.5123282098275,-1.1575802121423835,0.08032950170004724
shape_refinement/old_family,opening,1.475,0.8630862152314499,7169.867735724509,-1.1880556709685717,0.06266267914813754
shape_refinement/old_family,opening,1.5,0.9044364083928392,6976.741271286304,-1.2133186901868755,0.04841995273469466
shape_refinement/old_family,opening,1.525,0.9446465958998063,6779.974005757393,-1.2333440790155095,0.0370181188933371
shape_refinement/old_family,opening,1.55,0.9836979524556111,6580.405704060328,-1.24817184321832,0.02795369424818742
shape_refinement/old_family,opening,1.5750000000000002,1.0215765332378772,6378.864714920878,-1.2579039575266937,0.020798116522195792
shape_refinement/old_family,opening,1.6,1.0582731780904302,6176.158041948082,-1.2627036135726062,0.015190850210620891
shape_refinement/old_family,opening,1.625,1.0937833584586274,5973.061775376169,-1.2627911108972656,0.010831560829696826
shape_refinement/old_family,opening,1.65,1.1281069709544507,5770.312503963133,-1.258435917220384,0.00747214751265111
shape_refinement/old_family,opening,1.675,1.161248084902143,5568.60022469534,-1.249946253538718,0.004909131612829156
shape_refinement/old_family,opening,1.7000000000000002,1.1932146535251091,5368.563016486303,-1.237657816504041,0.0029766841067567513
shape_refinement/old_family,opening,1.725,1.2240181992740298,5170.783508137156,-1.2219229099889968,0.0015404246418865197
shape_refinement/old_family,opening,1.75,1.253673483449681,4975.787004605521,-1.2031007804851281,0.0004920259952823989
shape_refinement/old_family,opening,1.775,1.2821981691754,4784.041043017689,-1.1815495309498978,-0.000255403556122219
shape_refinement/old_family,opening,1.8,1.3096124853143845,4595.956115581082,-1.1576196855993708,-0.0007712218816595194
shape_refinement/old_family,opening,1.8250000000000002,1.3359388973895785,4411.887301200124,-1.1316492931983992,-0.001110516823863387
shape_refinement/old_family,opening,1.85,1.3612017901247064,4232.136574129354,-1.1039603643227407,-0.0013168148915611853
shape_refinement/old_family,opening,1.875,1.385427164973742,4056.9555938259746,-1.074856409787525,-0.0014243149558207777
shape_refinement/old_family,opening,1.9,1.4086423549698441,3886.5488171594243,-1.0446208574529612,-0.0014597206637041297
shape_refinement/old_family,opening,1.925,1.430875758397084,3721.076807770406,-1.0135161537642532,-0.0014437370943351834
shape_refinement/old_family,opening,1.9500000000000002,1.4521565921418076,3560.6596456784246,-0.9817833918522126,-0.0013922885383155477
shape_refinement/old_family,opening,1.975,1.4725146650828724,3405.3803628682845,-0.9496423422512609,-0.0013175059532845367
shape_refinement/old_family,opening,2.0,1.491980171499275,3255.288348083201,-0.9172917915423653,-0.0012285250388028158
shape_refinement/old_family,opening,2.5,1.7380926354492565,1242.6071738303806,-0.3847349030205718,-9.527182168795057e-05
shape_refinement/old_family,opening,3.0,1.8298321944198668,454.6893962312174,-0.14293662508060234,-3.995697884326682e-06
shape_refinement/old_family,opening,5.0,1.8815658703118014,8.745814281091082,-0.0024515094803707503,-7.497294464099504e-12
shape_refinement/old_family,opening,20.0,1.883244373553057,0.020509702960458506,-5.025908916639844e-07,-7.046462134277433e-53
shape_refinement/old_family,opening,40.0,1.8832791562374396,0.002376515923107158,-2.8411435233832344e-08,-3.9376986486623876e-106
shape_refinement/old_family,direct110,0.0,2.4786693718150242e-45,-4.7661358475683306e-11,19.660912863289763,4.393593035123308
shape_refinement/old_family,direct110,0.02,0.001985041625769765,-139.95381816004468,20.303953258690193,4.429474493176263
shape_refinement/old_family,direct110,0.04,0.007969907801488521,-554.4082936732825,22.07828665819954,4.502544495402233
shape_refinement/old_family,direct110,0.06,0.018013388968496608,-1221.7669599960968,24.507076513841927,4.51967202689838
shape_refinement/old_family,direct110,0.08,0.03212211686297129,-2092.3326681555463,26.816175119514163,4.367010870660164
shape_refinement/old_family,direct110,0.1,0.05015287640824288,-3082.023089111788,28.128314894411886,3.975111701978843
shape_refinement/old_family,direct110,0.12,0.07175441945694745,-4085.457849454378,27.85213605391377,3.3751355028708643
shape_refinement/old_family,direct110,0.14,0.0963949913673891,-5008.816853039702,26.02572205921889,2.690574834379367
shape_refinement/old_family,direct110,0.16,0.12346766243722837,-5802.468820448102,23.29130658243779,2.0601845880196406
shape_refinement/old_family,direct110,0.18,0.1524093686629653,-6470.436451092475,20.503703134770408,1.5595346674699737
shape_refinement/old_family,direct110,0.2,0.18276768178865208,-7054.014964814727,18.316054075207177,1.1814839201966287
shape_refinement/old_family,direct110,0.22,0.21419698726268002,-7605.717394116467,17.014645754568086,0.8685537654267906
shape_refinement/old_family,direct110,0.24,0.24640988326743632,-8169.491706495698,16.585853178168556,0.5549799163352392
shape_refinement/old_family,direct110,0.26,0.2791197370887413,-8772.18834898324,16.861240020583725,0.1919839425446166
shape_refinement/old_family,direct110,0.28,0.31199715894666824,-9423.318318964979,17.632882277840945,-0.24525500012450907
shape_refinement/old_family,direct110,0.3,0.34464735656921747,-10118.55521271178,18.713054057837276,-0.7605534327746534
shape_refinement/old_family,direct110,0.32,0.3766062406892965,-10843.965123754444,19.953354080083805,-1.3425657266293645
shape_refinement/old_family,direct110,0.34,0.40735025039079564,-11579.680071025537,21.24372850572576,-1.970230852969494
shape_refinement/old_family,direct110,0.36,0.43631504135724464,-12302.735746822416,22.504760798907846,-2.6169790057708737
shape_refinement/old_family,direct110,0.38,0.462919229024841,-12989.18577679817,23.679503080086917,-3.25382494536709
shape_refinement/old_family,direct110,0.4,0.48659036996700067,-13615.6830435927,24.726955907671467,-3.8516756858599788
shape_refinement/old_family,direct110,0.42,0.5067910793589119,-14160.685216725635,25.617450589902404,-4.383115789113543
shape_refinement/old_family,direct110,0.44,0.5230436618928664,-14605.388245679274,26.329574758805204,-4.823827828214859
shape_refinement/old_family,direct110,0.46,0.5349519687120284,-14934.448503448646,26.848195562950686,-5.153725837509777
shape_refinement/old_family,direct110,0.48,0.5422194553946503,-15136.526214589676,27.163221659878005,-5.357832658942644
shape_refinement/old_family,direct110,0.5,0.5446626488101917,-15204.666564899344,27.26886022926555,-5.426908959287882
shape_refinement/old_family,direct110,0.52,0.5422194553946506,-15136.526214589645,27.163221659878133,-5.357832658942623
shape_refinement/old_family,direct110,0.54,0.5349519687120287,-14934.448503448653,26.848195562950824,-5.153725837509757
shape_refinement/old_family,direct110,0.56,0.5230436618928674,-14605.38824567933,26.329574758805194,-4.823827828214876
shape_refinement/old_family,direct110,0.58,0.506791079358913,-14160.685216725671,25.617450589902404,-4.383115789113544
shape_refinement/old_family,direct110,0.6,0.4865903699670015,-13615.683043592699,24.72695590767143,-3.8516756858599868
shape_refinement/old_family,direct110,0.62,0.4629192290248412,-12989.18577679816,23.679503080086988,-3.2538249453670884
shape_refinement/old_family,direct110,0.64,0.43631504135724414,-12302.735746822395,22.50476079890781,-2.6169790057708635
shape_refinement/old_family,direct110,0.66,0.40735025039079564,-11579.680071025572,21.243728505725528,-1.9702308529695045
shape_refinement/old_family,direct110,0.68,0.3766062406892965,-10843.965123754473,19.953354080083606,-1.342565726629378
shape_refinement/old_family,direct110,0.7000000000000001,0.34464735656921736,-10118.555212711788,18.713054057837095,-0.7605534327746506
shape_refinement/old_family,direct110,0.72,0.31199715894666863,-9423.318318964975,17.63288227784087,-0.24525500012449575
shape_refinement/old_family,direct110,0.74,0.2791197370887414,-8772.188348983216,16.86124002058356,0.19198394254461548
shape_refinement/old_family,direct110,0.76,0.2464098832674364,-8169.491706495642,16.58585317816856,0.5549799163352448
shape_refinement/old_family,direct110,0.78,0.21419698726268055,-7605.717394116481,17.014645754567947,0.8685537654267953
shape_refinement/old_family,direct110,0.8,0.18276768178865252,-7054.014964814723,18.316054075206942,1.181483920196619
shape_refinement/old_family,direct110,0.8200000000000001,0.1524093686629654,-6470.436451092536,20.503703134770003,1.559534667469959
shape_refinement/old_family,direct110,0.84,0.12346766243722888,-5802.468820448191,23.291306582437297,2.0601845880196494
shape_refinement/old_family,direct110,0.86,0.09639499136738802,-5008.816853039851,26.025722059218925,2.6905748343794897
shape_refinement/old_family,direct110,0.88,0.07175441945694837,-4085.457849454561,27.85213605391295,3.3751355028707817
shape_refinement/old_family,direct110,0.9,0.05015287640824408,-3082.023089111999,28.128314894411556,3.975111701978739
shape_refinement/old_family,direct110,0.92,0.03212211686297137,-2092.3326681556923,26.816175119514295,4.3670108706601765
shape_refinement/old_family,direct110,0.9400000000000001,0.018013388968496687,-1221.7669599961785,24.507076513842136,4.519672026898386
shape_refinement/old_family,direct110,0.96,0.00796990780148862,-554.4082936733446,22.078286658199737,4.502544495402219
shape_refinement/old_family,direct110,0.98,0.001985041625769822,-139.9538181600898,20.303953258690456,4.4294744931762855
shape_refinement/old_family,direct110,1.0,-6.068359611426359e-18,-2.9064505366785907e-11,19.660912863289614,4.393593035123282
shape_refinement/old_family,shockley112,0.0,2.4786693718150242e-45,-4.7661358475683306e-11,19.660912863289763,4.393593035123308
shape_refinement/old_family,shockley112,0.02,0.0006393970538957862,-43.43477547914653,19.864081807737765,4.189192914181832
shape_refinement/old_family,shockley112,0.04,0.00247536498878024,-160.4834496633754,20.406299013618096,4.01109870131273
shape_refinement/old_family,shockley112,0.06,0.005392139244911227,-332.29584322301406,21.183153882614985,3.8588422136681704
shape_refinement/old_family,shockley112,0.08,0.009283956535855656,-542.334298379763,22.09739349985395,3.728324828060962
shape_refinement/old_family,shockley112,0.1,0.014053862588496332,-777.0113590079023,23.067327728418917,3.613696677009734
shape_refinement/old_family,shockley112,0.12,0.019611843194785043,-1025.8466969647793,24.029780333107368,3.5087733878841476
shape_refinement/old_family,shockley112,0.14,0.025872825459550493,-1281.2971248718015,24.93977591274247,3.407977097367024
shape_refinement/old_family,shockley112,0.16,0.03275490063924448,-1538.3806528733382,25.768542611929995,3.3068416895980097
shape_refinement/old_family,shockley112,0.18,0.04017794464862287,-1794.188827467544,26.50082010425918,3.2021637056444328
shape_refinement/old_family,shockley112,0.2,0.04806267416986932,-2047.3609245329274,27.13202349532177,3.091908133498719
shape_refinement/old_family,shockley112,0.22,0.05633008545620794,-2297.5761552073104,27.66553989785537,2.974984951101857
shape_refinement/old_family,shockley112,0.24,0.06490118029591062,-2545.1036928972844,28.110288273151824,2.8509964087892197
