model,bracket_samples,actual_grid_points,grid_kind,a_over_h,energy_J_m2,traction_MPa,curvature_eV_L0sq,local_type
source_Al99_target_only,65,130,near_h_geometric_plus_uniform,1.1858461680209462,0.36973671378622586,12969.567658481184,-6.791763151881013e-11,maximum_traction
source_Al99_target_only,65,130,near_h_geometric_plus_uniform,1.6316820100894431,1.19441338296086,4005.708056542882,-8.467851420057569e-14,minimum_traction
source_Al99_target_only,65,130,near_h_geometric_plus_uniform,1.8918747001449514,1.4713233183974084,5025.057197224908,-9.623075773734778e-14,maximum_traction
source_Al99_target_only,65,130,near_h_geometric_plus_uniform,2.386631030199241,1.751738739078053,-785.6754390524287,-9.588931211557126e-15,minimum_traction
source_Al99_target_only,65,130,near_h_geometric_plus_uniform,2.527863881011607,1.7409499353785989,46.058621287826554,-5.6253166187680824e-14,maximum_traction
source_Al99_target_only,129,258,near_h_geometric_plus_uniform,1.1858461680206895,0.36973671378544687,12969.567658481197,1.9120954819484833e-14,maximum_traction
source_Al99_target_only,129,258,near_h_geometric_plus_uniform,1.6322700788898576,1.1949641937212303,4005.706049611054,3.605051163840799e-11,minimum_traction
source_Al99_target_only,129,258,near_h_geometric_plus_uniform,1.8918747001449547,1.4713233183974124,5025.057197224914,-1.997172349374465e-13,maximum_traction
source_Al99_target_only,129,258,near_h_geometric_plus_uniform,2.386631030199241,1.751738739078053,-785.6754390524287,-9.588931211557126e-15,minimum_traction
source_Al99_target_only,129,258,near_h_geometric_plus_uniform,2.527863881011658,1.740949935378599,46.058621287826554,-7.137636185219896e-13,maximum_traction
shape_refinement/old_family,65,130,near_h_geometric_plus_uniform,1.1257117569410915,0.17250653689042533,10338.97333478875,-9.341485918135106e-13,maximum_traction
shape_refinement/old_family,129,258,near_h_geometric_plus_uniform,1.1257117569410882,0.17250653689041506,10338.973334788729,5.676015213396113e-14,maximum_traction
