model,state,step,gradient_max_error,hessian_max_error,reciprocal_H_change,reciprocal_energy_change
shape_refinement/old_family,0,4e-05,1.2877850919662537e-07,6.002530447801746e-06,3.552713678800501e-15,1.3552527156068805e-20
shape_refinement/old_family,0,2e-05,3.2137798727793765e-08,1.5008087963508387e-06,3.552713678800501e-15,1.3552527156068805e-20
shape_refinement/old_family,0,1e-05,8.156608187481762e-09,3.75249253892207e-07,3.552713678800501e-15,1.3552527156068805e-20
shape_refinement/old_family,1,4e-05,4.0562579961545e-09,1.764560397798931e-07,6.128431095930864e-14,8.326672684688674e-16
shape_refinement/old_family,1,2e-05,1.0524108251530606e-09,4.414521082019007e-08,6.128431095930864e-14,8.326672684688674e-16
shape_refinement/old_family,1,1e-05,3.3306749219095325e-11,1.096619572926727e-08,6.128431095930864e-14,8.326672684688674e-16
shape_refinement/old_family,2,4e-05,4.1962128216610495e-10,1.9555057573228396e-10,4.440892098500626e-16,2.6645352591003757e-15
shape_refinement/old_family,2,2e-05,1.656577652831004e-10,4.358879923671566e-11,4.440892098500626e-16,2.6645352591003757e-15
shape_refinement/old_family,2,1e-05,1.267999594212199e-10,1.1669887278742408e-11,4.440892098500626e-16,2.6645352591003757e-15
shape_refinement/old_family,3,4e-05,7.916682698283495e-08,2.1248388062389267e-06,7.105427357601002e-15,0.0
shape_refinement/old_family,3,2e-05,1.977319119550458e-08,5.313273714335764e-07,7.105427357601002e-15,0.0
shape_refinement/old_family,3,1e-05,4.84554874002896e-09,1.3284889988085524e-07,7.105427357601002e-15,0.0
