model,stretch,radius,qx,qy,qz,minimum_H,tail_bound,margin,radius_change
shape_refinement/old_family,0.98,12.0,0.24,0.16,0.08,6.840106473961816,2.8305116129714366e-05,6.840078168845686,
shape_refinement/old_family,0.98,12.0,0.24,0.16,0.16,8.139395872020465,2.8327017401718906e-05,8.139367545003063,
shape_refinement/old_family,0.98,12.0,0.24,0.24,0.0,7.3908799507669745,2.832764830091842e-05,7.390851623118674,
shape_refinement/old_family,0.98,12.0,0.24,0.24,0.08,8.026430379846625,2.83349174332393e-05,8.026402044929192,
shape_refinement/old_family,0.98,12.0,0.24,0.24,0.16,9.822046213134778,2.8352938219031995e-05,9.822017860196558,
shape_refinement/old_family,0.98,12.0,0.24,0.24,0.24,12.493453615946917,2.8374032500112183e-05,12.493425241914418,
shape_refinement/old_family,0.98,12.0,0.32,0.0,0.0,11.717417464500853,2.8309133687165643e-05,11.717389155367165,
shape_refinement/old_family,0.98,12.0,0.32,0.08,0.0,11.017738245974803,2.8316294459704325e-05,11.017709929680343,
shape_refinement/old_family,0.98,12.0,0.32,0.08,0.08,10.697755002743227,2.832324838454874e-05,10.697726679494842,
shape_refinement/old_family,0.98,12.0,0.32,0.16,0.0,9.864605833998713,2.8334170913032242e-05,9.8645774998278,
shape_refinement/old_family,0.98,12.0,0.32,0.16,0.08,10.09881886865983,2.834058739653923e-05,10.098790528072433,
shape_refinement/old_family,0.98,12.0,0.32,0.16,0.16,10.555490549773236,2.8356537850338076e-05,10.555462193235385,
shape_refinement/old_family,0.98,12.0,0.32,0.24,0.0,9.603329192504962,2.835531128602341e-05,9.603300837193675,
shape_refinement/old_family,0.98,12.0,0.32,0.24,0.08,10.11468916717483,2.8361022490423483e-05,10.11466080615234,
shape_refinement/old_family,0.98,12.0,0.32,0.24,0.16,11.388605463496136,2.8375176734429685e-05,11.388577088319401,
shape_refinement/old_family,0.98,12.0,0.32,0.24,0.24,13.00803291005351,2.83915631946224e-05,13.008004518490315,
shape_refinement/old_family,0.98,12.0,0.32,0.32,0.0,10.532642386128886,2.8373093649557006e-05,10.532614013035237,
shape_refinement/old_family,0.98,12.0,0.32,0.32,0.08,11.027094300061718,2.8378084225668237e-05,11.027065921977492,
shape_refinement/old_family,0.98,12.0,0.32,0.32,0.16,12.416038916168464,2.839043908279268e-05,12.416010525729382,
shape_refinement/old_family,0.98,12.0,0.32,0.32,0.24,14.455043659620642,2.8404667307042907e-05,14.455015254953336,
