model,axis,amplitude_over_L0,analytic_H,central,fourth_order,sixth_order,central_error,fourth_error,sixth_error,harmonic_tail_bound
shape_refinement/old_family,0,0.0004,12.377920239998875,12.378008318325584,,,8.807832670854054e-05,,,2.6609933181913784e-05
shape_refinement/old_family,0,0.0002,12.377920239998875,12.377942226748928,12.377920196223377,,2.1986750052604975e-05,-4.377549878142872e-08,,2.6609933181913784e-05
shape_refinement/old_family,0,0.0001,12.377920239998875,12.377925884266006,12.377920436771698,12.377920452808251,5.644267130122671e-06,1.9677282203645063e-07,2.128093754549809e-07,2.6609933181913784e-05
shape_refinement/old_family,0,5e-05,12.377920239998875,12.377921621009591,12.37792019992412,12.37792018413428,1.3810107155620699e-06,-4.007475595813048e-08,-5.5864594727950134e-08,2.6609933181913784e-05
shape_refinement/old_family,0,2.5e-05,12.377920239998875,12.377915936667705,12.377914041887076,12.377913631351273,-4.303331170518732e-06,-6.198111799804451e-06,-6.6086476024906915e-06,2.6609933181913784e-05
shape_refinement/old_family,0,1.25e-05,12.377920239998875,12.377904567983933,12.377900778422676,12.377899894191717,-1.5672014942680335e-05,-1.9461576199475417e-05,-2.034580715815082e-05,2.6609933181913784e-05
shape_refinement/old_family,1,0.0004,12.37792023999885,12.378008296121124,,,8.805612227291704e-05,,,2.6609933181913784e-05
shape_refinement/old_family,1,0.0002,12.37792023999885,12.377942271157849,12.377920262836758,,2.2031158998458977e-05,2.283790756507642e-08,,2.6609933181913784e-05
shape_refinement/old_family,1,0.0001,12.37792023999885,12.377925706630322,12.377920185121146,12.377920179940105,5.466631471051642e-06,-5.487770415868454e-08,-6.005874553238755e-08,2.6609933181913784e-05
shape_refinement/old_family,1,5e-05,12.37792023999885,12.377921621009591,12.377920259136014,12.377920264070337,1.3810107404310656e-06,1.913716296542134e-08,2.407148613770005e-08,2.6609933181913784e-05
shape_refinement/old_family,1,2.5e-05,12.37792023999885,12.377921621009591,12.377921621009591,12.377921711801163,1.3810107404310656e-06,1.3810107404310656e-06,1.471802312025261e-06,2.6609933181913784e-05
shape_refinement/old_family,1,1.25e-05,12.37792023999885,12.377927305351477,12.377929200132106,12.37792970540694,7.065352626511867e-06,8.960133255797587e-06,9.465408089326388e-06,2.6609933181913784e-05
shape_refinement/old_family,2,0.0004,57.438779419349146,57.440995926416605,,,0.002216507067458906,,,2.6609933181913784e-05
shape_refinement/old_family,2,0.0002,57.438779419349146,57.439333600584064,57.438779491973214,,0.0005541812349179054,7.262406853669745e-08,,2.6609933181913784e-05
shape_refinement/old_family,2,0.0001,57.438779419349146,57.438917977492565,57.43877943646206,57.438779432761315,0.00013855814341923178,1.7112917305439623e-08,1.3412169153070863e-08,2.6609933181913784e-05
shape_refinement/old_family,2,5e-05,57.438779419349146,57.43881459352451,57.43878013220183,57.43878017858448,3.5174175366137206e-05,7.128526817723468e-07,7.592353341578928e-07,2.6609933181913784e-05
shape_refinement/old_family,2,2.5e-05,57.438779419349146,57.43879114561423,57.43878332964414,57.43878354280696,1.17262650860539e-05,3.910294992692798e-06,4.123457813420828e-06,2.6609933181913784e-05
shape_refinement/old_family,2,1.25e-05,57.438779419349146,57.438774092588574,57.43876840824669,57.43876741348686,-5.326760572188505e-06,-1.1011102458269306e-05,-1.2005862288333446e-05,2.6609933181913784e-05
