model,state,component,energy_eV_cell,normal_force_eV_L0,Haa_eV_L0sq,Hxx_eV_L0sq
shape_refinement/old_family,0,pair_6,0.0,-0.13941067838648286,1.4145804244836138,0.23075090713115196
shape_refinement/old_family,0,pair_3,-0.0,0.19028097922831258,-0.910517334721852,-0.09753250963825173
shape_refinement/old_family,0,embedding,0.0,-0.050870300841835775,4.297895900530745,0.002574739632756809
shape_refinement/old_family,0,angular_3,1.3503175809646826e-46,-9.144339234992181e-24,3.2416383382093445,2.095882067907266
shape_refinement/old_family,0,angular_1,3.8628928665411265e-46,2.6423487107499827e-23,4.921068669256098,0.021167966603221747
shape_refinement/old_family,0,angular_2,3.6227770250136194e-62,1.9548594006871513e-31,3.1444559713832345,0.8896873907643378
shape_refinement/old_family,0,angular_Eg_radial,5.774795582554123e-46,-1.18635454548877e-33,3.5517908941485765,1.2510624727228257
shape_refinement/old_family,0,angular_rank3_quartic,2.1407898533095488e-92,-2.8994821552284405e-69,2.52492842116866e-45,6.645805665870637e-46
shape_refinement/old_family,1,pair_6,-0.0003372773824776172,-0.13598979169373557,1.3787183496139555,0.22291984047835592
shape_refinement/old_family,1,pair_3,0.000463371478995696,0.18806501975679096,-0.8988315588700312,-0.09518637560765268
shape_refinement/old_family,1,embedding,-0.00011176422674008535,-0.04040585362779792,4.24634526438348,0.0019327531144797694
shape_refinement/old_family,1,angular_3,9.550757444087938e-06,0.007727626247083114,3.068862867023356,2.065806554714175
shape_refinement/old_family,1,angular_1,1.4677745328771847e-05,0.011949483940480185,4.8357166855263785,0.014985495740093897
shape_refinement/old_family,1,angular_2,9.349334491071768e-06,0.007597997406816747,3.0570263753589453,0.8282233686139395
shape_refinement/old_family,1,angular_Eg_radial,9.789986614180249e-06,0.007654467538155516,2.7213350455484653,1.1461090501995614
shape_refinement/old_family,1,angular_rank3_quartic,6.323792629084709e-10,1.023290033225666e-06,0.0012342511831838427,0.00027575067561628645
shape_refinement/old_family,2,pair_6,-0.002477948989739166,-0.11434981691821391,1.1523276808490595,0.17516898755502483
shape_refinement/old_family,2,pair_3,0.0035597785586977287,0.17332905794461032,-0.8212001444523089,-0.0802835717215236
shape_refinement/old_family,2,embedding,-0.00019779015741949735,0.029367280441144093,3.8949151423965134,-0.0019704595285282888
shape_refinement/old_family,2,angular_3,0.0005380501338546035,0.05088381354038206,2.006581610859743,1.8624840314587365
shape_refinement/old_family,2,angular_1,0.0009015014777248761,0.08982259877118266,4.251736987556034,-0.022118641206066013
shape_refinement/old_family,2,angular_2,0.0005502741384112132,0.05293505951304421,2.1693375363806755,0.4542876375850999
shape_refinement/old_family,2,angular_Eg_radial,0.00035961588195930125,0.026941797005522888,0.5174328626882048,0.7832665838388964
shape_refinement/old_family,2,angular_rank3_quartic,2.0046941777236067e-06,0.00037903009240661945,0.050756893400571525,0.01399798109734746
shape_refinement/old_family,3,pair_6,-0.006492744410497561,-0.07419833109889205,0.7352775615962241,0.09581319619628222
shape_refinement/old_family,3,pair_3,0.010346658035965912,0.14153967748591526,-0.6545397975467794,-0.05231575955462712
shape_refinement/old_family,3,embedding,0.004457981197907301,0.179944189265574,3.0819532076051184,-0.008133448681406988
shape_refinement/old_family,3,angular_3,0.003984320252347023,0.0959898991274827,0.27830222838008434,1.408324054474978
shape_refinement/old_family,3,angular_1,0.008334565298837436,0.2440227350840592,2.909499827254338,-0.07773919239044011
shape_refinement/old_family,3,angular_2,0.0040934162304002725,0.09503194081273313,0.020220609207038377,-0.01028520559152148
shape_refinement/old_family,3,angular_Eg_radial,0.004487348315175012,0.24603441727235656,10.338343645068305,0.8776657299355417
shape_refinement/old_family,3,angular_rank3_quartic,0.0001095524265658628,0.005268914869490164,0.14148680536829206,0.07824957623057269
shape_refinement/old_family,4,pair_6,-0.01190511494876407,-0.021750445804592986,0.20326060622923883,0.016964608533548906
shape_refinement/old_family,4,pair_3,0.024061691996046977,0.08040093575971263,-0.34162024782865086,-0.015048513387085708
shape_refinement/old_family,4,embedding,0.04693198665068454,0.4487807739834634,1.279785170552556,-0.010577501988388534
shape_refinement/old_family,4,angular_3,0.013325530376262173,0.0338342313631015,-0.6352188335440317,0.5425732009620521
shape_refinement/old_family,4,angular_1,0.05456899318363173,0.4263187607851428,0.2831022492366746,-0.08850025636257108
shape_refinement/old_family,4,angular_2,0.01272884582606123,0.03816467061312519,-0.34902011044813286,-0.04349535832278867
shape_refinement/old_family,4,angular_Eg_radial,0.040928738595954285,0.1022608501565893,-1.4977688450995987,-0.009959609449678632
shape_refinement/old_family,4,angular_rank3_quartic,0.00120584843808389,0.005917762899598763,-0.10242095531973734,0.10001755530339713
shape_refinement/old_family,5,pair_6,-0.014057520045773366,-0.00247692443003339,0.020217691047473348,0.0007052346027939483
shape_refinement/old_family,5,pair_3,0.03669127134021871,0.030749702676929936,-0.1078787309509238,-0.001423562847057522
shape_refinement/old_family,5,embedding,0.1761666256773502,0.5276919646177872,-0.3146197878695237,-0.0036316967600991063
shape_refinement/old_family,5,angular_3,0.012137838417381175,-0.01146099266905753,0.0947342759033044,0.05422894163864015
shape_refinement/old_family,5,angular_1,0.1486069595218625,0.2888226888353183,-0.8366270177601205,-0.02323063964324269
shape_refinement/old_family,5,angular_2,0.016574932145772096,0.0045940604916878,-0.0372162453587868,-0.0026408237111256137
shape_refinement/old_family,5,angular_Eg_radial,0.05007716307573798,0.012702227276582163,-0.07784934374383681,-0.00042723027240725004
shape_refinement/old_family,5,angular_rank3_quartic,0.0009411267881913805,-0.0020131983549369742,0.01813391614292357,0.008823328898940747
shape_refinement/old_family,6,pair_6,-0.014321563768749707,-0.0004212102565752871,0.0030073383447818446,4.4390416648262766e-05
shape_refinement/old_family,6,pair_3,0.04166562134068593,0.014614985915116039,-0.04281436876888003,-0.00017009483441804643
shape_refinement/old_family,6,embedding,0.28589618091376057,0.4077196694629494,-0.6113026708640188,-0.0008903285860617301
shape_refinement/old_family,6,angular_3,0.011989663143224841,0.007334778811859449,0.035428468323646094,0.003956218072632731
