dt_ps,prefix_ps,parts,block,nw,lower_cycle_THz,upper_cycle_THz,axis,mobility_m2_per_J_s,normalized_collective_energy_mobility_m2_per_J_s,temperature_K
0.0025,1000,2,0,3.0,0.08,0.16,direct110,246990300950.06958,35566603336810.016,299.0821823607191
0.0025,1000,2,0,3.0,0.08,0.16,transverse,260720253322.69785,37543716478468.49,299.0821823607191
0.0025,1000,2,1,2.0,0.01,0.02,normal,116060794799.25784,16712754451093.129,299.05530263352335
0.0025,1000,2,1,2.0,0.01,0.02,direct110,172252569883.21393,24804370063182.805,299.05530263352335
0.0025,1000,2,1,2.0,0.01,0.02,transverse,317129521719.89954,45666651127665.53,299.05530263352335
0.0025,1000,2,1,2.0,0.02,0.04,normal,94545165258.87573,13614503797278.105,299.05530263352335
0.0025,1000,2,1,2.0,0.02,0.04,direct110,132064551882.16667,19017295471032.0,299.05530263352335
0.0025,1000,2,1,2.0,0.02,0.04,transverse,240006318251.6809,34560909828242.05,299.05530263352335
0.0025,1000,2,1,2.0,0.04,0.08,normal,76561820716.3349,11024902183152.227,299.05530263352335
0.0025,1000,2,1,2.0,0.04,0.08,direct110,192071576447.29495,27658307008410.473,299.05530263352335
0.0025,1000,2,1,2.0,0.04,0.08,transverse,219148227682.8591,31557344786331.71,299.05530263352335
0.0025,1000,2,1,2.0,0.08,0.16,normal,78150313209.34724,11253645102146.004,299.05530263352335
0.0025,1000,2,1,2.0,0.08,0.16,direct110,218783013982.37173,31504754013461.53,299.05530263352335
0.0025,1000,2,1,2.0,0.08,0.16,transverse,261467002734.39273,37651248393752.555,299.05530263352335
0.0025,1000,2,1,3.0,0.01,0.02,normal,118891494945.90154,17120375272209.82,299.05530263352335
0.0025,1000,2,1,3.0,0.01,0.02,direct110,159099366383.35687,22910308759203.39,299.05530263352335
0.0025,1000,2,1,3.0,0.01,0.02,transverse,341318091186.1636,49149805130807.555,299.05530263352335
0.0025,1000,2,1,3.0,0.02,0.04,normal,88158612626.78716,12694840218257.35,299.05530263352335
0.0025,1000,2,1,3.0,0.02,0.04,direct110,126562189602.19666,18224955302716.32,299.05530263352335
0.0025,1000,2,1,3.0,0.02,0.04,transverse,245335398186.73376,35328297338889.664,299.05530263352335
0.0025,1000,2,1,3.0,0.04,0.08,normal,75495966792.56407,10871419218129.227,299.05530263352335
0.0025,1000,2,1,3.0,0.04,0.08,direct110,202584555343.73715,29172175969498.15,299.05530263352335
