first,second,study,common_rows,comparison_radius_over_L0,maximum_vector_change_over_L0,rms_vector_change_over_L0,maximum_screw_change_over_L0,maximum_transverse_change_over_L0
escaped_plus_R8r5,stable_plus_R10r5,same_branch_domain,4,1.0,0.004383951698222613,0.0036278021145130135,0.004212965487212644,0.0012124167171002154
escaped_plus_R8r5,stable_plus_R10r5,same_branch_domain,10,1.5,0.00463036689968297,0.0034972675390344747,0.004470325591646979,0.0016792620332196592
escaped_plus_R8r5,stable_plus_R10r5,same_branch_domain,18,2.0,0.006204183144477459,0.003579103485178735,0.005735665517030808,0.0023651700926068547
stable_plus_R10r5,stable_plus_R12r5,same_branch_domain,4,1.0,0.002134980439908798,0.0018076981302194125,0.0020500703560890343,0.0005970826207987434
stable_plus_R10r5,stable_plus_R12r5,same_branch_domain,10,1.5,0.0022982308143047418,0.0017744609278794643,0.002207692039586401,0.0009011083308040649
stable_plus_R10r5,stable_plus_R12r5,same_branch_domain,18,2.0,0.0031905274235413247,0.001832408123920493,0.0029662709195591164,0.0012061879994988128
stable_plus_R12r5,stable_plus_R16r5,same_branch_domain,4,1.0,0.0019994715239634517,0.0017402942683673436,0.0019228949391561778,0.0005590932134405759
stable_plus_R12r5,stable_plus_R16r5,same_branch_domain,10,1.5,0.0022378145205568783,0.0017286680771135866,0.002151189152694799,0.0008805656777028145
stable_plus_R12r5,stable_plus_R16r5,same_branch_domain,18,2.0,0.0031220872489518222,0.00179858722881892,0.0029017513841304854,0.0012203150372664467
escaped_plus_R8r5,escaped_minus_R8r5,twofold_degenerate_minima,4,1.0,0.07926041214292842,0.06866671754750708,0.07697628542539914,0.021228838302415835
escaped_plus_R8r5,escaped_minus_R8r5,twofold_degenerate_minima,10,1.5,0.07926041214292842,0.058769892769014336,0.07697628542539914,0.021228838302415835
escaped_plus_R8r5,escaped_minus_R8r5,twofold_degenerate_minima,18,2.0,0.07926041214292842,0.05423576865256963,0.07697628542539914,0.021228838302415835
