case,minimum_H_eV_L0sq,step_over_L0,curvature,eigenvalue_error,plus_energy_change,minus_energy_change
escaped_minus_R8r5,0.14244589519487724,0.002,0.14199975939543918,0.0004461357994380577,2.815993336291456e-07,2.8639970395261116e-07
escaped_minus_R8r5,0.14244589519487724,0.001,0.14186686936312753,0.0005790258317497077,7.037684524036081e-08,7.149002412276673e-08
escaped_plus_R8r5,0.1424458951948701,0.002,0.14199976106077372,0.0004461341340963876,2.815993385141269e-07,2.86399705728968e-07
escaped_plus_R8r5,0.1424458951948701,0.001,0.14186686092543255,0.0005790342694375616,7.037683724675503e-08,7.149002367867752e-08
pilot_R4r5,0.2996780793469993,0.002,0.2994107775045052,0.0002673018424941276,5.988215550090104e-07,5.988215550090104e-07
pilot_R4r5,0.2996780793469993,0.001,0.29985080152172827,0.00017272217472896756,1.4992540053881953e-07,1.4992540098290874e-07
stable_plus_R10r5,0.13715989944533666,0.002,0.13661009445886663,0.0005498049864700316,2.7251095779945445e-07,2.7392942003601206e-07
stable_plus_R10r5,0.13715989944533666,0.001,0.1368850393035359,0.00027486014180075347,6.848498879108433e-08,6.840005051245157e-08
stable_plus_R12r5,0.11399063803389993,0.002,0.11399063704065071,9.932492189834718e-10,2.2798391885459068e-07,2.2797862930801216e-07
stable_plus_R12r5,0.11399063803389993,0.001,0.11399064714368023,9.109780305105453e-09,5.6996658948094137e-08,5.69939881955861e-08
stable_plus_R16r5,0.06518348382842074,0.002,0.06518348516504346,1.3366227291644606e-09,1.3036691814960477e-07,1.3036702251056909e-07
stable_plus_R16r5,0.06518348382842074,0.001,0.06518347728245999,6.545960745674151e-09,3.259169423230901e-08,3.259178305015098e-08
stable_R6r5,0.02659591891071244,0.002,0.026694732646603825,9.88137358913857e-05,5.33894630727616e-08,5.33894675136537e-08
stable_R6r5,0.02659591891071244,0.001,0.02667887155638482,8.295264567238086e-05,1.333943799863846e-08,1.333943355774636e-08
stable_R8r5,-0.01736522532701348,0.002,-0.01632330137724125,0.0010419239497722298,-3.264659653723356e-08,-3.264660897173144e-08
stable_R8r5,-0.01736522532701348,0.001,-0.016565361971032644,0.0007998633559808364,-8.282682539828556e-09,-8.282679431204087e-09
