observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
new_direct_039_energy,fit,fit,development_or_control,0.2262381941113307,0.2262381941113307,0.2071588262014586,eV/cell,0.022623819411133072,-0.8433309850627274,-0.8433309850627274
new_direct_039_normal_force,fit,fit,development_or_control,-1.9685101248020884,-1.9685101248020884,-1.8894791070254349,eV/L0,0.03173805605024358,2.4901026594553204,2.4901026594553204
new_direct_039_Haa,fit,fit,development_or_control,36.31678531793335,36.31678531793335,39.546600843206924,eV/L0^2,3.6316785317933356,0.889345105024667,0.889345105024667
new_raised_direct_energy,fit,fit,development_or_control,0.11960599647825673,0.11960599647825673,0.10369784033653541,eV/cell,0.011960599647825674,-1.3300467041895576,-1.3300467041895576
new_raised_direct_normal_force,fit,fit,development_or_control,0.08783049166112324,0.08783049166112324,-0.06298203005526724,eV/L0,0.03173805605024358,-4.7517882468177515,-4.7517882468177515
new_raised_direct_Haa,fit,fit,development_or_control,20.00400949091716,20.00400949091716,14.432699867105704,eV/L0^2,2.000400949091716,-2.7850964709555424,-2.7850964709555424
new_off_path_positive_energy,fit,fit,development_or_control,0.05360470506556986,0.05360470506556986,0.04583299303003152,eV/cell,0.0053604705065569865,-1.4498190086172273,-1.4498190086172273
new_off_path_positive_normal_force,fit,fit,development_or_control,0.35206897342006,0.35206897342006,0.22867533092338443,eV/L0,0.03173805605024358,-3.887876507034165,-3.887876507034165
new_off_path_positive_Haa,fit,fit,development_or_control,13.446420569551602,13.446420569551602,13.29486231962723,eV/L0^2,1.3446420569551603,-0.11271270978059732,-0.11271270978059732
new_off_path_negative_energy,fit,fit,development_or_control,0.21544733160917068,0.21544733160917068,0.18594036194315827,eV/cell,0.021544733160917068,-1.3695676546850497,-1.3695676546850497
new_off_path_negative_normal_force,fit,fit,development_or_control,-0.05312860042135701,-0.05312860042135701,-0.28109174347040966,eV/L0,0.03173805605024358,-7.182643533308118,-7.182643533308118
new_off_path_negative_Haa,fit,fit,development_or_control,13.5831841481301,13.5831841481301,13.426912104096198,eV/L0^2,1.35831841481301,-0.11504816715262911,-0.11504816715262911
new_shockley_058_energy,fit,fit,development_or_control,0.07969505412787091,0.07969505412787091,0.07512844299441462,eV/cell,0.007969505412787091,-0.5730106069228772,-0.5730106069228772
new_shockley_058_normal_force,fit,fit,development_or_control,-0.6123357455328253,-0.6123357455328253,-0.6426976745947036,eV/L0,0.03173805605024358,-0.9566411066201791,-0.9566411066201791
new_shockley_058_Haa,fit,fit,development_or_control,23.107568998056017,23.107568998056017,25.617411168524022,eV/L0^2,2.3107568998056016,1.0861558698273936,1.0861558698273936
new_opening_1.17h_energy,fit,fit,development_or_control,0.14263027381623705,0.14263027381623705,0.09432977646556599,eV/cell,0.014263027381623706,-3.386412719988239,-3.386412719988239
new_opening_1.17h_normal_force,fit,fit,development_or_control,1.6398229617729339,1.6398229617729339,0.9470907785005837,eV/L0,0.03173805605024358,-21.826547352985525,-21.826547352985525
new_opening_1.42h_energy,fit,fit,development_or_control,0.4226003973463561,0.4226003973463561,0.28577058865338156,eV/cell,0.042260039734635615,-3.2378059640306294,-3.2378059640306294
new_opening_1.42h_normal_force,fit,fit,development_or_control,0.8686291067124379,0.8686291067124379,0.8715002984225872,eV/L0,0.03173805605024358,0.09046526685831294,0.09046526685831294
new_opening_1.78h_energy,fit,fit,development_or_control,0.5953584311886578,0.5953584311886578,0.5068487086865827,eV/cell,0.05953584311886578,-1.4866627877489158,-1.4866627877489158
