radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
1.0,0.3402916813745699,0.111054600712768,0.22923708066180187,4,True
1.5,0.5852126948971886,0.1849438560437287,0.40026883885346,10,True
2.0,0.7079679662006882,0.20341178578332075,0.5045561804173676,18,True
2.5,0.7565078831898101,0.16956381057768138,0.5869440726121286,30,True
3.0,0.7651497931371519,0.12720540210036876,0.6379443910367831,40,True
3.5,0.7672621682510076,0.06627072547527965,0.7009914427757278,56,True
4.0,0.7753188945497708,0.031431865423189154,0.7438870291265816,72,True
4.5,0.7920273910235437,0.014105423626123164,0.7779219673974206,90,True
5.0,0.820720197104831,0.0077878114100155445,0.8129323856948154,112,True
5.5,0.8515421165632522,0.008249451099210436,0.8432926654640417,136,True
6.0,0.8691242029911703,0.005398527663097971,0.8637256753280723,158,True
6.5,0.8903169673521272,-0.0002651152634140383,0.8905820826155411,188,True
7.0,0.9038315284668557,-0.010409986186432373,0.914241514653288,220,True
7.5,0.9085404428153319,-0.026253887304213668,0.9347943301195455,254,True
8.0,0.911966713245818,-0.039261023393020976,0.951227736638839,286,True
