case,family,completed,classification,source_loss_104,other_loss_102,selected_objective,selected_count,Haa,Hxx,positive_LJ,exact_residual,kkt_residual,margin,spectral_cuts,material_accepted
baseline,old_family,True,verified_coefficient_profile,1238.6110089514643,1220.2366214271397,1238.6110089514643,104,28.05578663346672,4.559707494151115,True,1.554312234475219e-14,5.6274984672199935e-12,0.006182361419563978,0,False
normal_exact,old_family,True,verified_coefficient_profile,2340.2761750730233,2319.5623571941446,2340.2761750730238,103,19.66091286328975,2.393961837554766,False,1.7451926843230535e-14,1.7138512831138542e-12,0.00622277096124849,0,False
registry_exact,old_family,True,verified_coefficient_profile,1240.4976998864854,1223.1288407857369,1240.4976998864854,103,27.85478767634475,4.393593035123307,True,2.6433881538694204e-14,7.744915819785092e-13,0.006182894290081467,0,False
both_exact,old_family,True,verified_coefficient_profile,2831.110020915173,2831.1100209151737,2831.1100209151737,102,19.660912863289738,4.393593035123302,False,4.625929269271486e-14,1.9357515590456842e-11,0.0062391310469012825,0,False
normal_scan_0,old_family,True,verified_coefficient_profile,1241.4410175815513,1223.2095771141248,1223.2095771141248,102,28.05578663346671,4.393593035123304,True,1.6431300764452317e-13,1.8772539078781847e-11,0.006180629493251634,0,False
normal_scan_0.25,old_family,True,verified_coefficient_profile,1324.5857741622053,1314.330588899278,1314.330588899278,102,25.95706819092248,4.393593035123305,True,1.9095836023552692e-13,1.922728642966831e-11,0.006203421042094723,0,False
normal_scan_0.5,old_family,True,verified_coefficient_profile,1613.4184223268371,1608.8605622099806,1608.8605622099806,102,23.858349748378224,4.393593035123304,True,1.4210854715202004e-13,1.9326762412674725e-11,0.006222190428558198,0,False
normal_scan_0.75,old_family,True,verified_coefficient_profile,2109.696761519479,2108.5572964902653,2108.5572964902653,102,21.759631305833995,4.393593035123304,False,3.552713678800501e-14,1.9042045718009604e-11,0.006236984851471136,0,False
baseline,power_family,True,verified_coefficient_profile,1227.6348875902804,1210.5546828613622,1227.6348875902804,104,27.783267821917494,4.444126843424374,True,8.43769498715119e-14,3.943512183468556e-12,0.006153489917870687,0,False
normal_exact,power_family,True,verified_coefficient_profile,2218.0340922834343,2197.8399858045555,2218.0340922834343,103,19.660912863289767,2.4192066479365577,False,3.989011849881265e-14,1.2931877790833823e-12,0.0062213013068343264,0,False
registry_exact,power_family,True,verified_coefficient_profile,1227.8098007456795,1211.0240420289867,1227.8098007456795,103,27.71607277494428,4.393593035123306,True,4.625929269271486e-14,1.2470025012589758e-12,0.006153371132134066,0,False
both_exact,power_family,True,verified_coefficient_profile,2859.4235880554047,2859.423588055405,2859.423588055405,102,19.66091286328976,4.393593035123313,False,6.661338147750939e-14,1.4481749133210542e-11,0.006229770763645259,0,False
normal_scan_0,power_family,True,verified_coefficient_profile,1227.917938768041,1210.8509629595108,1210.8509629595108,102,27.78326782191749,4.39359303512331,True,7.269317423140907e-14,1.4210854715202004e-11,0.006152146191359201,0,False
normal_scan_0.25,power_family,True,verified_coefficient_profile,1320.1346659340538,1310.5344920417551,1310.5344920417551,102,25.752679082260553,4.393593035123306,True,6.188598021136355e-14,1.4310330698208418e-11,0.006189163070672068,0,False
normal_scan_0.5,power_family,True,verified_coefficient_profile,1609.8562781656924,1605.58953421356,1605.58953421356,102,23.72209034260362,4.393593035123305,True,7.105427357601002e-14,1.439559582649963e-11,0.00622575640941483,0,False
normal_scan_0.75,power_family,True,verified_coefficient_profile,2111.8288963512223,2110.7622103631893,2110.7622103631893,102,21.69150160294668,4.393593035123307,False,9.769962616701378e-14,1.5047629808861984e-11,0.006232491118769519,0,False
