case,step,applied_shear_mpa,internal_shear_mpa,energy_ev_per_line_repeat,line_energy_j_per_m,affine_shear,x_projected_registry_shear,intrabond_shear,decomposition_residual,affine_change_from_initial,x_projected_registry_change_from_initial,maximum_force_residual,scaled_stress_residual,force_converged,iterations,evaluations,optimizer_success,optimizer_message,newton_polish_steps,maximum_transverse_displacement,minimum_transverse_radius,minimum_site_density,reciprocal_modes,last_mode_envelope,positive_cores,negative_cores,core_separation_over_L0,core_positions,winding_integer_residual,minimum_half_period_margin,elapsed_seconds,state_source
dipole_n16_r8_shortpair,0,0.0,-4.584163498703698e-09,1.2528793949198684e-21,7.009380485881038e-31,-1.9026886404601382e-13,0.0,-1.9026886404601382e-13,0.0,0.0,0.0,3.1477254920785394e-11,9.311516036181676e-12,True,0,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,0.0,0.8660254037844386,57.800932313157595,9,1.0004721340600331e-14,0,0,,[],1.0285147134187207e-27,3.141592653563199,17.913926100001845,dipole_n16_r8_shortpair/state_0.csv.gz
dipole_n24_r10_newton,0,0.0,-4.454757407924306e-07,1.0587618486624164e-13,5.923367142361156e-23,-1.849604312556712e-11,0.0,-1.8496043125567123e-11,3.2311742677852644e-27,0.0,0.0,3.270366089047627e-09,1.3572992669082188e-09,True,1,3,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,2,2.684605247645979e-10,0.866025403461655,57.80093231046979,9,1.0004721370018376e-14,0,0,,[],1.3164988331759625e-25,3.141592649896852,190.83139709999887,dipole_n24_r10_newton/state_0.csv.gz
dipole_n24_r6,0,0.0,1.2377093732483027e-05,1.4020457205443527e-13,7.843908961824016e-23,5.138952803827392e-10,0.0,5.138952803827393e-10,-1.0339757656912846e-25,0.0,0.0,6.085125853848186e-08,3.771118988358383e-08,True,284,306,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,2.213084442660598e-08,0.8660253997382934,57.80093221502102,9,1.0004723036888515e-14,0,0,,[],2.10639813308154e-24,3.1415925734572325,962.365270899998,dipole_n24_r6/state_0.csv.gz
dipole_n24_r6,1,4.0,3.999999810665248,1.983183891110602e-05,1.1095154507791513e-14,0.00016607942537274323,0.0,0.00016607942537274323,0.0,0.00016607891147746285,0.0,4.3885320266667804e-08,5.768752283968225e-10,True,8,42,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,1.9414386766129358e-08,0.8660253999970725,57.80093223275014,9,1.0004722505862885e-14,0,0,,[],2.10639813308154e-24,3.1415925952358,191.97965099999783,dipole_n24_r6/state_1.csv.gz
dipole_n24_r6,2,25.0,24.99999912622605,0.0007746825368118277,4.3340521667921113e-13,0.0010379975964282101,0.0,0.0010379975964282101,0.0,0.0010379970825329298,0.0,4.822601340492838e-08,2.662261113206352e-09,True,11,14,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,1.5576888805482188e-08,0.8660254010283494,57.80093236202666,9,1.000472217872584e-14,0,0,,[],2.10639813308154e-24,3.1415926133160563,68.8381733999995,dipole_n24_r6/state_2.csv.gz
dipole_n24_r6,3,50.0,49.99998598781027,0.00309874482717526,1.7336290795744362e-12,0.002076001919293285,0.0,0.002076001919293285,0.0,0.0020760014053980043,0.0,1.6666843388746244e-07,4.269308765637216e-08,True,7,21,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,1.4276194749377824e-08,0.8660254011239906,57.800932613082445,9,1.0004722618914682e-14,0,0,,[],1.1848489498583662e-24,3.1415926201178612,109.90391140000065,dipole_n24_r6/state_3.csv.gz
dipole_n24_r6,4,0.0,8.402984196990616e-06,1.1387146687589024e-13,6.370672556791178e-23,3.4889075838154663e-10,0.0,3.488907583815466e-10,5.169878828456423e-26,-1.6500452200119255e-10,0.0,9.308085507919728e-08,2.560266080960633e-08,True,7,12,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,1.2752033740491826e-08,0.8660254019908735,57.8009322991521,9,1.0004721973653496e-14,0,0,,[],1.05319906654077e-24,3.1415926288459266,51.697677100000874,dipole_n24_r6/state_4.csv.gz
dipole_n24_r6,5,-50.0,-49.99999794919867,0.003098746309795576,1.7336299090437332e-12,-0.002076002415935122,0.0,-0.002076002415935122,0.0,-0.0020760029298304023,0.0,9.79504456988245e-08,6.248490975981602e-09,True,7,15,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,1.1403809133580933e-08,0.8660254019660834,57.8009326281949,9,1.0004722028005184e-14,0,0,,[],1.579798599811155e-24,3.1415926318478946,62.21586749999915,dipole_n24_r6/state_5.csv.gz
dipole_n24_r6,6,0.0,1.4390548276479435e-07,1.1568734699931266e-13,6.472264096674634e-23,5.975027003086737e-12,0.0,5.975027003086677e-12,5.977672395402739e-26,-5.079202533796525e-10,0.0,1.039190972639761e-08,4.3845890668093496e-10,True,10,13,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,1.004014487939618e-08,0.8660254027038281,57.80093230583752,9,1.0004721641960971e-14,0,0,,[],1.05319906654077e-24,3.1415926340609404,75.19967450000331,dipole_n24_r6/state_6.csv.gz
dipole_n32_r8_newton,0,0.0,-1.5291769795790552e-08,2.1785855129611958e-13,1.2188351762581276e-22,-6.348802144828744e-13,0.0,-6.348802144828744e-13,0.0,0.0,0.0,1.1593492832417951e-10,6.212237400143647e-11,True,1,3,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,3,3.6314442163404955e-11,0.8660254037787862,57.80093231291411,9,1.0004721343010451e-14,0,0,,[],4.114058853674883e-27,3.1415926534666196,331.13773819999915,dipole_n32_r8_newton/state_0.csv.gz
