case,size,ring,initial_energy_ev,zero_stress_relaxed_energy_ev,initial_transverse_force,zero_stress_maximum_force,initial_x_winding_cores,relaxed_x_winding_cores,final_maximum_x_phase_over_L0,final_maximum_transverse_displacement,initial_affine_shear,zero_stress_relaxed_shear,unloaded_affine_change,unloaded_x_projected_registry_change,maximum_force_all_steps,total_wall_seconds,actual_initial_core_separation_nm,unloaded_x_phase_change_over_L0,unloaded_transverse_change_over_L0
dipole_n16_r8_shortpair,16,8,1.2528793949198684e-21,1.2528793949198684e-21,2.3714374201337737e-15,3.1477254920785394e-11,0,0,6.592028649409825e-12,0.0,-1.9026886404601382e-13,-1.9026886404601382e-13,0.0,0.0,3.1477254920785394e-11,74.07010020000234,,0.0,0.0
dipole_n24_r10_newton,24,10,2.22178949153495,1.0587618486624164e-13,2.229828991550718,3.270366089047627e-09,2,0,4.085333189813491e-10,2.684605247645979e-10,0.016955286888197772,-1.849604312556712e-11,0.0,0.0,3.270366089047627e-09,400.68659130000015,1.9840866916543738,0.0,0.0
dipole_n24_r6,24,6,2.2217894915349476,1.4020457205443527e-13,2.2298291121256675,6.085125853848186e-08,2,0,1.1945263529472392e-08,1.004014487939618e-08,0.016955286888197772,5.138952803827392e-10,-5.079202533796525e-10,0.0,1.6666843388746244e-07,1687.5121947000007,1.9840866916543738,2.616385637230206e-08,1.411353711897e-08
dipole_n32_r8_newton,32,8,2.2697352952965653,2.1785855129611958e-13,2.2610919570493797,1.1593492832417951e-10,2,0,5.3224998685049866e-11,2.9634121697399095e-11,0.009526903255832051,-6.348802144828744e-13,6.349744878810999e-13,0.0,2.4533575171403754e-10,941.1969067999999,1.9840866916543738,2.4514998687831528e-11,1.2020384006829571e-11
dipole_n8_r10_shortpair,8,10,1.6751295593830597,0.5852890914966555,2.1863216285972253,8.169882819049618e-08,2,0,0.21875000055327015,0.1281308031766505,0.07654655446246053,0.07654655446123008,6.340574731922288e-10,0.07654655446197431,1.2112741698544482e-07,297.85107079999943,0.9920433458271869,7.046786883126067e-09,3.5520238694797257e-09
dipole_n8_r16_shortpair,8,16,1.6751295593830597,0.585337628233541,2.1863216285972253,1.3584877667227602e-09,2,0,0.2187499999662424,0.1281243249402811,0.07654655446246053,0.07654655446198418,-3.949730820185238e-11,-0.07654655446197431,1.9934729422743658e-09,96.79896180000287,0.9920433458271869,1.193409392033322e-10,1.504533095331162e-10
dipole_n8_r4_shortpair,8,4,1.6751295594522428,0.5750479747794794,2.1862533231349386,7.223159522990512e-08,2,0,0.2187500022158758,0.1296754878332547,0.07654655446246053,0.07654655446194346,0.0,0.0,7.223159522990512e-08,35.57278089999818,0.9920433458271869,0.0,0.0
