case,layer,additional_slip_x_over_L0,additional_slip_y_over_L0,opening_change_over_L0,x_phase_dispersion,transverse_row_dispersion,minimum_scalar_x_partition_margin,distance_to_perfect_extra_registry,distance_to_extra_tau,distance_to_extra_2tau,closest_extra_registry_class,scalar_x_partition_is_not_vector_plastic_strain
dipole_n16_r8_shortpair,0,-2.0194368670941837e-13,0.0,0.0,2.4068288618046488e-11,0.0,0.49999999999637135,2.0194368670941837e-13,0.5773502691894509,0.577350269189451,0,True
dipole_n16_r8_shortpair,1,-4.674350557074771e-13,0.0,0.0,1.0204784446572388e-11,0.0,0.4999999999979745,4.674350557074771e-13,0.5773502691892209,0.5773502691892209,0,True
dipole_n16_r8_shortpair,2,-4.209534279792338e-13,0.0,0.0,1.4296694909109637e-11,0.0,0.49999999999735834,4.209534279792338e-13,0.5773502691892611,0.5773502691892611,0,True
dipole_n16_r8_shortpair,3,2.834594953120619e-13,0.0,0.0,1.5806719353920545e-11,0.0,0.4999999999972704,2.834594953120619e-13,0.5773502691893803,0.5773502691893803,0,True
dipole_n16_r8_shortpair,4,2.677209153658287e-13,0.0,0.0,1.3601538711554866e-11,0.0,0.4999999999975675,2.677209153658287e-13,0.5773502691893939,0.5773502691893939,0,True
dipole_n16_r8_shortpair,5,-1.8906021660518724e-13,0.0,0.0,1.076009335109015e-11,0.0,0.4999999999980984,1.8906021660518724e-13,0.577350269189462,0.5773502691894621,0,True
dipole_n16_r8_shortpair,6,-2.775490048858246e-13,0.0,0.0,1.6213961659426465e-11,0.0,0.499999999997697,2.775490048858246e-13,0.5773502691893854,0.5773502691893854,0,True
dipole_n16_r8_shortpair,7,-5.405136433590093e-13,0.0,0.0,1.773325294161004e-11,0.0,0.4999999999976601,5.405136433590093e-13,0.5773502691891576,0.5773502691891577,0,True
dipole_n16_r8_shortpair,8,-2.7754909325781415e-13,0.0,0.0,1.621394902770369e-11,0.0,0.499999999997697,2.7754909325781415e-13,0.5773502691893854,0.5773502691893854,0,True
dipole_n16_r8_shortpair,9,-1.8905960169875567e-13,0.0,0.0,1.0760079576407572e-11,0.0,0.4999999999980984,1.8905960169875567e-13,0.577350269189462,0.5773502691894621,0,True
dipole_n16_r8_shortpair,10,2.677211572832114e-13,0.0,0.0,1.3601551763133529e-11,0.0,0.4999999999975675,2.677211572832114e-13,0.5773502691893939,0.5773502691893939,0,True
dipole_n16_r8_shortpair,11,2.8345966423176026e-13,0.0,0.0,1.5806708355417916e-11,0.0,0.4999999999972704,2.8345966423176026e-13,0.5773502691893803,0.5773502691893803,0,True
dipole_n16_r8_shortpair,12,-4.209530591987777e-13,0.0,0.0,1.4296697639670876e-11,0.0,0.49999999999735834,4.209530591987777e-13,0.5773502691892611,0.5773502691892611,0,True
dipole_n16_r8_shortpair,13,-4.674352478890273e-13,0.0,0.0,1.02047889348246e-11,0.0,0.4999999999979745,4.674352478890273e-13,0.5773502691892209,0.5773502691892209,0,True
dipole_n16_r8_shortpair,14,-2.019441475811973e-13,0.0,0.0,2.4068295238560403e-11,0.0,0.49999999999637135,2.019441475811973e-13,0.5773502691894509,0.577350269189451,0,True
dipole_n16_r8_shortpair,15,6.637292146969848e-14,0.0,0.0,1.2344418923296997e-11,0.0,0.49999999999796896,6.637292146969848e-14,0.5773502691895682,0.5773502691895682,0,True
dipole_n24_r10_newton,0,-5.575190613511519e-11,-1.4661858797958274e-11,-3.144798110950635e-11,5.685541788597073e-10,1.2352378582454502e-10,0.49999999985375987,5.764759440869984e-11,0.577350269148674,0.5773502691340123,0,True
