index,joint_loss,static_loss,core_RMS,positive_LJ,exact_residual,kkt_residual,minimum_robust_margin,seconds
0,1.448258961073144,2470.1334677851796,0.16671900458036396,True,1.9984014443252818e-14,3.419486915845482e-13,0.00619289357144343,27.036214600026142
1,1.4482595929946396,2469.983974948765,0.16673604627245328,True,1.9876925724936292e-14,3.4861002973229915e-13,0.006193035198342445,13.59292190000997
2,1.4482746078568596,2472.794722850591,0.16642207964921965,True,1.6172247408439336e-14,3.2240876635114546e-13,0.006193173168649568,27.826606199989328
3,1.4482637076441807,2472.676409084079,0.1664327340355505,True,4.245214944715326e-14,3.2440716779547074e-13,0.006191048719705088,11.700162300025113
4,1.4457675708709197,2466.335053060983,0.1665245670951385,True,1.3322676295501878e-14,3.306244167333716e-13,0.0061930607158992,7.899008000007598
5,1.4482624356697087,2470.0768966249575,0.16672626317851816,True,4.625929269271486e-14,3.3018032752352156e-13,0.006194071962327432,4.703558400011389
6,1.351424421807286,2313.20759695566,0.16008331916337623,True,1.784287003861859e-13,3.432809592140984e-13,0.006260487184616811,23.55150999999023
7,1.3514251328298554,2312.9921837410543,0.16010884073647788,True,2.180795226942272e-13,3.4083846855992306e-13,0.006260595478008405,10.760331800003769
8,1.351429953718371,2315.106799825499,0.15986120960830127,True,3.208902677626258e-14,3.4861002973229915e-13,0.006260541908270663,20.551695199974347
9,1.351329075573915,2314.901531804168,0.15985906610123346,True,1.5860328923216523e-13,3.3795188869589765e-13,0.006259452700352222,10.953429899993353
10,1.3497913813625115,2311.38630189976,0.15987189602462706,True,2.5112187461759493e-13,3.375077994860476e-13,0.006260546694266816,7.453685899992706
11,1.3515291620981558,2313.450464303807,0.16008204334123818,True,1.764896472694442e-13,3.3728575488112256e-13,0.0062610057727193556,4.63337640001555
12,1.329326874727566,2325.28211654955,0.15273655917144022,True,2.6433881538694204e-14,3.064215547965432e-13,0.006128013277952451,22.58411470000283
13,1.3293570298825208,2325.3004764640764,0.1527425309464696,True,3.965082230804131e-14,3.064215547965432e-13,0.006128038743774596,10.121905200008769
14,1.3297405813476784,2328.202926978922,0.15248925144387576,True,2.6645352591003757e-14,5.964118088286341e-13,0.0061277868520950175,25.76022080000257
15,1.329422012214572,2327.032936410827,0.15254657395804574,True,3.208902677626258e-14,3.157474282033945e-13,0.006125711500404545,14.63532010000199
16,1.3281563831060785,2324.35312902539,0.1525312893006955,True,3.965082230804131e-14,3.1108449149996886e-13,0.006128103122249177,9.66480810000212
17,1.3288971872811026,2323.9457527733693,0.15278395706629064,True,3.438110011742419e-14,3.070876886113183e-13,0.00612962545978694,6.0832463999977335
18,1.3081689218831347,2271.132174003282,0.15363154496589754,True,2.7504880093939353e-14,3.5083047578154947e-13,0.006259975512506338,30.64824260000023
19,1.3082210505853256,2271.046726470227,0.15365616942813648,True,2.6645352591003757e-14,3.6193270602780103e-13,0.006260096175984603,9.69836569999461
20,1.3082473812377182,2272.8537412668898,0.15344172383513993,True,2.220446049250313e-14,3.497202527569243e-13,0.006260003277756504,20.453601999994135
