j,l,ux,uy,uz,gx,gy,gz
-12,3,0.4660113019924182,0.00035248459355491894,0.0003224392381532524,-8.068519160089882e-12,-1.154335793618344e-10,-7.774303477457029e-11
-12,4,0.4521778048097162,0.0006216796410081543,0.0003311350816381094,-2.239559807135777e-11,-3.965046346809942e-11,1.0934657533275861e-10
-12,5,0.43848178275031546,0.0007376948084240993,0.00015417781646497625,-3.7450308479347605e-11,2.2477976424628565e-10,4.0066114109175294e-11
-12,6,0.4251061998204209,0.0006834154384585949,-6.767430390663825e-05,-4.55913295397542e-11,-5.47638046022314e-11,-1.884493725889773e-10
-11,0,-0.4932555149455969,-0.00027603763649173207,0.0005482966960037814,-3.9119962884316337e-11,1.581080405488322e-10,-2.2119315656442956e-11
-11,1,0.49253332434140257,2.809201331234457e-05,0.0008617346253587434,1.1064271989379669e-10,1.347343764335207e-10,8.925483832925019e-12
-11,2,0.4778042746603468,0.0004103628961632038,0.0009923103980586743,9.630591300564123e-12,-4.1457962063340403e-11,2.1877274243489037e-11
-11,3,0.4627682557282583,0.0010038884303889572,0.000833214861520386,-3.03970617123242e-11,-4.555571198050501e-11,-3.929950489383119e-11
-11,4,0.44772918893850794,0.00146455263145502,0.00048391895726270564,-5.269624385288718e-11,1.0731708577349508e-10,2.6277186944922114e-10
-11,5,0.4329386894710495,0.0016362058730497175,7.358097588139629e-05,-2.4325599694285938e-11,1.915116676354245e-11,-1.9425719840755577e-10
-11,6,0.418611881939798,0.0013940741590277804,-0.00020429047892434412,-2.653992932540039e-11,-4.291067501327461e-11,-1.7787757283283835e-11
-11,7,0.40493399233609756,0.0008408270345326373,-0.00045129573241087673,-3.524764833305605e-11,-2.0120707877602229e-10,-1.0123280433870473e-10
-11,8,0.39199839179359536,0.0005649548873083307,-0.0005796190130916287,-2.493559005112278e-11,3.3058791815143707e-11,-7.069808172048553e-11
-11,9,0.3798953589937801,0.0003570588489968111,-0.00047203769231216487,2.928440953273159e-11,3.526857972335762e-11,-4.193240784981789e-11
-10,-2,-0.4641752095946665,-0.0006265513423267052,0.0004365242276598708,1.4782674400987822e-10,1.6575125993956163e-10,-1.1465787149475375e-10
-10,-1,-0.47794639162454466,-0.0007019297230893225,0.0009521191140470267,1.3959037322309326e-11,-3.06739078581586e-11,4.637335849523583e-11
-10,0,-0.49272540053891684,-0.0005755688046603291,0.0013421691069753607,1.5224576311559553e-10,-1.651607184349757e-10,-1.6015568320322526e-11
-10,1,0.49164197749898386,6.207468907237933e-05,0.001510864344937138,-4.023590109095837e-12,2.5841676021265414e-11,7.458551192027901e-11
-10,2,0.47540156830072255,0.0009529401771488651,0.001354110513195518,-2.8480224363754136e-11,7.897044129734354e-12,4.3813416002874694e-11
-10,3,0.458873634352032,0.0018865206533408964,0.0008799119405658378,-1.5621397404796955e-11,-6.002838504048924e-11,-1.2733388220784528e-10
-10,4,0.44242894917224207,0.0025029675201174544,0.00022966005919622674,4.286864591605821e-11,-1.1109602127135076e-10,8.657075317025642e-11
-10,5,0.426398283829991,0.0026082658456984945,-0.0003998190931512811,2.4682354250737948e-11,-1.512009545345805e-10,-4.4789570056297245e-11
-10,6,0.41104783710147835,0.002225312219174534,-0.0008893989453317427,2.5944526475113472e-11,2.1608048683674497e-11,-1.798585161149691e-10
-10,7,0.39656800032011374,0.0015828716932688185,-0.0011893059064263204,-4.5411679841858565e-11,1.063460430827945e-10,7.079819522792189e-11
-10,8,0.3830571946095776,0.0009997309057481244,-0.0012247920701940172,-4.465349054058598e-11,1.0855912002671886e-10,6.495519451628871e-11
-10,9,0.3705687456035821,0.0004530423649723265,-0.0009529294958930631,-6.787911899230892e-11,1.2425888096245785e-10,-8.795344850652184e-11
-10,10,0.3590959172742687,0.00011782273387719148,-0.0005896862242561952,1.1594289981223249e-10,8.060063727555189e-11,-6.729756834265854e-12
-9,-4,-0.43473797514683765,-0.000735518510802971,0.00014485818689370552,1.7022143807346457e-10,6.141560870975837e-11,7.498638897183085e-11
-9,-3,-0.4470721903275828,-0.0010749417396951726,0.0005078115426202648,1.107425349339275e-11,-6.220537973611329e-11,-1.6214087022884197e-10
-9,-2,-0.460748620090975,-0.0015085117545241564,0.0009664739699682278,8.363045987062195e-11,-8.767893355798861e-11,-1.1089462030947073e-11
-9,-1,-0.4757756564652519,-0.001472988393818707,0.001402753785196988,-1.371291227271476e-10,1.0337514178004881e-10,-5.617701513390208e-11
-9,0,-0.49206672035744337,-0.000946141713586032,0.0017081709740740757,-9.657087564514388e-11,1.0974801623042651e-10,1.2642887594043611e-10
-9,1,0.4905633111640474,0.00021123156312746494,0.0017123395352643587,-2.111577062291134e-10,-1.090486451138517e-10,3.9707204429854925e-11
-9,2,0.4724628490884143,0.0017108695040066236,0.0012819743858480384,-1.1021622189130026e-10,1.1211018224877023e-10,6.067515999179374e-11
-9,3,0.4541132536519593,0.0030450194079765817,0.00046450562575342806,-1.121978243819044e-10,2.951958122388021e-12,4.003937150364942e-11
-9,4,0.4360180777498327,0.0037511291709535557,-0.0004999156472290053,-9.520365160282929e-11,-1.3784390295867865e-10,5.7891511937436906e-11
-9,5,0.4185989523866389,0.003695816849859421,-0.0013439011796945704,-5.456525834467152e-11,-1.2936873794444637e-11,-2.1018737043822927e-10
-9,6,0.4021625636413115,0.0030460658220877713,-0.0018961369935096284,-8.505148798784723e-11,-1.7065028556917383e-10,2.6513958156825293e-11
-9,7,0.38689545433707806,0.0021177165650644873,-0.0020969609979572612,-3.61025853309882e-11,-2.5217425370094304e-11,-1.2874734779807703e-11
-9,8,0.3728743702867808,0.0011967406903059111,-0.0019530826500034886,1.0297848641524499e-10,6.074586667015325e-11,6.234578440534114e-11
-9,9,0.3601064377009793,0.0004395619072136381,-0.0015699889169141933,-6.761027024695943e-11,1.2591488962598874e-10,1.0483146799635315e-10
-9,10,0.34854231434337185,-5.743965748894444e-05,-0.0010311719192745137,4.043205440590336e-11,9.321216021263012e-11,-2.7127649193832426e-11
-9,11,0.3380935872210771,-0.00013731232821946853,-0.0005341244830803387,1.1202173563762408e-10,1.122216486404426e-10,-5.745368579761906e-11
-8,-5,-0.416991309810103,-0.0009748862672933846,8.354334287979421e-05,1.1411989886064844e-10,5.831266025602133e-12,-1.2549271336177205e-10
-8,-4,-0.4285924263251931,-0.0017283551424917042,0.0002613549688476858,5.5017160532216947e-11,-5.4934987114840794e-11,3.245907196996155e-11
-8,-3,-0.4417303591941166,-0.002250007665514097,0.0005848158029621455,-2.579779467305754e-11,-9.294509606405654e-12,5.372949302270488e-11
-8,-2,-0.45652882816491597,-0.0025755942953193515,0.000996927269822337,-1.0779923763533372e-10,-7.388933909169282e-11,-6.254713733706493e-11
-8,-1,-0.4730468087521997,-0.0023672113129606957,0.0014083853650621039,-1.0222794420873538e-10,-4.0978984094941495e-11,3.730591552363917e-10
-8,0,-0.4912119819309276,-0.001394094217358338,0.001669445866547362,-6.801889487848684e-11,-2.2026838686350914e-11,2.7205926855962403e-11
-8,1,0.48921142380781,0.0005103452969318545,0.0015237158883437513,-4.226134779584598e-11,-2.594202630490372e-11,3.2260478468292e-11
-8,2,0.4687519566636648,0.0028078954562840157,0.0007619338493750921,8.096603465804209e-12,4.721750768155175e-12,5.4893123466875915e-11
