candidate,path,protocol,step,normal_traction_GPa,shear_traction_GPa,status,force_residual_ev_coordinate,substeps,a,s,energy_ev_cell,loaded_energy_ev_cell,min_hessian_eigenvalue,normal_strain,slip_over_period
angular_vector_and_third,direct_110,normal_tension,0,0.0,0.0,stable_local_equilibrium,7.105441283579016e-14,1,0.8113694616174547,0.0,3.638273420303744e-39,3.638273420303744e-39,5.470460261671968,0.0,0.0
angular_vector_and_third,direct_110,normal_tension,1,0.05,0.0,stable_local_equilibrium,3.16309478609611e-14,1,0.8116441970699793,3.0236498999110017e-17,8.615577075078508e-07,-8.605233843177987e-07,5.463133579426748,0.00033860709026053575,3.0427566256662814e-17
angular_vector_and_third,direct_110,normal_tension,2,0.15,0.0,stable_local_equilibrium,1.9970136655445003e-14,1,0.8121966590643339,-4.985838263752562e-17,7.79156885382063e-06,-7.763406698705122e-06,5.4484806068689435,0.0010195077409373954,-5.0173442408064874e-17
angular_vector_and_third,direct_110,normal_tension,3,0.4,0.0,stable_local_equilibrium,2.2565282975506307e-14,2,0.813595659950717,4.799517516700321e-18,5.608926074477306e-05,-5.5543774486377625e-05,5.411845613545625,0.0027437541571067032,4.829846115574136e-18
angular_vector_and_third,direct_110,normal_tension,4,1.0,0.0,stable_local_equilibrium,1.2351231148954867e-14,3,0.8170631862355149,-4.8016337661534636e-17,0.00036138305441007297,-0.0003523985428847058,5.323834562236165,0.007017425337539574,-4.831975737804972e-17
angular_vector_and_third,direct_110,normal_tension,5,2.0,0.0,stable_local_equilibrium,5.717648576819556e-14,5,0.8232289691295144,-6.097868884292954e-17,0.0015262306630096393,-0.0014472528764775238,5.17636516986971,0.014616655017330683,-6.13640188656523e-17
angular_vector_and_third,direct_110,normal_tension,6,4.0,0.0,stable_local_equilibrium,1.5210055437364645e-14,10,0.8374313849278013,3.25090757449941e-17,0.006927908209029795,-0.006140880674807057,4.873291448167043,0.03212090735876664,3.271450362698384e-17
angular_vector_and_third,direct_110,normal_tension,7,6.0,0.0,stable_local_equilibrium,2.375877272697835e-14,10,0.8555109934473684,-2.5330116138663436e-17,0.018368060324384202,-0.014834191498601091,4.542210678326775,0.05440373826976192,-2.5490179505267178e-17
angular_vector_and_third,direct_110,normal_tension,8,8.0,0.0,stable_local_equilibrium,1.3766765505351941e-14,10,0.8819310007388069,-1.957615231562709e-17,0.04182701530972996,-0.028939355008722356,4.127505264011929,0.0869659784590471,-1.9699855848119153e-17
angular_vector_and_third,direct_110,normal_tension,9,10.0,0.0,continuation_unresolved_or_branch_lost,0.003030435746584681,8,,,,,,,
