model,case,path_verified,static_return_state_error_over_L0,dynamic_hold_performed,residual_plasticity_validated
source_Al99_only,normal_xx50MPa,True,1.48248672611313e-16,False,False
source_Al99_only,normal_yx50MPa,True,3.398754756862546e-16,False,False
source_Al99_only,normal_zx50MPa,True,1.2266561946341144e-16,False,False
source_Al99_only,shear_xy10MPa,True,3.6137157445752645e-15,False,False
source_Al99_only,shear_xz10MPa,True,3.241927477393735e-15,False,False
source_Al99_only,shear_yz10MPa,True,3.1306717074855967e-15,False,False
source_Al99_only,biaxial_opposite25MPa,True,2.662066163293226e-16,False,False
source_Al99_only,mixed_MPa,True,1.040038106348362e-16,False,False
source_Al99_only,pure_interface_normal50MPa,True,2.670587611596283e-16,False,False
source_Al99_only,pure_interface_shear1_4MPa,True,4.952252478974419e-16,False,False
source_Al99_only,pure_interface_shear2_4MPa,True,2.7742709003926973e-16,False,False
positive_pair_refinement,normal_xx50MPa,True,3.185384163191671e-16,False,False
positive_pair_refinement,normal_yx50MPa,True,2.205043158223321e-16,False,False
positive_pair_refinement,normal_zx50MPa,True,4.339130656312476e-16,False,False
positive_pair_refinement,shear_xy10MPa,True,4.774735932706498e-16,False,False
positive_pair_refinement,shear_xz10MPa,True,2.2770729283069177e-16,False,False
positive_pair_refinement,shear_yz10MPa,True,4.929896783882624e-16,False,False
positive_pair_refinement,biaxial_opposite25MPa,True,2.442913624271707e-16,False,False
positive_pair_refinement,mixed_MPa,True,3.115379637007819e-16,False,False
positive_pair_refinement,pure_interface_normal50MPa,True,3.857876740834011e-16,False,False
positive_pair_refinement,pure_interface_shear1_4MPa,True,2.79510815379033e-15,False,False
positive_pair_refinement,pure_interface_shear2_4MPa,True,3.3933837758970527e-16,False,False
