state,cutoff_A,pairs,formed_relative_to_initial_lattice,lost_relative_to_initial_lattice,components,grip_connected,largest_component_atoms
0,2.8,620,28,0,1,True,360
0,3.1,626,34,0,1,True,360
0,3.4,646,54,0,1,True,360
0,3.7,783,191,0,1,True,360
1,2.8,620,28,0,1,True,360
1,3.1,630,38,0,1,True,360
1,3.4,646,54,0,1,True,360
1,3.7,788,196,0,1,True,360
2,2.8,622,30,0,1,True,360
2,3.1,630,38,0,1,True,360
2,3.4,648,56,0,1,True,360
2,3.7,784,192,0,1,True,360
3,2.8,622,30,0,1,True,360
3,3.1,632,40,0,1,True,360
3,3.4,648,56,0,1,True,360
3,3.7,798,206,0,1,True,360
4,2.8,630,38,0,1,True,360
4,3.1,642,50,0,1,True,360
4,3.4,664,72,0,1,True,360
4,3.7,850,258,0,1,True,360
