profile,target,prediction,reference,scale,residual,selected_in_profile,exact
K_only,normal_strain_force_ev,-1.7763568394002505e-15,0.0,0.1,-1.7763568394002505e-14,False,True
K_only,cohesive_ev_atom,3.3599999999999897,3.36,0.0672,-1.5199481884749167e-13,False,True
K_only,C11_GPa,114.00000000000007,113.99999999999996,5.699999999999998,1.9945059249406326e-14,False,True
K_only,C12_GPa,61.999999999999794,62.000000000000014,3.100000000000001,-7.105427357600999e-14,False,True
K_only,C44_GPa,31.999999999999943,32.0,1.6,-3.552713678800501e-14,False,True
K_only,perfect_Haa,19.660912863289713,19.66091286328976,1.9660912863289761,-2.3490912220379255e-14,False,True
K_only,perfect_Hxx,4.3935930351233745,4.393593035123306,0.43935930351233066,1.5565788130622862e-13,False,True
K_only,saddle_energy_at_source_state,7.966115013506491e+54,0.07624909750742465,0.007624909750742465,1.0447487608270776e+57,False,False
K_only,saddle_normal_force_at_source_state,-1.590891968131268e+56,1.4903612010162394e-15,0.03173805605024358,-5.012569029472926e+57,False,False
K_only,fault_energy_at_source_state,5.6695538393077424e+54,0.06670794504308616,0.006670794504308616,8.49906834282756e+56,False,False
K_only,fault_normal_force_at_source_state,-8.904922533814347e+55,5.29078226360765e-15,0.03173805605024358,-2.80575550049985e+57,False,False
K_only,saddle_path_force_at_source_state,-2.838658816693427e+55,2.296700476743968e-16,0.03173805605024358,-8.944022318820125e+56,False,False
K_only,opening_1.1h_energy,3.3597165727355114e+52,0.05670265774764735,0.005670265774764736,5.9251483196568665e+54,False,False
K_only,opening_1.5h_energy,8.910895885743519e+53,0.4710312483934004,0.04710312483934004,1.8917844444794098e+55,False,False
K_only,opening_2h_energy,1.4720605778530335e+54,0.7060534019484034,0.07060534019484034,2.084913936808151e+55,False,False
K_only,opening_40h_energy,1.520571181119598e+54,0.7719163228888833,0.07719163228888834,1.9698653027945915e+55,False,False
K_only,direct_quarter_energy,5.541080045874423e+55,0.117221996542065,0.0117221996542065,4.726996817432649e+57,False,False
K_only,direct_half_energy,2.57175746248574e+56,0.26732847628894163,0.026732847628894163,9.62021516819652e+57,False,False
K_only,oblique_energy,1.7916718305936606e+55,0.13339289745734875,0.013339289745734876,1.3431538445789682e+57,False,False
K_only,opening_1.25h_energy,2.67658597999066e+53,0.24853683654490819,0.02485368365449082,1.0769373333948534e+55,False,False
K_only,opening_3h_energy,1.5204996604134993e+54,0.7719163228888833,0.07719163228888834,1.9697726493501988e+55,False,False
