group,convention,residual_model,applied_nominal_GPa,Si_axial_GPa,oxide_axial_GPa,source_FEM_Si_GPa,source_FEM_oxide_surface_GPa,Si_difference_percent,oxide_difference_GPa,axial_strain,force_residual_GPa_um2
oxide_50,listed_outer_per_face_t,none,3.5,3.5930374370878186,1.489121495536692,3.61,1.14,-0.4698770889800863,0.34912149553669214,0.021273164221952745,-1.4210854715202004e-14
oxide_50,listed_outer_per_face_t,oxide_eigenstress_at_zero_common_strain,3.5,3.613919859844141,1.0377761408471868,3.61,1.14,0.10858337518395711,-0.10222385915281307,0.02139680201210267,0.0
oxide_50,listed_outer_per_face_t,self_balanced_actual_oxide_stress,3.5,3.6143202848408804,1.029121495536692,3.61,1.14,0.11967548035680675,-0.11087850446330783,0.021273164221952745,0.0
oxide_50,listed_outer_total_t,none,3.5,3.5461682265408867,1.469696719111084,3.61,1.14,-1.768193170612553,0.329696719111084,0.020995667415872627,1.4210854715202004e-14
oxide_50,listed_outer_total_t,oxide_eigenstress_at_zero_common_strain,3.5,3.5565307693485355,1.0139914378590733,3.61,1.14,-1.4811421233092648,-0.1260085621409266,0.021057020540843904,1.4210854715202004e-14
oxide_50,listed_outer_total_t,self_balanced_actual_oxide_stress,3.5,3.556628429412405,1.009696719111084,3.61,1.14,-1.4784368583821261,-0.13030328088891596,0.020995667415872627,1.4210854715202004e-14
oxide_50,planar_44percent_consumption_per_face_t,none,3.4565891599880154,3.5478852932022216,1.4704083512383392,3.61,1.14,-1.720628997168372,0.33040835123833934,0.021005833589119133,0.0
oxide_50,planar_44percent_consumption_per_face_t,oxide_eigenstress_at_zero_common_strain,3.4565891599880154,3.5686342281785204,1.0190076730165567,3.61,1.14,-1.1458662554426402,-0.1209923269834432,0.021128681043093667,0.0
oxide_50,planar_44percent_consumption_per_face_t,self_balanced_actual_oxide_stress,3.4565891599880154,3.569029501772524,1.0104083512383393,3.61,1.14,-1.1349168484065308,-0.12959164876166063,0.021005833589119133,0.0
oxide_100,listed_outer_per_face_t,none,3.769999999999999,3.9722060236377605,1.6462665580499896,4.0,1.3,-0.6948494090559865,0.3462665580499895,0.02351809368642842,0.0
oxide_100,listed_outer_per_face_t,oxide_eigenstress_at_zero_common_strain,3.769999999999999,4.014341113875769,1.203729295271189,4.0,1.3,0.3585278468942299,-0.09627070472881094,0.023767561361016987,0.0
oxide_100,listed_outer_per_face_t,self_balanced_actual_oxide_stress,3.769999999999999,4.016003785181678,1.1862665580499894,4.0,1.3,0.4000946295419583,-0.11373344195001067,0.02351809368642842,0.0
oxide_100,listed_outer_total_t,none,3.769999999999999,3.8695967399298907,1.6037405079638387,4.0,1.3,-3.260081501752732,0.30374050796383867,0.022910578685197695,0.0
oxide_100,listed_outer_total_t,oxide_eigenstress_at_zero_common_strain,3.769999999999999,3.8903504125893917,1.1523417932578888,4.0,1.3,-2.7412396852652066,-0.14765820674211128,0.023033454189398412,-1.4210854715202004e-14
oxide_100,listed_outer_total_t,self_balanced_actual_oxide_stress,3.769999999999999,3.8907458684328136,1.1437405079638385,4.0,1.3,-2.731353289179661,-0.15625949203616152,0.022910578685197695,-1.4210854715202004e-14
oxide_100,planar_44percent_consumption_per_face_t,none,3.6762870765856475,3.8708962483153035,1.6042790845593322,4.0,1.3,-3.2275937921174114,0.30427908455933217,0.02291827263656189,0.0
oxide_100,planar_44percent_consumption_per_face_t,oxide_eigenstress_at_zero_common_strain,3.6762870765856475,3.9124820498292188,1.1615141710363843,4.0,1.3,-2.187948754269531,-0.13848582896361572,0.023164488157662633,0.0
oxide_100,planar_44percent_consumption_per_face_t,self_balanced_actual_oxide_stress,3.6762870765856475,3.9141008205660577,1.1442790845593322,4.0,1.3,-2.147479485848558,-0.1557209154406678,0.02291827263656189,0.0
oxide_200,listed_outer_per_face_t,none,3.2700000000000005,3.6267373677862667,1.5030883111014723,3.69,1.16,-1.7144344773369458,0.3430883111014724,0.02147269015859246,-1.4210854715202004e-14
oxide_200,listed_outer_per_face_t,oxide_eigenstress_at_zero_common_strain,3.2700000000000005,3.712439581596238,1.0786072866295835,3.69,1.16,0.6081187424454848,-0.08139271337041643,0.021980104094708335,-1.4210854715202004e-14
oxide_200,listed_outer_per_face_t,self_balanced_actual_oxide_stress,3.2700000000000005,3.7196108204962774,1.0430883111014722,3.69,1.16,0.8024612600617154,-0.11691168889852777,0.02147269015859246,0.0
oxide_200,listed_outer_total_t,none,3.2700000000000005,3.443181026583256,1.427014042988916,3.69,1.16,-6.688861068204444,0.26701404298891607,0.020385914899841658,0.0
oxide_200,listed_outer_total_t,oxide_eigenstress_at_zero_common_strain,3.2700000000000005,3.4847858560973903,0.9842570155525002,3.69,1.16,-5.561358913349856,-0.1757429844474997,0.020632243079321433,0.0
oxide_200,listed_outer_total_t,self_balanced_actual_oxide_stress,3.2700000000000005,3.4864061374015143,0.967014042988916,3.69,1.16,-5.517448850907469,-0.1929859570110839,0.020385914899841658,0.0
oxide_200,planar_44percent_consumption_per_face_t,none,3.1123139324185582,3.4429774873273473,1.4269296868733825,3.69,1.16,-6.694377037199262,0.2669296868733826,0.020384709812476892,1.4210854715202004e-14
oxide_200,planar_44percent_consumption_per_face_t,oxide_eigenstress_at_zero_common_strain,3.1123139324185582,3.5264405127472775,1.0015206387940165,3.69,1.16,-4.4325064296130705,-0.15847936120598338,0.02087886626848595,1.4210854715202004e-14
oxide_200,planar_44percent_consumption_per_face_t,self_balanced_actual_oxide_stress,3.1123139324185582,3.5332270762030524,0.9669296868733824,3.69,1.16,-4.248588720784485,-0.1930703131266175,0.020384709812476892,1.4210854715202004e-14
