time_s,step,element,x_mid_m,strain,stress_pa,applied_stress_pa
0,0,0,0.00062500000000000001,0.00072463768115941824,49999999.999999858,50000000
0,0,1,0.0018749999999999999,0.00072463768115941824,49999999.999999858,50000000
0,0,2,0.0031250000000000002,0.00072463768115941824,49999999.999999858,50000000
0,0,3,0.0043750000000000004,0.00072463768115941824,49999999.999999858,50000000
0,0,4,0.0056249999999999998,0.00072463768115941791,49999999.999999836,50000000
0,0,5,0.006875,0.00072463768115941791,49999999.999999836,50000000
0,0,6,0.0081250000000000003,0.00072463768115941867,49999999.999999888,50000000
0,0,7,0.0093749999999999997,0.00072463768115941867,49999999.999999888,50000000
0,0,8,0.010625000000000001,0.00072463768115941932,49999999.999999933,50000000
0,0,9,0.011875,0.00072463768115941932,49999999.999999933,50000000
0,0,10,0.013125,0.00072463768115941932,49999999.999999933,50000000
0,0,11,0.014375000000000001,0.00072463768115941932,49999999.999999933,50000000
0,0,12,0.015625,0.00072463768115941932,49999999.999999933,50000000
0,0,13,0.016875000000000001,0.00072463768115941932,49999999.999999933,50000000
0,0,14,0.018124999999999999,0.00072463768115941932,49999999.999999933,50000000
0,0,15,0.019375,0.00072463768115942062,50000000.000000022,50000000
0,0,16,0.020625000000000001,0.00072463768115942062,50000000.000000022,50000000
0,0,17,0.021875000000000002,0.00072463768115942203,50000000.000000119,50000000
0,0,18,0.023125,0.00072463768115941932,49999999.999999933,50000000
0,0,19,0.024375000000000001,0.00072463768115941932,49999999.999999933,50000000
0,0,20,0.025625000000000002,0.00072463768115941932,49999999.999999933,50000000
0,0,21,0.026875,0.00072463768115941932,49999999.999999933,50000000
0,0,22,0.028125000000000001,0.00072463768115942203,50000000.000000119,50000000
0,0,23,0.029375000000000002,0.00072463768115942203,50000000.000000119,50000000
0,0,24,0.030624999999999999,0.00072463768115942203,50000000.000000119,50000000
0,0,25,0.031875000000000001,0.00072463768115942203,50000000.000000119,50000000
0,0,26,0.033125000000000002,0.00072463768115942203,50000000.000000119,50000000
0,0,27,0.034375000000000003,0.00072463768115942203,50000000.000000119,50000000
0,0,28,0.035625000000000004,0.00072463768115942203,50000000.000000119,50000000
0,0,29,0.036874999999999998,0.00072463768115942203,50000000.000000119,50000000
0,0,30,0.038124999999999999,0.00072463768115942203,50000000.000000119,50000000
0,0,31,0.039375,0.00072463768115941932,49999999.999999933,50000000
0,0,32,0.040625000000000001,0.00072463768115941932,49999999.999999933,50000000
0,0,33,0.041875000000000002,0.00072463768115941932,49999999.999999933,50000000
0,0,34,0.043125000000000004,0.00072463768115942203,50000000.000000119,50000000
0,0,35,0.044374999999999998,0.00072463768115942203,50000000.000000119,50000000
0,0,36,0.045624999999999999,0.00072463768115942203,50000000.000000119,50000000
0,0,37,0.046875,0.00072463768115942203,50000000.000000119,50000000
0,0,38,0.048125000000000001,0.00072463768115942203,50000000.000000119,50000000
