model,samples,a_over_h,traction_MPa,Haa_eV_L0sq
old_candidate,91,1.1904995059176189,9771.534200114822,1.3322676295501878e-14
old_candidate,91,3.5735820390135857,-9.941765872265884e-09,3.2959746043559335e-15
old_candidate,91,4.932449335180376,36.50718880765883,-9.86623976961809e-18
old_candidate,181,1.1904995059176189,9771.534200114822,1.3322676295501878e-14
old_candidate,181,3.5735820390133317,-9.941328612095133e-09,-1.0061396160665481e-14
old_candidate,181,4.93244933518038,36.50718880765897,-4.651227319962814e-17
best_feasible_same_family,91,1.222859061327625,9034.51554400497,-2.9913849175500218e-12
best_feasible_same_family,91,2.796337198806479,-46.47650857664564,1.1102230246251565e-15
best_feasible_same_family,91,4.060151834772292,261.8681499359503,-8.847089727481716e-17
best_feasible_same_family,181,1.2228590613271768,9034.515544005046,2.7498003873915877e-12
best_feasible_same_family,181,2.796337198806438,-46.47650857664301,-1.965094753586527e-14
best_feasible_same_family,181,4.060151834772295,261.86814993595067,-3.0531133177191805e-16
