run,state,valid,model,a_L0,ux_L0,uy_L0,energy_eV_cell,energy_J_m2,gradient_norm_eV_L0,eigenvalue_min_eV_L0sq,eigenvalue_middle_eV_L0sq,eigenvalue_max_eV_L0sq,force_a_eV_L0,traction_a_MPa,H_aa_eV_L0sq,H_ax_eV_L0sq,H_ay_eV_L0sq,force_x_eV_L0,traction_x_MPa,H_xa_eV_L0sq,H_xx_eV_L0sq,H_xy_eV_L0sq,force_y_eV_L0,traction_y_MPa,H_ya_eV_L0sq,H_yx_eV_L0sq,H_yy_eV_L0sq
baseline,perfect,True,candidate,0.816496580928332,-8.503367429232033e-17,8.663653608220002e-17,7.230950733235102e-15,1.6311545573000997e-14,8.542927218014318e-15,9.043722434532626,9.043722434532665,41.038071592628995,-8.274266947346621e-15,-6.517622672169865e-11,41.038071592628995,2.2905516493188763e-14,-3.7624850962862636e-14,-1.6083825937966884e-15,-1.2669195864189864e-11,2.2905516493188763e-14,9.043722434532624,6.25125645807177e-15,1.3896824703179254e-15,1.094649959120023e-11,-3.7624850962862636e-14,6.25125645807177e-15,9.043722434532663
baseline,fault,True,candidate,0.8380053510891424,0.49999999999999994,0.2886751345948129,0.16573233275814797,0.3738582377942475,1.1962952179053331e-14,4.284989126775779,4.284989126775793,31.96014771240297,1.1955714196432154e-14,9.417490927536184e-11,31.96014771240297,-1.6098791535622613e-14,-8.54418431690087e-15,-1.3811233623704662e-16,-1.0879079677911357e-12,-1.6098791535622613e-14,4.284989126775795,2.688174561634908e-15,3.924893299525682e-16,3.091630197287681e-12,-8.54418431690087e-15,2.688174561634908e-15,4.284989126775779
baseline,saddle,True,candidate,0.8404012654898438,0.3461016066871974,0.19982185578781553,0.18671310406472597,0.42118656569323276,3.639765181569714e-14,-3.522190509900412,12.662411414850794,36.121602807700555,-1.7763568394002505e-15,-1.3992325464011974e-11,36.12063916704711,-0.16926630414953292,-0.09772594626549058,3.047562202596055e-14,2.400558337419555e-10,-0.16926630414953292,0.5246827017774568,-7.007720939843532,1.9820950436510998e-14,1.5612920971855552e-10,-0.09772594626549058,-7.007720939843532,8.61650184382636
fixed_saturated_reprofile,perfect,True,candidate,0.8164965809277747,-1.340752462406203e-16,-1.3350343366263651e-16,1.0622023550360935e-15,2.396111211529243e-15,3.706518088425465e-14,3.4971184731450675,3.497118473145086,65.74089944961216,-3.705075828429558e-14,-2.918480437620503e-10,65.74089944961216,3.9241538422390964e-14,8.280373475019665e-15,-1.0189857563157462e-15,-8.026529371416288e-12,3.9241538422390964e-14,3.4971184731450835,7.237009431448891e-15,1.7496448109395214e-16,1.378191537762828e-12,8.280373475019665e-15,7.237009431448891e-15,3.497118473145071
fixed_saturated_reprofile,fault,True,candidate,0.8195668522733313,0.49999999999999895,0.28867513459481126,0.026749208170117184,0.06034074137763468,1.9154000351054404e-14,1.1101634827450002,1.1101634827451254,31.22905149879088,-1.898053112250886e-14,-1.4950924445767362e-10,31.22905149879088,3.462894133519669e-13,4.5308536260492086e-13,-1.4186665336911595e-15,-1.117480644880479e-11,3.462894133519669e-13,1.1101634827450106,-3.4625463248227424e-14,-2.1453561526817623e-15,-1.6898925294018577e-11,4.5308536260492086e-13,-3.4625463248227424e-14,1.110163482745115
fixed_saturated_reprofile,saddle,True,candidate,0.8232196910159013,0.45064283533871907,0.260178762291186,0.027204395188322295,0.06136755017022747,5.696052984636101e-15,-0.729346754319506,2.278426153835858,33.88481289462087,5.614757790650682e-15,4.422732902861256e-11,33.526019165354995,3.036109000722087,1.7528983488558783,8.494513421239971e-17,6.691110356438147e-13,3.036109000722087,0.2916917696687486,-1.14704163150717,9.551433820547272e-16,7.523644332080924e-12,1.7528983488558783,-1.14704163150717,1.6161813591134833
positive_pair_refinement,perfect,True,candidate,0.8164965809277399,-2.9162104212382677e-18,-2.9034404575388455e-18,8.258342270332546e-16,1.8629130700729136e-15,3.037243892145046e-15,4.762392405371912,4.762392405371924,27.916359286996453,-2.987413485388217e-15,-2.3531793193783912e-11,27.916359286996453,-1.2395115091744948e-14,1.0704111248025596e-14,2.8415350416904193e-16,2.2382711760859494e-12,-1.2395115091744948e-14,4.76239240537192,-5.2995498937468754e-15,4.68474026773594e-16,3.690160056053579e-12,1.0704111248025596e-14,-5.2995498937468754e-15,4.762392405371916
positive_pair_refinement,fault,True,candidate,0.8374189321703328,0.5000000000000006,0.28867513459481403,0.07226520801038722,0.16301552552225124,4.120535103524087e-15,2.4550961985279494,2.455096198528037,22.81511282774612,-4.052314039881821e-15,-3.191999246477732e-11,22.81511282774612,2.0613848024966938e-14,-1.0011626466063651e-13,-5.610514487093001e-16,-4.419390461573293e-12,2.0613848024966938e-14,2.455096198528037,-3.0688806495419394e-15,4.927288640338877e-16,3.881214899030545e-12,-1.0011626466063651e-13,-3.0688806495419394e-15,2.4550961985279494
positive_pair_refinement,saddle,True,candidate,0.8436840411995403,0.3550535705296953,0.2049902745220577,0.08264062850074261,0.1864203515833138,4.2726370391445757e-16,-1.6804379426768463,4.711088173029804,24.12457938224077,1.6653345369377348e-16,1.3117805122511226e-12,24.112704052161934,0.4792979826989544,0.2767228193332582,-3.7426658994199613e-16,-2.9480900574810387e-12,0.4792979826989544,-0.07364991619106162,-2.762469823813515,1.214306433183765e-16,9.565066235164435e-13,0.2767228193332582,-2.762469823813515,3.116175476622857
saturated,perfect,True,candidate,0.8164965809277306,-3.1247941078493886e-18,-3.1109726472410815e-18,4.786199924601715e-16,1.0796687886809379e-15,3.767221272875641e-15,4.414200154539895,4.4142001545399046,28.0109011758384,3.380867608871797e-15,2.663102304942405e-11,28.0109011758384,2.3389883142600358e-14,4.755164575534636e-15,1.9813845904767078e-16,1.5607324747142957e-12,2.3389883142600358e-14,4.414200154539898,4.4039001554595284e-15,1.649979236576775e-15,1.2996851744517223e-11,4.755164575534636e-15,4.4039001554595284e-15,4.414200154539899
