run,parameter,value,units
baseline,u,0.2616988082591952,eV per normalized site basis
baseline,v,0.9570337497344826,eV per normalized site basis
baseline,A,10.02251818701544,eV per normalized site basis
baseline,B,11.991514019756378,eV per normalized site basis
baseline,C,0.0,eV per normalized site basis
baseline,D3,307.68684601935036,eV per normalized site basis
baseline,D1,-20.7292306845532,eV per normalized site basis
baseline,D2,-0.41123113983490606,eV per normalized site basis
baseline,D_E,0.23508774260472043,eV per normalized site basis
baseline,K3,139391.9353116846,eV per normalized site basis
baseline,shape_0,1.6421044745677258,see definition.json: reduced exponential decay or declared extension shape
baseline,shape_1,4.765872691252868,see definition.json: reduced exponential decay or declared extension shape
baseline,shape_2,10.32007751181017,see definition.json: reduced exponential decay or declared extension shape
fixed_baseline,u,0.5269551440966854,eV per normalized site basis
fixed_baseline,v,3.073002023164014,eV per normalized site basis
fixed_baseline,A,14.109076964203291,eV per normalized site basis
fixed_baseline,B,30.35485084930578,eV per normalized site basis
fixed_baseline,C,0.5937879186295926,eV per normalized site basis
fixed_baseline,D3,293.02004193943117,eV per normalized site basis
fixed_baseline,D1,-13.329440119922289,eV per normalized site basis
fixed_baseline,D2,5.706639161834027,eV per normalized site basis
fixed_baseline,D_E,0.21503876811651162,eV per normalized site basis
fixed_baseline,K3,346599.3354796248,eV per normalized site basis
fixed_baseline,shape_0,3.3293155665664864,see definition.json: reduced exponential decay or declared extension shape
fixed_baseline,shape_1,4.926219279342824,see definition.json: reduced exponential decay or declared extension shape
fixed_baseline,shape_2,9.782021765740216,see definition.json: reduced exponential decay or declared extension shape
fixed_baseline_continuation,u,0.5269551440966841,eV per normalized site basis
fixed_baseline_continuation,v,3.073002023164006,eV per normalized site basis
fixed_baseline_continuation,A,13.868200162868073,eV per normalized site basis
fixed_baseline_continuation,B,30.032797932735367,eV per normalized site basis
fixed_baseline_continuation,C,0.5126118033944497,eV per normalized site basis
fixed_baseline_continuation,D3,355.5103056002397,eV per normalized site basis
fixed_baseline_continuation,D1,-18.311522772357247,eV per normalized site basis
fixed_baseline_continuation,D2,5.329220558491836,eV per normalized site basis
fixed_baseline_continuation,D_E,0.20105273033106183,eV per normalized site basis
fixed_baseline_continuation,K3,225741.54415132996,eV per normalized site basis
fixed_baseline_continuation,shape_0,3.3826033340395005,see definition.json: reduced exponential decay or declared extension shape
fixed_baseline_continuation,shape_1,4.735306628651613,see definition.json: reduced exponential decay or declared extension shape
fixed_baseline_continuation,shape_2,9.839374777601503,see definition.json: reduced exponential decay or declared extension shape
fixed_saturated,u,0.5269551440966733,eV per normalized site basis
fixed_saturated,v,3.073002023163975,eV per normalized site basis
fixed_saturated,A,14.151246931245932,eV per normalized site basis
fixed_saturated,B,30.41140726864825,eV per normalized site basis
fixed_saturated,C,0.6081743709296175,eV per normalized site basis
fixed_saturated,D3,136.696040871187,eV per normalized site basis
fixed_saturated,D1,22.54645133640105,eV per normalized site basis
fixed_saturated,D2,3.0341834927033777,eV per normalized site basis
fixed_saturated,D_E,0.1362322466357791,eV per normalized site basis
fixed_saturated,K3,-1.7148860239834439e-09,eV per normalized site basis
fixed_saturated,shape_0,3.31997022737737,see definition.json: reduced exponential decay or declared extension shape
fixed_saturated,shape_1,3.919564945214352,see definition.json: reduced exponential decay or declared extension shape
fixed_saturated,shape_2,11.916047300075677,see definition.json: reduced exponential decay or declared extension shape
fixed_saturated,shape_3,242075.99633372846,see definition.json: reduced exponential decay or declared extension shape
fixed_saturated_reprofile,u,0.5269551440966733,eV per normalized site basis
fixed_saturated_reprofile,v,3.073002023163975,eV per normalized site basis
fixed_saturated_reprofile,A,14.151246931245932,eV per normalized site basis
fixed_saturated_reprofile,B,30.41140726864825,eV per normalized site basis
fixed_saturated_reprofile,C,0.6081743709296175,eV per normalized site basis
fixed_saturated_reprofile,D3,136.6960408711863,eV per normalized site basis
fixed_saturated_reprofile,D1,22.54645133640071,eV per normalized site basis
fixed_saturated_reprofile,D2,3.0341834927033777,eV per normalized site basis
fixed_saturated_reprofile,D_E,0.1362322466357791,eV per normalized site basis
fixed_saturated_reprofile,K3,0.0,eV per normalized site basis
fixed_saturated_reprofile,shape_0,3.31997022737737,see definition.json: reduced exponential decay or declared extension shape
fixed_saturated_reprofile,shape_1,3.919564945214352,see definition.json: reduced exponential decay or declared extension shape
fixed_saturated_reprofile,shape_2,11.916047300075677,see definition.json: reduced exponential decay or declared extension shape
fixed_saturated_reprofile,shape_3,242075.99633372846,see definition.json: reduced exponential decay or declared extension shape
positive_pair_refinement,u,0.017190392488739735,eV per normalized site basis
positive_pair_refinement,v,0.10069343124175334,eV per normalized site basis
positive_pair_refinement,A,2.0245297750811826,eV per normalized site basis
positive_pair_refinement,B,1.8680997163726343,eV per normalized site basis
positive_pair_refinement,C,2.580138379997932,eV per normalized site basis
positive_pair_refinement,D3,37.782668436282776,eV per normalized site basis
positive_pair_refinement,D1,4.695053645069632,eV per normalized site basis
positive_pair_refinement,D2,1.9953557098951986,eV per normalized site basis
positive_pair_refinement,D_E,1.5818826668002264,eV per normalized site basis
positive_pair_refinement,K3,18140.504159884415,eV per normalized site basis
positive_pair_refinement,shape_0,2.612878645738997,see definition.json: reduced exponential decay or declared extension shape
positive_pair_refinement,shape_1,6.42710026911652,see definition.json: reduced exponential decay or declared extension shape
positive_pair_refinement,shape_2,11.957043235970591,see definition.json: reduced exponential decay or declared extension shape
positive_pair_refinement,shape_3,425.060826360985,see definition.json: reduced exponential decay or declared extension shape
saturated,u,0.017190392488739735,eV per normalized site basis
saturated,v,0.1006934312417533,eV per normalized site basis
saturated,A,1.8894225002374418,eV per normalized site basis
saturated,B,1.8090752758739403,eV per normalized site basis
saturated,C,2.6562212143429753,eV per normalized site basis
saturated,D3,36.25419559115133,eV per normalized site basis
saturated,D1,4.785524808305256,eV per normalized site basis
saturated,D2,1.9904537948463252,eV per normalized site basis
saturated,D_E,1.5815773338909946,eV per normalized site basis
saturated,K3,30066.38178182219,eV per normalized site basis
saturated,shape_0,2.545578639268964,see definition.json: reduced exponential decay or declared extension shape
saturated,shape_1,6.273964949152008,see definition.json: reduced exponential decay or declared extension shape
saturated,shape_2,11.974123904707671,see definition.json: reduced exponential decay or declared extension shape
saturated,shape_3,446.0640027826982,see definition.json: reduced exponential decay or declared extension shape
