run,runner_completed,profiles,optimizer_starts,successful_stopping_criteria,numerical_stops,failed_profile_evaluations,nonpositive_LJ_profiles,stability_wavepoint_count,derivative_scheme,derivative_step,exact_bulk,target_generation,quadrupole_saturation,inherited_pair_control,fit_loss,profile_heldout_normalized_rms,best_strictly_positive_LJ,C11_GPa,C12_GPa,C44_GPa,independent_validation,full_material_accepted,physical_time_calibrated,admissible_solution_found,fit_count,fit_normalized_rms,fit_normalized_max,exact_count,exact_normalized_rms,exact_normalized_max,interface_heldout_count,interface_heldout_normalized_rms,interface_heldout_normalized_max,bloch_heldout_count,bloch_heldout_normalized_rms,bloch_heldout_normalized_max,replayed_fit_loss,finite_q_sample_positive,continuous_q_search_positive,exact_tangent_rank,exact_matrix_rank,exact_tangent_condition,exact_derivative_residual
baseline,True,75,2,1,1,1,0,158,2-point,0.0002,True,v16,False,False,31834.679592564433,19.725180094500736,True,113.99999999999986,62.00000000000007,32.00000000000031,True,False,False,True,60,23.0342786561552,139.68292927642017,5,9.059853887019557e-14,1.9539925233402755e-13,36,19.725180094500736,91.62134834020507,0,,,31834.679592564433,True,True,8,5,177.9678169187331,2.6433881538694204e-14
fixed_baseline,True,17,1,0,1,1,0,158,2-point,0.0002,True,v16,False,True,112542.8873369705,41.001514418194674,True,113.99999999999937,62.000000000000256,31.999999999999886,False,False,False,True,,,,,,,,,,,,,,,,,,,
fixed_baseline_continuation,True,33,1,0,0,15,0,158,2-point,0.0002,True,v16,False,True,105727.41454911197,39.18279745353682,True,113.99999999999966,62.00000000000017,31.99999999999966,False,False,False,True,,,,,,,,,,,,,,,,,,,
fixed_saturated,True,54,1,0,1,1,0,158,2-point,0.0002,True,v16,True,True,55543.470991656584,28.016513680986982,True,114.0000000000003,62.00000000000065,32.000000000000284,False,False,False,True,,,,,,,,,,,,,,,,,,,
fixed_saturated_reprofile,True,1,1,1,0,0,0,158,2-point,0.0002,True,v16,True,True,55543.470991656905,28.01651368098733,True,114.0000000000003,62.00000000000065,32.000000000000284,True,False,False,True,60,30.42572129839513,210.3534147844193,7,1.0989081546008243e-13,2.0399452736338353e-13,36,28.01651368098733,139.53857925537588,0,,,55543.470991656905,True,True,7,7,876557.6567472222,1.4210854715202004e-13
positive_pair_refinement,True,48,1,0,0,0,0,158,2-point,0.0002,True,v16,True,True,596.1441402500969,4.13966408551185,True,113.99999999999986,62.000000000000206,32.000000000000064,True,False,False,True,60,3.1521001999991918,9.842106263496458,7,3.354508932763503e-14,6.188598021136355e-14,36,4.13966408551185,13.98616045063258,0,,,596.1441402500969,True,True,7,7,122.53120990672736,6.980770737292214e-14
saturated,True,192,2,0,0,0,172,158,2-point,0.0002,True,v16,True,False,616.1570030339992,4.006880452725344,True,114.00000000000003,61.999999999999986,32.00000000000008,True,False,False,True,60,3.204572262237191,9.595311341845777,5,2.3257861732773198e-14,4.884981308350689e-14,36,4.006880452725344,13.578832761637797,0,,,616.1570030339992,True,True,9,5,146.43778019328252,5.3290705182007514e-14
