run,start_index,start,success,message,numerical_stop,nfev,njev,optimality,final_decays,final_loss,backend,rejected_profiles,shape_optimization_performed
baseline,0,"[2.5836502535673174, 4.552390064895911, 4.45527411738198]",False,"spectral separation did not converge: {'loss': 2882301.7982601607, 'minimum_robust_margin': -1.9474460603158272e-09, 'worst_index': 477}",True,,,,,,,,
baseline,1,"[2.54825785609907, 4.678211074906818, 11.048742006284282]",True,`ftol` termination condition is satisfied.,,22,15,2.910917691418097,"[1.6421044745677258, 4.765872691252868, 10.32007751181017]",31834.679592564433,,,
fixed_baseline,0,"[2.54825785609907, 4.678211074906818, 11.048742006284282]",False,infeasible constant constraint,True,,,,,,,,
fixed_baseline_continuation,0,"[3.3293155665664864, 4.926219279342824, 9.782021765740216]",False,Maximum number of function evaluations has been exceeded.,,48,,,"[3.3826033340395005, 4.735306628651613, 9.839374777601503]",105727.41454911197,feasible-simplex,"[{""log_shape"": [1.2277667473014036, 1.5779051467268468, 2.263879520528806], ""message"": ""spectral separation did not converge: {'loss': 104626.43198855808, 'minimum_robust_margin': -7.604855009613054e-10, 'worst_index': 486}""}, {""log_shape"": [1.227072302856959, 1.5781366282083282, 2.2641110020102877], ""message"": ""spectral separation did not converge: {'loss': 104793.64752212557, 'minimum_robust_margin': -7.770424755026983e-10, 'worst_index': 486}""}, {""log_shape"": [1.2243716855730082, 1.5379874512535956, 2.2878507139444433], ""message"": ""spectral separation did not converge: {'loss': 105149.26787728684, 'minimum_robust_margin': -8.460702364404549e-10, 'worst_index': 486}""}, {""log_shape"": [1.229772920140909, 1.565508027385283, 2.25426017896502], ""message"": ""spectral separation did not converge: {'loss': 104334.26261845976, 'minimum_robust_margin': -7.132448937019475e-10, 'worst_index': 486}""}, {""log_shape"": [1.2273673703009462, 1.5640922275834235, 2.2850460252536946], ""message"": ""spectral separation did not converge: {'loss': 104051.98859780423, 'minimum_robust_margin': -7.695655631842491e-10, 'worst_index': 486}""}, {""log_shape"": [1.2234143834277562, 1.565057428359474, 2.282967673217674], ""message"": ""spectral separation did not converge: {'loss': 104886.36291854928, 'minimum_robust_margin': -8.719904876289264e-10, 'worst_index': 486}""}, {""log_shape"": [1.2206161242268876, 1.5393598440512557, 2.3035898032568625], ""message"": ""spectral separation did not converge: {'loss': 105470.20957286195, 'minimum_robust_margin': -9.52102915605102e-10, 'worst_index': 486}""}, {""log_shape"": [1.2193287923769653, 1.5413047878131054, 2.2968848391453944], ""message"": ""spectral separation did not converge: {'loss': 105780.7002528049, 'minimum_robust_margin': -9.916387199229715e-10, 'worst_index': 486}""}, {""log_shape"": [1.2199460310014936, 1.5647438111310947, 2.2748847799273912], ""message"": ""spectral separation did not converge: {'loss': 105646.29978338399, 'minimum_robust_margin': -9.728745743037281e-10, 'worst_index': 486}""}, {""log_shape"": [1.21912452246387, 1.5573875881652808, 2.2695848763462165], ""message"": ""spectral separation did not converge: {'loss': 106288.52057996285, 'minimum_robust_margin': -9.977334340660615e-10, 'worst_index': 486}""}, {""log_shape"": [1.2192976670963656, 1.558955239428919, 2.278108658885443], ""message"": ""spectral separation did not converge: {'loss': 105720.35549930995, 'minimum_robust_margin': -9.925742814470562e-10, 'worst_index': 486}""}, {""log_shape"": [1.2192034842179287, 1.5558851269734433, 2.280435998690939], ""message"": ""spectral separation did not converge: {'loss': 105728.6505906063, 'minimum_robust_margin': -9.95654302927973e-10, 'worst_index': 486}""}, {""log_shape"": [1.2197031665924372, 1.5541754565592263, 2.2737254351560416], ""message"": ""spectral separation did not converge: {'loss': 106037.11288815037, 'minimum_robust_margin': -9.800154542050077e-10, 'worst_index': 486}""}, {""log_shape"": [1.219543136347644, 1.5504702496356249, 2.279899883293135], ""message"": ""spectral separation did not converge: {'loss': 105912.33334759052, 'minimum_robust_margin': -9.847884088060033e-10, 'worst_index': 486}""}, {""log_shape"": [1.219185926693978, 1.5521807994157084, 2.2846648374781147], ""message"": ""spectral separation did not converge: {'loss': 105701.49594902687, 'minimum_robust_margin': -9.960300769926156e-10, 'worst_index': 486}""}]",
fixed_saturated,0,"[2.54825785609907, 4.678211074906818, 11.048742006284282, 400.0]",False,"spectral separation did not converge: {'loss': 55539.21431575792, 'minimum_robust_margin': -1.693585585139934e-09, 'worst_index': 604}",True,,,,,,,,
fixed_saturated_reprofile,0,"[3.31997022737737, 3.919564945214352, 11.916047300075677, 242075.99633372846]",True,coefficient profile verified; shape not optimized,,1,0,,"[3.31997022737737, 3.919564945214352, 11.916047300075677, 242075.99633372846]",55543.470991656905,coefficient-profile-only,,False
positive_pair_refinement,0,"[2.545578639268964, 6.273964949152008, 11.974123904707671, 446.0640027826982]",False,Maximum number of function evaluations has been exceeded.,,48,,,"[2.612878645738997, 6.42710026911652, 11.957043235970591, 425.060826360985]",596.1441402500969,feasible-simplex,[],
saturated,0,"[2.5482578561, 4.6782110749, 11.0487420063, 1.0]",False,The maximum number of function evaluations is exceeded.,,24,19,0.3839781587925021,"[2.818726688980527, 6.732102303453446, 11.533367213467375, 449.5101966097296]",553.9058837997295,,,
saturated,1,"[2.5482578561, 4.6782110749, 11.0487420063, 10.0]",False,The maximum number of function evaluations is exceeded.,,24,17,0.20060908753108955,"[2.8188674924163766, 6.732051069473426, 11.533576798128916, 449.48943621602666]",553.9058880126249,,,
