cell,x_m,y_m,z_m,normalized_axial_coordinate,critical_tail_probability
0,0.00078125000000000004,-0.0037499999999999999,-0.00025000000000000001,0,0.0011832861259351269
1,0.00078125000000000004,-0.0037499999999999999,0.00025000000000000001,0,0.0011832861259351269
2,0.00078125000000000004,-0.00125,-0.00025000000000000001,0,0.0011832861259351269
3,0.00078125000000000004,-0.00125,0.00025000000000000001,0,0.0011832861259351269
4,0.00078125000000000004,0.0012499999999999998,-0.00025000000000000001,0,0.0011832861259351269
5,0.00078125000000000004,0.0012499999999999998,0.00025000000000000001,0,0.0011832861259351269
6,0.00078125000000000004,0.0037499999999999999,-0.00025000000000000001,0,0.0011832861259351269
7,0.00078125000000000004,0.0037499999999999999,0.00025000000000000001,0,0.0011832861259351269
8,0.0023437499999999999,-0.0037499999999999999,-0.00025000000000000001,0.032258064516129031,0.0011832861259351269
9,0.0023437499999999999,-0.0037499999999999999,0.00025000000000000001,0.032258064516129031,0.0011832861259351269
10,0.0023437499999999999,-0.00125,-0.00025000000000000001,0.032258064516129031,0.0011832861259351269
11,0.0023437499999999999,-0.00125,0.00025000000000000001,0.032258064516129031,0.0011832861259351269
12,0.0023437499999999999,0.0012499999999999998,-0.00025000000000000001,0.032258064516129031,0.0011832861259351269
13,0.0023437499999999999,0.0012499999999999998,0.00025000000000000001,0.032258064516129031,0.0011832861259351269
14,0.0023437499999999999,0.0037499999999999999,-0.00025000000000000001,0.032258064516129031,0.0011832861259351269
15,0.0023437499999999999,0.0037499999999999999,0.00025000000000000001,0.032258064516129031,0.0011832861259351269
16,0.00390625,-0.0037499999999999999,-0.00025000000000000001,0.064516129032258063,0.0011832861259351249
17,0.00390625,-0.0037499999999999999,0.00025000000000000001,0.064516129032258063,0.0011832861259351249
18,0.00390625,-0.00125,-0.00025000000000000001,0.064516129032258063,0.0011832861259351249
19,0.00390625,-0.00125,0.00025000000000000001,0.064516129032258063,0.0011832861259351249
20,0.00390625,0.0012499999999999998,-0.00025000000000000001,0.064516129032258063,0.0011832861259351249
21,0.00390625,0.0012499999999999998,0.00025000000000000001,0.064516129032258063,0.0011832861259351249
22,0.00390625,0.0037499999999999999,-0.00025000000000000001,0.064516129032258063,0.0011832861259351249
23,0.00390625,0.0037499999999999999,0.00025000000000000001,0.064516129032258063,0.0011832861259351249
24,0.0054687499999999997,-0.0037499999999999999,-0.00025000000000000001,0.096774193548387094,0.0011832861259351249
25,0.0054687499999999997,-0.0037499999999999999,0.00025000000000000001,0.096774193548387094,0.0011832861259351249
26,0.0054687499999999997,-0.00125,-0.00025000000000000001,0.096774193548387094,0.0011832861259351249
27,0.0054687499999999997,-0.00125,0.00025000000000000001,0.096774193548387094,0.0011832861259351249
28,0.0054687499999999997,0.0012499999999999998,-0.00025000000000000001,0.096774193548387094,0.0011832861259351249
29,0.0054687499999999997,0.0012499999999999998,0.00025000000000000001,0.096774193548387094,0.0011832861259351249
30,0.0054687499999999997,0.0037499999999999999,-0.00025000000000000001,0.096774193548387094,0.0011832861259351249
31,0.0054687499999999997,0.0037499999999999999,0.00025000000000000001,0.096774193548387094,0.0011832861259351249
32,0.0070312499999999993,-0.0037499999999999999,-0.00025000000000000001,0.12903225806451613,0.0011832861259351249
33,0.0070312499999999993,-0.0037499999999999999,0.00025000000000000001,0.12903225806451613,0.0011832861259351249
34,0.0070312499999999993,-0.00125,-0.00025000000000000001,0.12903225806451613,0.0011832861259351249
35,0.0070312499999999993,-0.00125,0.00025000000000000001,0.12903225806451613,0.0011832861259351249
36,0.0070312499999999993,0.0012499999999999998,-0.00025000000000000001,0.12903225806451613,0.0011832861259351249
37,0.0070312499999999993,0.0012499999999999998,0.00025000000000000001,0.12903225806451613,0.0011832861259351249
38,0.0070312499999999993,0.0037499999999999999,-0.00025000000000000001,0.12903225806451613,0.0011832861259351249
39,0.0070312499999999993,0.0037499999999999999,0.00025000000000000001,0.12903225806451613,0.0011832861259351249
40,0.0085937500000000007,-0.0037499999999999999,-0.00025000000000000001,0.16129032258064516,0.0011832861259351269
41,0.0085937500000000007,-0.0037499999999999999,0.00025000000000000001,0.16129032258064516,0.0011832861259351269
42,0.0085937500000000007,-0.00125,-0.00025000000000000001,0.16129032258064516,0.0011832861259351269
43,0.0085937500000000007,-0.00125,0.00025000000000000001,0.16129032258064516,0.0011832861259351269
44,0.0085937500000000007,0.0012499999999999998,-0.00025000000000000001,0.16129032258064516,0.0011832861259351269
45,0.0085937500000000007,0.0012499999999999998,0.00025000000000000001,0.16129032258064516,0.0011832861259351269
