steps_per_period,segments,hold_time_over_line_tau,max_axial_bow_strain,final_axial_bow_strain,final_to_peak,max_slope,final_gross_area_m2,permanent_slip_generated,physical_time_scope,experimental_yield_MPa
64,32,24.052818754046854,3.823950330084182e-10,-2.6606342985724642e-20,6.957816051219191e-11,0.0015872351820287376,5.9839806456265076e-15,False,conditional v18 line-only; t/tau shown; not production a/s,
64,64,24.052818754046854,3.8275522853108903e-10,-2.627357429123229e-20,6.864327991563474e-11,0.0016165670978461545,5.990083428356237e-15,False,conditional v18 line-only; t/tau shown; not production a/s,
64,128,24.052818754046854,3.8284527677339295e-10,-2.6191006081502227e-20,6.841146455361586e-11,0.0016314293496518916,5.9916091012867415e-15,False,conditional v18 line-only; t/tau shown; not production a/s,
128,32,24.00373136883451,3.8543958217402845e-10,-1.6733885280884395e-20,4.3415066990522364e-11,0.0015971663676636457,6.0528807083640584e-15,False,conditional v18 line-only; t/tau shown; not production a/s,
128,64,24.00373136883451,3.858036275837543e-10,-1.6514871023997155e-20,4.280641715949634e-11,0.0016262120475702194,6.059167878372469e-15,False,conditional v18 line-only; t/tau shown; not production a/s,
128,128,24.00373136883451,3.8589463788192917e-10,-1.6460547398800224e-20,4.265554838789079e-11,0.001640688753218198,6.060739685561568e-15,False,conditional v18 line-only; t/tau shown; not production a/s,
256,32,24.00373136883451,3.869839427077607e-10,-1.2799974630371754e-20,3.3076242235812693e-11,0.001601804919108545,6.088919400551025e-15,False,conditional v18 line-only; t/tau shown; not production a/s,
256,64,24.00373136883451,3.8734997725130356e-10,-1.2628281544009557e-20,3.260173560257272e-11,0.001630516160261527,6.095204609868381e-15,False,conditional v18 line-only; t/tau shown; not production a/s,
256,128,24.00373136883451,3.874414846333497e-10,-1.2585703798060174e-20,3.248414095349261e-11,0.0016449957108836432,6.0967758990006146e-15,False,conditional v18 line-only; t/tau shown; not production a/s,
