span_um,endpoint_angle,segments,shear_MPa,analytic_area_m2,discrete_area_m2,area_error_over_L_squared,quadrature_refinement_change_m2,dimensionless_force_residual
0.2,0.4,32,8.202765753723465,2.8784506718873706e-15,2.875811153481083e-15,6.598796015719128e-05,0.0,1.6372661733321525e-10
0.2,0.4,64,8.202765753723465,2.8784506718873706e-15,2.8777907979820666e-15,1.649684763259879e-05,0.0,8.279582661835372e-11
0.2,0.4,128,8.202765753723465,2.8784506718873706e-15,2.878285707968819e-15,4.124097963791253e-06,0.0,4.160108412268326e-11
0.2,0.4,256,8.202765753723465,2.8784506718873706e-15,2.87840943539433e-15,1.0309123260105866e-06,0.0,2.084792082891751e-11
0.2,1.0,32,27.35806950592266,9.458595621434176e-15,9.444357577678898e-15,0.00035595109388195106,0.0,6.603176339048389e-12
0.2,1.0,64,27.35806950592266,9.458595621434176e-15,9.455030494099057e-15,8.912818337798156e-05,0.0,3.558604799724918e-12
0.2,1.0,128,27.35806950592266,9.458595621434176e-15,9.457703985479131e-15,2.229089887612767e-05,0.0,1.8138303359283015e-12
0.2,1.0,256,27.35806950592266,9.458595621434176e-15,9.458372690209773e-15,5.573280610073481e-06,0.0,9.297302511201977e-13
0.2,1.4,32,37.33648290109684,1.7659743578713197e-14,1.7395918828139082e-14,0.006595618764352881,3.751822465231132e-27,1.096345236817342e-15
0.2,1.4,64,37.33648290109684,1.7659743578713197e-14,1.7582783484655996e-14,0.0019240023514300285,3.751822465231132e-27,4.4287490341687885e-13
0.2,1.4,128,37.33648290109684,1.7659743578713197e-14,1.7639319958547995e-14,0.0005105905041300563,3.751822465231132e-27,1.78542215734101e-11
0.2,1.4,256,37.33648290109684,1.7659743578713197e-14,1.7654543397559695e-14,0.0001300045288375434,3.751822465231132e-27,1.1007647744698534e-10
1.0,0.4,32,2.0914656161740797,7.19612667971841e-14,7.189527883702708e-14,6.598796015701773e-05,0.0,1.6372667284436648e-10
1.0,0.4,64,2.0914656161740797,7.19612667971841e-14,7.194476994955168e-14,1.649684763241459e-05,0.0,8.279571559605126e-11
1.0,0.4,128,2.0914656161740797,7.19612667971841e-14,7.195714269922048e-14,4.124097963614548e-06,0.0,4.160091758922957e-11
1.0,0.4,256,2.0914656161740797,7.19612667971841e-14,7.196023588485828e-14,1.0309123258196821e-06,0.0,2.0848004095644357e-11
1.0,1.0,32,6.975508433916297,2.364648905358546e-13,2.3610893944197247e-13,0.0003559510938821356,0.0,6.603183277942293e-12
1.0,1.0,64,6.975508433916297,2.364648905358546e-13,2.3637576235247647e-13,8.912818337813458e-05,0.0,3.5591633806841827e-12
1.0,1.0,128,6.975508433916297,2.364648905358546e-13,2.3644259963697826e-13,2.2290898876343816e-05,0.0,1.81438718216409e-12
1.0,1.0,256,6.975508433916297,2.364648905358546e-13,2.3645931725524434e-13,5.573280610269118e-06,0.0,9.306192969016358e-13
1.0,1.4,32,9.51971232155071,4.4149358946782993e-13,4.3489797070347717e-13,0.006595618764352763,9.375454086370681e-26,1.0685896612017132e-15
1.0,1.4,64,9.51971232155071,4.4149358946782993e-13,4.395695871164e-13,0.0019240023514299146,9.375454086370681e-26,4.4276388111441634e-13
1.0,1.4,128,9.51971232155071,4.4149358946782993e-13,4.4098299896370013e-13,0.0005105905041298006,9.375454086370681e-26,1.78542215734101e-11
1.0,1.4,256,9.51971232155071,4.4149358946782993e-13,4.4136358493899263e-13,0.0001300045288373004,9.375454086370681e-26,1.1007636642468288e-10
5.0,0.4,32,0.5084756163206933,1.7990316699296175e-12,1.7973819709256774e-12,6.598796015760692e-05,0.0,1.6372669713049515e-10
5.0,0.4,64,0.5084756163206933,1.7990316699296175e-12,1.7986192487387925e-12,1.6496847632999234e-05,0.0,8.279582488363024e-11
5.0,0.4,128,0.5084756163206933,1.7990316699296175e-12,1.7989285674805125e-12,4.124097964201209e-06,0.0,4.160077794398975e-11
5.0,0.4,256,0.5084756163206933,1.7990316699296175e-12,1.7990058971214566e-12,1.0309123264376443e-06,0.0,2.084772610620733e-11
5.0,1.0,32,1.6958805933296126,5.9116222633963595e-12,5.902723486049313e-12,0.0003559510938818731,0.0,6.603339403055131e-12
5.0,1.0,64,1.6958805933296126,5.9116222633963595e-12,5.909394058811911e-12,8.91281833779387e-05,0.0,3.5589361319088297e-12
5.0,1.0,128,1.6958805933296126,5.9116222633963595e-12,5.911064990924457e-12,2.229089887611158e-05,0.0,1.8142180466251823e-12
5.0,1.0,256,1.6958805933296126,5.9116222633963595e-12,5.911482931381109e-12,5.573280610022742e-06,0.0,9.3067350701026e-13
5.0,1.4,32,2.31442561257641,1.1037339736695746e-11,1.0872449267586933e-11,0.006595618764352497,2.3490636926798872e-24,1.2004286453759505e-15
5.0,1.4,64,2.31442561257641,1.1037339736695746e-11,1.098923967791e-11,0.001924002351429792,2.3490636926798872e-24,4.428783728638308e-13
5.0,1.4,128,2.31442561257641,1.1037339736695746e-11,1.1024574974092503e-11,0.0005105905041296816,2.3490636926798872e-24,1.7854556375040964e-11
5.0,1.4,256,2.31442561257641,1.1037339736695746e-11,1.1034089623474814e-11,0.00013000452883726407,2.3490636926798872e-24,1.100761452474397e-10
