span_um,loading_axis,static_step,axial_stress_MPa,signed_area_m2,axial_slip_strain,forward_area_m2,backward_area_m2,gross_area_m2,area_balance_residual_m2,work_identity_max_residual_J,physical_hold_performed,residual_plasticity_certified
0.2,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,False,False
0.2,100,1,18.85687562573796,2.7118130371472837e-15,3.963092029565706e-07,2.7118130371472837e-15,0.0,2.7118130371472837e-15,0.0,1.5407439555097887e-33,False,False
0.2,100,2,37.71375125147592,5.168725366855667e-15,7.553667610488459e-07,5.168725366855667e-15,0.0,5.168725366855667e-15,0.0,1.5407439555097887e-33,False,False
0.2,100,3,56.570626877213876,7.743525804631044e-15,1.131652697906951e-06,7.743525804631044e-15,0.0,7.743525804631044e-15,0.0,1.5407439555097887e-33,False,False
0.2,100,4,75.42750250295184,1.1191063268069023e-14,1.6354819831792515e-06,1.1191063268069023e-14,0.0,1.1191063268069023e-14,0.0,1.5407439555097887e-33,False,False
0.2,100,5,37.71375125147592,5.168725366855667e-15,7.553667610488459e-07,1.1191063268069023e-14,6.022337901213357e-15,1.721340116928238e-14,0.0,1.5407439555097887e-33,False,False
0.2,100,6,0.0,0.0,0.0,1.1191063268069023e-14,1.1191063268069023e-14,2.2382126536138047e-14,0.0,1.5407439555097887e-33,False,False
0.2,100,7,-37.71375125147592,-5.168725366855667e-15,-7.553667610488459e-07,1.1191063268069023e-14,1.635978863492469e-14,2.7550851902993713e-14,7.888609052210118e-31,1.5407439555097887e-33,False,False
0.2,100,8,-75.42750250295184,-1.1191063268069023e-14,-1.6354819831792515e-06,1.1191063268069023e-14,2.2382126536138047e-14,3.357318980420707e-14,0.0,1.5407439555097887e-33,False,False
0.2,100,9,-37.71375125147592,-5.168725366855667e-15,-7.553667610488459e-07,1.721340116928238e-14,2.2382126536138047e-14,3.959552770542043e-14,7.888609052210118e-31,1.5407439555097887e-33,False,False
0.2,100,10,0.0,0.0,0.0,2.2382126536138047e-14,2.2382126536138047e-14,4.4764253072276094e-14,0.0,1.5407439555097887e-33,False,False
0.2,100,11,0.0,0.0,0.0,2.2382126536138047e-14,2.2382126536138047e-14,4.4764253072276094e-14,0.0,1.5407439555097887e-33,False,False
