span_um,loading_axis,axial_stress_MPa,resolved_shear_MPa,critical_resolved_shear_MPa,hypothetical_specimen_volume_m3,initial_pinned_line_density_m2,swept_area_m2,axial_bow_strain,status,experimental_yield_MPa
0.2,100,0.0,0.0,38.49143618848605,7.999999999999999e-19,250000000000.00003,0.0,0.0,subcritical recoverable bow,
0.2,100,2.0,0.816496580927726,38.49143618848605,7.999999999999999e-19,250000000000.00003,2.98703421067612e-16,4.365305170456588e-08,subcritical recoverable bow,
0.2,100,5.0,2.041241452319315,38.49143618848605,7.999999999999999e-19,250000000000.00003,7.446018729032922e-16,1.0881744822670324e-07,subcritical recoverable bow,
0.2,100,10.0,4.08248290463863,38.49143618848605,7.999999999999999e-19,250000000000.00003,1.4750676131475832e-15,2.155690167669254e-07,subcritical recoverable bow,
0.2,100,15.0,6.123724356957945,38.49143618848605,7.999999999999999e-19,250000000000.00003,2.1827315571198952e-15,3.189882900556902e-07,subcritical recoverable bow,
0.2,100,20.0,8.16496580927726,38.49143618848605,7.999999999999999e-19,250000000000.00003,2.8660097549283287e-15,4.188437868254534e-07,subcritical recoverable bow,
0.2,100,30.0,12.24744871391589,38.49143618848605,7.999999999999999e-19,250000000000.00003,4.177200024735384e-15,6.104634758060336e-07,subcritical recoverable bow,
0.2,100,50.0,20.41241452319315,38.49143618848605,7.999999999999999e-19,250000000000.00003,6.798936224443344e-15,9.936086887819453e-07,subcritical recoverable bow,
0.2,110,0.0,0.0,38.49143618848605,7.999999999999999e-19,250000000000.00003,0.0,0.0,subcritical recoverable bow,
0.2,110,2.0,0.8164965809277258,38.49143618848605,7.999999999999999e-19,250000000000.00003,2.9870342106761174e-16,4.365305170456584e-08,subcritical recoverable bow,
0.2,110,5.0,2.0412414523193143,38.49143618848605,7.999999999999999e-19,250000000000.00003,7.446018729032926e-16,1.0881744822670327e-07,subcritical recoverable bow,
0.2,110,10.0,4.082482904638629,38.49143618848605,7.999999999999999e-19,250000000000.00003,1.4750676131475804e-15,2.1556901676692496e-07,subcritical recoverable bow,
0.2,110,15.0,6.123724356957943,38.49143618848605,7.999999999999999e-19,250000000000.00003,2.182731557119828e-15,3.189882900556803e-07,subcritical recoverable bow,
0.2,110,20.0,8.164965809277257,38.49143618848605,7.999999999999999e-19,250000000000.00003,2.866009754928334e-15,4.188437868254541e-07,subcritical recoverable bow,
