radius_over_L0,path,fraction,minimum_H_eV_L0sq,matrix_radius_change
6.0,Gamma_X,0.02,0.025579113349377538,
6.0,Gamma_X,0.1,0.6572349812861007,
6.0,Gamma_X,0.25,4.715168880068904,
6.0,Gamma_X,0.5,25.301039336957334,
6.0,Gamma_X,0.75,62.74094138248992,
6.0,Gamma_X,1.0,84.26921250370675,
6.0,Gamma_L,0.02,0.012822457844376975,
6.0,Gamma_L,0.1,0.3276034613297021,
6.0,Gamma_L,0.25,2.275992549473914,
6.0,Gamma_L,0.5,11.11663346730585,
6.0,Gamma_L,0.75,24.79531238442453,
6.0,Gamma_L,1.0,31.892722211091876,
6.0,Gamma_K,0.02,0.014467960097237656,
6.0,Gamma_K,0.1,0.37115803258830526,
6.0,Gamma_K,0.25,2.6259732418558803,
6.0,Gamma_K,0.5,0.010912959346483841,
6.0,Gamma_K,0.75,17.064835661786432,
6.0,Gamma_K,1.0,45.05578159482149,
8.0,Gamma_X,0.02,0.02531727351510295,0.0016215465784218653
8.0,Gamma_X,0.1,0.6515065150466182,0.022820699047792176
8.0,Gamma_X,0.25,4.702022974388441,0.013145905680471606
8.0,Gamma_X,0.5,25.290415812157125,0.011948505914046784
8.0,Gamma_X,0.75,62.72898320245943,0.012235924570755945
8.0,Gamma_X,1.0,84.25665292969857,0.012559574008170907
8.0,Gamma_L,0.02,0.012624488011669793,0.0012205652557182312
8.0,Gamma_L,0.1,0.3231319985879222,0.019936303372575903
8.0,Gamma_L,0.25,2.262849095371142,0.013143454102773506
8.0,Gamma_L,0.5,11.104402630116637,0.012575436587546564
8.0,Gamma_L,0.75,24.783698972138293,0.012638254081124957
8.0,Gamma_L,1.0,31.880696740101463,0.012932418785453592
8.0,Gamma_K,0.02,0.014170376786172235,0.0018156090042880915
8.0,Gamma_K,0.1,0.36475127408354147,0.02362046319357416
8.0,Gamma_K,0.25,2.6127699334301973,0.013244625182419185
8.0,Gamma_K,0.5,5.065103891865874e-11,0.012174279868129122
8.0,Gamma_K,0.75,17.053109335666857,0.012095208708494454
8.0,Gamma_K,1.0,45.04323090400536,0.013104107052089012
10.0,Gamma_X,0.02,0.025223013657531268,0.000560750314221089
10.0,Gamma_X,0.1,0.6496565953509742,0.005171996774354004
10.0,Gamma_X,0.25,4.699653463006745,0.0029267202205760135
10.0,Gamma_X,0.5,25.28799646474062,0.002526962546488342
10.0,Gamma_X,0.75,62.72651233940808,0.0024935800612672656
10.0,Gamma_X,1.0,84.2542394183497,0.0026191947351573044
10.0,Gamma_L,0.02,0.012556385917405505,0.0004300201043309776
10.0,Gamma_L,0.1,0.3216806110783066,0.005127670995159317
10.0,Gamma_L,0.25,2.260279857066711,0.0025692383044297914
10.0,Gamma_L,0.5,11.101967041426445,0.0027989251544617844
10.0,Gamma_L,0.75,24.781129589682084,0.0025693824562509396
10.0,Gamma_L,1.0,31.878098930091962,0.002597810009469021
10.0,Gamma_K,0.02,0.014070588819709453,0.0006337945410794546
10.0,Gamma_K,0.1,0.3628287157386361,0.005083571326462673
10.0,Gamma_K,0.25,2.610443981977074,0.003318810323622696
10.0,Gamma_K,0.5,-0.002341537275692751,0.0025844804531907073
10.0,Gamma_K,0.75,17.05055883822049,0.002550497446369297
10.0,Gamma_K,1.0,45.04085588773468,0.002529312231850156
