axis,cutoff_ps,real_A2_eV,imag_A2_eV,endpoint_difference_A2_eV,static_A2_eV
0,2.0,0.002357144816131811,-2.645148515210956e-06,0.0007084323084335,0.002357841233977556
0,5.0,0.002359367391257301,-1.538053964359433e-06,6.877515691943359e-05,0.002357841233977556
0,10.0,0.0023579012086276645,-1.37515748235025e-06,3.594968941895469e-05,0.002357841233977556
0,20.0,0.0023579605086172083,-1.5151455114250171e-06,1.0064305778759354e-05,0.002357841233977556
0,40.0,0.002357927657712179,-1.4096244360710815e-06,1.1163906022048455e-05,0.002357841233977556
1,2.0,0.01185136444545458,-0.00011410731698114024,0.002163237469681162,0.011920762175442653
1,5.0,0.01195591498073408,-1.4286735794530686e-05,0.0002873452904168856,0.011920762175442653
1,10.0,0.011922172764793786,8.322221250165616e-07,0.001281497990774282,0.011920762175442653
1,20.0,0.011922470813117,-9.135751493176964e-06,0.00014417444381001755,0.011920762175442653
1,40.0,0.011922292816584327,-1.3499694987490487e-05,0.00015551547603488523,0.011920762175442653
