protocol,observable,previous_role,target,scale,units,prediction,normalized_residual,used_in_objective,used_in_constraint,independent_validation
baseline_replay,normal_strain_force_ev,exact,0.0,0.1,eV/strain,2.9976021664879227e-15,2.9976021664879227e-14,False,False,False
baseline_replay,cohesive_ev_atom,exact,3.36,0.0672,eV/atom,3.360000000000004,5.947623346206196e-14,False,False,False
baseline_replay,C11_GPa,exact,113.99999999999996,5.699999999999998,GPa,114.0,7.479397218527373e-15,False,False,False
baseline_replay,C12_GPa,exact,62.000000000000014,3.100000000000001,GPa,62.00000000000015,4.354939348207064e-14,False,False,False
baseline_replay,C44_GPa,exact,32.0,1.6,GPa,32.000000000000014,8.881784197001252e-15,False,False,False
baseline_replay,perfect_Haa,exact,19.66091286328976,1.9660912863289761,eV/L0^2,19.660912863289788,1.4455945981771848e-14,False,False,False
baseline_replay,perfect_Hxx,exact,4.393593035123306,0.43935930351233066,eV/L0^2,4.3935930351233,-1.4150716482384421e-14,False,False,False
baseline_replay,saddle_energy_at_source_state,fit,0.07624909750742465,0.007624909750742465,eV/cell,0.05012021469030056,-3.426779289365336,True,False,False
baseline_replay,saddle_normal_force_at_source_state,fit,1.4903612010162394e-15,0.03173805605024358,eV/L0,0.1617152401425258,5.095310181774135,True,False,False
baseline_replay,fault_energy_at_source_state,fit,0.06670794504308616,0.006670794504308616,eV/cell,0.03543797139549233,-4.68759360334017,True,False,False
baseline_replay,fault_normal_force_at_source_state,fit,5.29078226360765e-15,0.03173805605024358,eV/L0,0.08527312311485558,2.6867783893209123,True,False,False
baseline_replay,saddle_path_force_at_source_state,fit,2.296700476743968e-16,0.03173805605024358,eV/L0,-0.08293688572287841,-2.6131684181155803,True,False,False
baseline_replay,opening_1.1h_energy,fit,0.05670265774764735,0.005670265774764736,eV/cell,0.051628280104087744,-0.8949100174709441,True,False,False
baseline_replay,opening_1.5h_energy,fit,0.4710312483934004,0.04710312483934004,eV/cell,0.3923732465964097,-1.6699104797246134,True,False,False
