radius_over_L0,energy_eV_per_row_period,site_count,inside_free_disk
1.0,0.35439559320514114,4,True
1.5,0.6063672504421636,10,True
2.0,0.7254351450341476,18,True
2.5,0.7638334969578642,30,True
3.0,0.7649891139817242,40,True
3.5,0.7496026432816614,56,True
4.0,0.7449588852725183,72,True
