state,step_L0,Haa,Hxx,maximum_H_error,physical_reference
source_saddle,4e-05,12.717337762538286,-0.18642463121762062,3.2316531107801083e-06,"0K Al99 matched rigid geometry, not measured curvature"
source_saddle,2e-05,12.717337762538286,-0.18642463121762062,1.167284959691095e-06,"0K Al99 matched rigid geometry, not measured curvature"
source_saddle,1e-05,12.717337762538286,-0.18642463121762062,2.4748237001381845e-07,"0K Al99 matched rigid geometry, not measured curvature"
inspected_opening,4e-05,0.9032785116339533,0.6453579543796875,5.7207061088249134e-08,"0K Al99 matched rigid geometry, not measured curvature"
inspected_opening,2e-05,0.9032785116339533,0.6453579543796875,1.4306655637952304e-08,"0K Al99 matched rigid geometry, not measured curvature"
inspected_opening,1e-05,0.9032785116339533,0.6453579543796875,3.5485945293345367e-09,"0K Al99 matched rigid geometry, not measured curvature"
